model,layer_idx,order,n_clips,abs_cos_parent_vs_subord,subord_norm
eat_all,0,Passeriformes,100,0.5406269107769569,0.02327707390606464
eat_all,0,Charadriiformes,100,0.4440120956046556,0.009792272120522846
eat_all,0,Piciformes,100,0.4299353080524599,0.0287629569436662
eat_all,0,Strigiformes,100,0.38934491964009404,0.010607657076463547
eat_all,1,Passeriformes,100,0.28082975313437686,0.11059646597360981
eat_all,1,Charadriiformes,100,0.2141302265692418,0.09849310703347906
eat_all,1,Piciformes,100,0.0855310939246262,0.10966635031824758
eat_all,1,Strigiformes,100,0.0042423388860382,0.13859854722442813
eat_all,2,Passeriformes,100,0.06451931178337952,0.15981732480457145
eat_all,2,Charadriiformes,100,0.18698270392216623,0.16651577045018623
eat_all,2,Piciformes,100,0.11357751047121685,0.16204182616444113
eat_all,2,Strigiformes,100,0.14297627270631294,0.27439089753747326
eat_all,3,Passeriformes,100,0.011134482113964778,0.2133351935325077
eat_all,3,Charadriiformes,100,0.12785072011996124,0.18880524077245592
eat_all,3,Piciformes,100,0.19063557812366944,0.18977601727369597
eat_all,3,Strigiformes,100,0.18127725447575932,0.3458424908749217
eat_all,4,Passeriformes,100,0.04576343354579609,0.2865161979866759
eat_all,4,Charadriiformes,100,0.07548990824628496,0.31455037237323685
eat_all,4,Piciformes,100,0.262076126012724,0.2665967023559962
eat_all,4,Strigiformes,100,0.22586952586357742,0.47251512061545825
eat_all,5,Passeriformes,100,0.016305800948253873,0.3547287817197165
eat_all,5,Charadriiformes,100,0.1567295636966609,0.45935585444285654
eat_all,5,Piciformes,100,0.12552492195601384,0.32751146577348833
eat_all,5,Strigiformes,100,0.20037250015791563,0.5933480084583447
eat_all,6,Passeriformes,100,0.05794600728335888,0.35682904024352574
eat_all,6,Charadriiformes,100,0.1525757202628229,0.4434248725329494
eat_all,6,Piciformes,100,0.13823309907737596,0.326120811624706
eat_all,6,Strigiformes,100,0.22382771805895907,0.5960448622248247
eat_all,7,Passeriformes,100,0.003225513005856181,0.42136628524650094
eat_all,7,Charadriiformes,100,0.18656498789530998,0.521948619314217
eat_all,7,Piciformes,100,0.08185953156466151,0.40397810295373465
eat_all,7,Strigiformes,100,0.19214628173503095,0.6859639248024066
eat_all,8,Passeriformes,100,0.029241862840310242,0.3648793344549776
eat_all,8,Charadriiformes,100,0.21116273332509397,0.3981074284920342
eat_all,8,Piciformes,100,0.12364456823772652,0.32099247193844577
eat_all,8,Strigiformes,100,0.22360408623268585,0.6011945953270762
eat_all,9,Passeriformes,100,0.019813041602097493,0.3141537746068455
eat_all,9,Charadriiformes,100,0.11279444419332867,0.3567667510418744
eat_all,9,Piciformes,100,0.11741630717493852,0.2597496330201412
eat_all,9,Strigiformes,100,0.13291302895956714,0.48540723167856215
eat_all,10,Passeriformes,100,0.03152643123100755,0.2519660574337258
eat_all,10,Charadriiformes,100,0.16819372574428157,0.27228940714430416
eat_all,10,Piciformes,100,0.15264172560875452,0.1935283220002941
eat_all,10,Strigiformes,100,0.18922391460382118,0.356159640479823
eat_all,11,Passeriformes,100,0.034232099280192246,0.19601336715169962
eat_all,11,Charadriiformes,100,0.33710260700749123,0.2113278783089188
eat_all,11,Piciformes,100,0.1924250957750155,0.16173730468542344
eat_all,11,Strigiformes,100,0.29934625482242316,0.319519895712264
eat_all,12,Passeriformes,100,0.40068731402089924,0.09873360900866214
eat_all,12,Charadriiformes,100,0.4953135192295026,0.11702627871258754
eat_all,12,Piciformes,100,0.3461285101151482,0.08821559567757256
eat_all,12,Strigiformes,100,0.2831468335448383,0.1728718398618552
eat_bio,0,Passeriformes,100,0.5917835275145109,0.028431135304553407
eat_bio,0,Charadriiformes,100,0.46097492596851825,0.008009270264674163
eat_bio,0,Piciformes,100,0.5161917808272517,0.034514053541373546
eat_bio,0,Strigiformes,100,0.42690666905714447,0.010969782785203094
eat_bio,1,Passeriformes,100,0.14798396697460486,0.06918357732642595
eat_bio,1,Charadriiformes,100,0.3035692331820531,0.06955052434749988
eat_bio,1,Piciformes,100,0.07307250530508222,0.07060358150481183
eat_bio,1,Strigiformes,100,0.18445591992810711,0.0869284884184748
eat_bio,2,Passeriformes,100,0.024627552247188343,0.12183259095789672
eat_bio,2,Charadriiformes,100,0.17626641558001416,0.13385902844983755
eat_bio,2,Piciformes,100,0.10848333544243587,0.1314937384853264
eat_bio,2,Strigiformes,100,0.16988785990408742,0.2051897100892277
eat_bio,3,Passeriformes,100,0.005303978852939716,0.16460687941562535
eat_bio,3,Charadriiformes,100,0.25403183969832305,0.1378454257909992
eat_bio,3,Piciformes,100,0.2017230056702365,0.13515414961042757
eat_bio,3,Strigiformes,100,0.2525138618239272,0.2501017217663011
eat_bio,4,Passeriformes,100,0.047405670799055756,0.20672010192922835
eat_bio,4,Charadriiformes,100,0.13198883207562015,0.19309819235531164
eat_bio,4,Piciformes,100,0.1893071035561493,0.189115843305325
eat_bio,4,Strigiformes,100,0.22291640486088438,0.31890191862617673
eat_bio,5,Passeriformes,100,0.015929333632688884,0.269740554849574
eat_bio,5,Charadriiformes,100,0.278435708026992,0.292273497362222
eat_bio,5,Piciformes,100,0.10703749708160608,0.23782524438784983
eat_bio,5,Strigiformes,100,0.24713070820856836,0.4149156577912023
eat_bio,6,Passeriformes,100,0.0287862012111796,0.27647123206956
eat_bio,6,Charadriiformes,100,0.26553934889090425,0.2976055246894203
eat_bio,6,Piciformes,100,0.22199351853446744,0.24356777484744158
eat_bio,6,Strigiformes,100,0.31379011770132964,0.4495203344096281
eat_bio,7,Passeriformes,100,0.026222279897738728,0.3106051424306713
eat_bio,7,Charadriiformes,100,0.21219569180796566,0.34283296014234166
eat_bio,7,Piciformes,100,0.13266757411027086,0.29790971052775606
eat_bio,7,Strigiformes,100,0.24038494257560283,0.5009368328989814
eat_bio,8,Passeriformes,100,0.013119863734420392,0.2873910909187978
eat_bio,8,Charadriiformes,100,0.23792559684381084,0.2703384347403494
eat_bio,8,Piciformes,100,0.16895532674591632,0.24947677752334163
eat_bio,8,Strigiformes,100,0.2361219706099596,0.4349461015368107
eat_bio,9,Passeriformes,100,0.013903096282139338,0.24726500021457415
eat_bio,9,Charadriiformes,100,0.22335725739199028,0.23402033585128695
eat_bio,9,Piciformes,100,0.13070176271912778,0.19577402509843836
eat_bio,9,Strigiformes,100,0.20767500382072465,0.358355486909848
eat_bio,10,Passeriformes,100,0.02468165719967873,0.2119719518569886
eat_bio,10,Charadriiformes,100,0.2897399343223533,0.20697515442087705
eat_bio,10,Piciformes,100,0.06782196579448932,0.16282342996708665
eat_bio,10,Strigiformes,100,0.21941586531579607,0.29979198292328785
eat_bio,11,Passeriformes,100,0.02933869052520996,0.16550625478518038
eat_bio,11,Charadriiformes,100,0.3509972116615379,0.16477526793092506
eat_bio,11,Piciformes,100,0.22381215293620269,0.13702513576123637
eat_bio,11,Strigiformes,100,0.33257705747839056,0.280706059631208
eat_bio,12,Passeriformes,100,0.10007787714490446,0.11590975471994139
eat_bio,12,Charadriiformes,100,0.32984611198170466,0.1084214709497313
eat_bio,12,Piciformes,100,0.10457885171599608,0.08919510727316955
eat_bio,12,Strigiformes,100,0.19906864035034286,0.1682658976535035
sl_eat_all_ssl_all,0,Passeriformes,100,0.635213475800886,0.050461621363930495
sl_eat_all_ssl_all,0,Charadriiformes,100,0.4184187464947726,0.015872769003584586
sl_eat_all_ssl_all,0,Piciformes,100,0.5654812644646213,0.06305809891688587
sl_eat_all_ssl_all,0,Strigiformes,100,0.42841503630178135,0.023915842849467756
sl_eat_all_ssl_all,1,Passeriformes,100,0.13929979489180802,0.1271546280710242
sl_eat_all_ssl_all,1,Charadriiformes,100,0.33134350833255705,0.12097101762244822
sl_eat_all_ssl_all,1,Piciformes,100,0.14501737155946007,0.1422180404229319
sl_eat_all_ssl_all,1,Strigiformes,100,0.24711802934697144,0.17398038582617084
