model,layer_idx,order_a,order_b,abs_cos_subord_pair
eat_all,0,Passeriformes,Charadriiformes,0.3832758977441178
eat_all,0,Passeriformes,Piciformes,0.8349042967426648
eat_all,0,Passeriformes,Strigiformes,0.4233422754093072
eat_all,0,Charadriiformes,Piciformes,0.10617462389058913
eat_all,0,Charadriiformes,Strigiformes,0.205807854283141
eat_all,0,Piciformes,Strigiformes,0.7814555081053217
eat_all,1,Passeriformes,Charadriiformes,0.04583846042203821
eat_all,1,Passeriformes,Piciformes,0.4178321277317962
eat_all,1,Passeriformes,Strigiformes,0.4999242474970718
eat_all,1,Charadriiformes,Piciformes,0.25981980454655496
eat_all,1,Charadriiformes,Strigiformes,0.5416319668661697
eat_all,1,Piciformes,Strigiformes,0.27319970183257775
eat_all,2,Passeriformes,Charadriiformes,0.024183424023650882
eat_all,2,Passeriformes,Piciformes,0.09667320559375206
eat_all,2,Passeriformes,Strigiformes,0.6248658933513818
eat_all,2,Charadriiformes,Piciformes,0.1474684622113289
eat_all,2,Charadriiformes,Strigiformes,0.5056878775405227
eat_all,2,Piciformes,Strigiformes,0.5573747314300066
eat_all,3,Passeriformes,Charadriiformes,0.015106562287929674
eat_all,3,Passeriformes,Piciformes,0.19156012378199438
eat_all,3,Passeriformes,Strigiformes,0.7302233020962786
eat_all,3,Charadriiformes,Piciformes,0.19950631653479922
eat_all,3,Charadriiformes,Strigiformes,0.4457734962721577
eat_all,3,Piciformes,Strigiformes,0.5579906957218566
eat_all,4,Passeriformes,Charadriiformes,0.1626616195498156
eat_all,4,Passeriformes,Piciformes,0.2924813306165818
eat_all,4,Passeriformes,Strigiformes,0.6631020488134274
eat_all,4,Charadriiformes,Piciformes,0.2635475593843624
eat_all,4,Charadriiformes,Strigiformes,0.41836754991137015
eat_all,4,Piciformes,Strigiformes,0.5661210076362182
eat_all,5,Passeriformes,Charadriiformes,0.1436696928070358
eat_all,5,Passeriformes,Piciformes,0.21157677362866018
eat_all,5,Passeriformes,Strigiformes,0.6034046484166368
eat_all,5,Charadriiformes,Piciformes,0.3136837824705279
eat_all,5,Charadriiformes,Strigiformes,0.5151387990989974
eat_all,5,Piciformes,Strigiformes,0.4356170807363148
eat_all,6,Passeriformes,Charadriiformes,0.13769510751373407
eat_all,6,Passeriformes,Piciformes,0.20252013156502183
eat_all,6,Passeriformes,Strigiformes,0.6070382111763085
eat_all,6,Charadriiformes,Piciformes,0.27176602561074276
eat_all,6,Charadriiformes,Strigiformes,0.5128171909382587
eat_all,6,Piciformes,Strigiformes,0.4662023149749471
eat_all,7,Passeriformes,Charadriiformes,0.21895624188034526
eat_all,7,Passeriformes,Piciformes,0.1673960297517277
eat_all,7,Passeriformes,Strigiformes,0.5462506255000062
eat_all,7,Charadriiformes,Piciformes,0.2449796725483041
eat_all,7,Charadriiformes,Strigiformes,0.4821272512371892
eat_all,7,Piciformes,Strigiformes,0.5053398341784147
eat_all,8,Passeriformes,Charadriiformes,0.15862814246305687
eat_all,8,Passeriformes,Piciformes,0.19757400425034322
eat_all,8,Passeriformes,Strigiformes,0.6073731198781764
eat_all,8,Charadriiformes,Piciformes,0.13081968585077974
eat_all,8,Charadriiformes,Strigiformes,0.496081308076292
eat_all,8,Piciformes,Strigiformes,0.5672217498360318
eat_all,9,Passeriformes,Charadriiformes,0.1868738325367446
eat_all,9,Passeriformes,Piciformes,0.17194929330338507
eat_all,9,Passeriformes,Strigiformes,0.6018705771890817
eat_all,9,Charadriiformes,Piciformes,0.23741773531904412
eat_all,9,Charadriiformes,Strigiformes,0.4869957927609722
eat_all,9,Piciformes,Strigiformes,0.47190874062099075
eat_all,10,Passeriformes,Charadriiformes,0.19426699107191334
eat_all,10,Passeriformes,Piciformes,0.06760110214293526
eat_all,10,Passeriformes,Strigiformes,0.5956616992821597
eat_all,10,Charadriiformes,Piciformes,0.2672627762045905
eat_all,10,Charadriiformes,Strigiformes,0.4818541402432913
eat_all,10,Piciformes,Strigiformes,0.3868731202168269
eat_all,11,Passeriformes,Charadriiformes,0.10208585974919719
eat_all,11,Passeriformes,Piciformes,0.10195434849162487
eat_all,11,Passeriformes,Strigiformes,0.5975556533522284
eat_all,11,Charadriiformes,Piciformes,0.07536789481231804
eat_all,11,Charadriiformes,Strigiformes,0.5606071627301458
eat_all,11,Piciformes,Strigiformes,0.5188762573411384
eat_all,12,Passeriformes,Charadriiformes,0.08407737960406349
eat_all,12,Passeriformes,Piciformes,0.13541571074147485
eat_all,12,Passeriformes,Strigiformes,0.44512403333437284
eat_all,12,Charadriiformes,Piciformes,0.1432083251963401
eat_all,12,Charadriiformes,Strigiformes,0.7021144605882909
eat_all,12,Piciformes,Strigiformes,0.5298964384576963
eat_bio,0,Passeriformes,Charadriiformes,0.31737364796357204
eat_bio,0,Passeriformes,Piciformes,0.9407987494261117
eat_bio,0,Passeriformes,Strigiformes,0.6000135978328948
eat_bio,0,Charadriiformes,Piciformes,0.08597845712236048
eat_bio,0,Charadriiformes,Strigiformes,0.17809089250197782
eat_bio,0,Piciformes,Strigiformes,0.7707641113139891
eat_bio,1,Passeriformes,Charadriiformes,0.11260979593878664
eat_bio,1,Passeriformes,Piciformes,0.5907922935482742
eat_bio,1,Passeriformes,Strigiformes,0.40612052292567546
eat_bio,1,Charadriiformes,Piciformes,0.24072093828611488
eat_bio,1,Charadriiformes,Strigiformes,0.6942014027691301
eat_bio,1,Piciformes,Strigiformes,0.14941466547832205
eat_bio,2,Passeriformes,Charadriiformes,0.002165663625972038
eat_bio,2,Passeriformes,Piciformes,0.20577119287397652
eat_bio,2,Passeriformes,Strigiformes,0.4633025735989312
eat_bio,2,Charadriiformes,Piciformes,0.04054737376781424
eat_bio,2,Charadriiformes,Strigiformes,0.6276711475007138
eat_bio,2,Piciformes,Strigiformes,0.4922177252828892
eat_bio,3,Passeriformes,Charadriiformes,0.007798011381031766
eat_bio,3,Passeriformes,Piciformes,0.04851028792861934
eat_bio,3,Passeriformes,Strigiformes,0.6886730895318107
eat_bio,3,Charadriiformes,Piciformes,0.11607610085402038
eat_bio,3,Charadriiformes,Strigiformes,0.49356126254990446
eat_bio,3,Piciformes,Strigiformes,0.5083516074363593
eat_bio,4,Passeriformes,Charadriiformes,0.14457383959541892
eat_bio,4,Passeriformes,Piciformes,0.15613008531908912
eat_bio,4,Passeriformes,Strigiformes,0.6532652351530536
eat_bio,4,Charadriiformes,Piciformes,0.20197184551636116
eat_bio,4,Charadriiformes,Strigiformes,0.39202110296240983
eat_bio,4,Piciformes,Strigiformes,0.5719329460413607
eat_bio,5,Passeriformes,Charadriiformes,0.21100445577174173
eat_bio,5,Passeriformes,Piciformes,0.22556724786413154
eat_bio,5,Passeriformes,Strigiformes,0.6307602713814939
eat_bio,5,Charadriiformes,Piciformes,0.27519720902704664
eat_bio,5,Charadriiformes,Strigiformes,0.4094993480694115
eat_bio,5,Piciformes,Strigiformes,0.5259777127612753
eat_bio,6,Passeriformes,Charadriiformes,0.18527274307754102
eat_bio,6,Passeriformes,Piciformes,0.25810013628596234
eat_bio,6,Passeriformes,Strigiformes,0.6322203306362626
eat_bio,6,Charadriiformes,Piciformes,0.1830249942179529
eat_bio,6,Charadriiformes,Strigiformes,0.4489360122864077
eat_bio,6,Piciformes,Strigiformes,0.5794052904874907
eat_bio,7,Passeriformes,Charadriiformes,0.20116979885031303
eat_bio,7,Passeriformes,Piciformes,0.2045658237729136
eat_bio,7,Passeriformes,Strigiformes,0.6040266066219475
eat_bio,7,Charadriiformes,Piciformes,0.22929941044127658
eat_bio,7,Charadriiformes,Strigiformes,0.42328314146593937
eat_bio,7,Piciformes,Strigiformes,0.5646221320512829
eat_bio,8,Passeriformes,Charadriiformes,0.22557611507629033
eat_bio,8,Passeriformes,Piciformes,0.19182769145424536
eat_bio,8,Passeriformes,Strigiformes,0.6305707907200538
eat_bio,8,Charadriiformes,Piciformes,0.1571067389872736
eat_bio,8,Charadriiformes,Strigiformes,0.38238797935429597
eat_bio,8,Piciformes,Strigiformes,0.6026733212244108
eat_bio,9,Passeriformes,Charadriiformes,0.23382496721082544
eat_bio,9,Passeriformes,Piciformes,0.18593790629953874
eat_bio,9,Passeriformes,Strigiformes,0.6388815148335832
eat_bio,9,Charadriiformes,Piciformes,0.1828560243150671
eat_bio,9,Charadriiformes,Strigiformes,0.3917998324580157
eat_bio,9,Piciformes,Strigiformes,0.5552005959802373
eat_bio,10,Passeriformes,Charadriiformes,0.22169430153997094
eat_bio,10,Passeriformes,Piciformes,0.08180104213139137
eat_bio,10,Passeriformes,Strigiformes,0.598436635740159
eat_bio,10,Charadriiformes,Piciformes,0.1572896027832043
eat_bio,10,Charadriiformes,Strigiformes,0.44821245135819426
eat_bio,10,Piciformes,Strigiformes,0.4923762549598348
eat_bio,11,Passeriformes,Charadriiformes,0.10767316991516776
eat_bio,11,Passeriformes,Piciformes,0.20938012042483112
eat_bio,11,Passeriformes,Strigiformes,0.628602090980821
eat_bio,11,Charadriiformes,Piciformes,0.04106621614536539
eat_bio,11,Charadriiformes,Strigiformes,0.5435672307439985
eat_bio,11,Piciformes,Strigiformes,0.6356868068025341
eat_bio,12,Passeriformes,Charadriiformes,0.07951905402860622
eat_bio,12,Passeriformes,Piciformes,0.025658062433359944
eat_bio,12,Passeriformes,Strigiformes,0.6512056571541406
eat_bio,12,Charadriiformes,Piciformes,0.1739722149043995
eat_bio,12,Charadriiformes,Strigiformes,0.49735271574997103
eat_bio,12,Piciformes,Strigiformes,0.43567553853767854
sl_eat_all_ssl_all,0,Passeriformes,Charadriiformes,0.35999121451548993
sl_eat_all_ssl_all,0,Passeriformes,Piciformes,0.9274657852377748
sl_eat_all_ssl_all,0,Passeriformes,Strigiformes,0.5743852733187386
sl_eat_all_ssl_all,0,Charadriiformes,Piciformes,0.13808332916573995
