model,layer_idx,class,n_species,between_var,mean_within_var,separability_ratio
eat_all,0,Aves,13,0.003357506719361643,0.33476929732480937,0.00992972659725325
eat_all,0,Mammalia,15,0.011878467372434417,0.33114930266598525,0.0346282966277162
eat_all,1,Aves,13,0.1703761311757418,24.80312704929541,0.006822275991658751
eat_all,1,Mammalia,15,0.49010215952719244,23.76754957653143,0.02020402324428886
eat_all,2,Aves,13,0.32772059100664774,25.509956854010117,0.012683825460088102
eat_all,2,Mammalia,15,0.889946669775648,24.676893051677975,0.034808630220686865
eat_all,3,Aves,13,0.43793751839596234,26.50824847259681,0.01625230073533785
eat_all,3,Mammalia,15,1.2061997588459168,25.066156859776658,0.04591136517958686
eat_all,4,Aves,13,0.8855457615590367,48.92312104650711,0.017778949293531965
eat_all,4,Mammalia,15,2.596680363895048,46.15407117638892,0.053264417098254295
eat_all,5,Aves,13,1.4488314081653249,57.824735989795535,0.02444312822337681
eat_all,5,Mammalia,15,3.8288610448316613,54.46328907579729,0.06568399067298547
eat_all,6,Aves,13,1.4734135476151204,48.55160180300384,0.02945353514213144
eat_all,6,Mammalia,15,4.500264358005546,45.15721811471967,0.09062610776688797
eat_all,7,Aves,13,2.0439988029801412,64.88861133609468,0.03053816067732981
eat_all,7,Mammalia,15,6.062533403758836,62.71628889853486,0.08814535057191081
eat_all,8,Aves,13,1.3688018814023484,58.42518905348666,0.0228919638913694
eat_all,8,Mammalia,15,4.408288015682013,57.38871684922354,0.0713349785368882
eat_all,9,Aves,13,0.9935792619822694,40.40075392889749,0.02400278456958405
eat_all,9,Mammalia,15,3.2244826341624337,39.026922885700614,0.0763165767975826
eat_all,10,Aves,13,0.6172301269217905,25.708175551364434,0.023446177220011296
eat_all,10,Mammalia,15,1.9028137567210583,24.307166272747008,0.07259882512621953
eat_all,11,Aves,13,0.5204907702292888,33.449794958734756,0.015321942664306277
eat_all,11,Mammalia,15,2.168759937043544,31.22659619890448,0.06494196163726515
eat_all,12,Aves,13,0.18295558528137879,17.880686982686473,0.010128388257959267
eat_all,12,Mammalia,15,0.7349670304389279,15.810253627060243,0.04442171220640698
eat_bio,0,Aves,13,0.004077534645848726,0.2427438117780278,0.016520186381473692
eat_bio,0,Mammalia,15,0.016108369136105142,0.24015588233874358,0.06285843243214168
eat_bio,1,Aves,13,0.06429678465845177,5.338202321356296,0.01190130408108137
eat_bio,1,Mammalia,15,0.21241025547087167,4.867613281937593,0.041812848682041964
eat_bio,2,Aves,13,0.22981865340051932,22.774297185797742,0.009990327600807671
eat_bio,2,Mammalia,15,0.6876305625890106,21.42623335753605,0.03109499837173285
