model,layer_idx,class,species,n_clips,within_var,centroid_norm
eat_all,0,Aves,Colaptes auratus,6,0.3355138029576688,0.15717791285702887
eat_all,0,Aves,Picus viridis,5,0.3195158618194357,0.21127699030338343
eat_all,0,Aves,Dendrocopos major,11,0.3276065340074915,0.19247533029877212
eat_all,0,Aves,Sterna paradisaea,5,0.3463266355845341,0.16065304086147827
eat_all,0,Aves,Dryobates pubescens,5,0.33428016020589874,0.1524879045252636
eat_all,0,Aves,Athene noctua,7,0.33259523965420235,0.15510059836097673
eat_all,0,Aves,Strix uralensis,5,0.3244015428012358,0.18597974209048995
eat_all,0,Aves,Calidris alpina,5,0.3363502287200224,0.16765453125905805
eat_all,0,Aves,Aegolius funereus,5,0.3323411814296828,0.18523163643104223
eat_all,0,Aves,Strix aluco,7,0.33421263165350473,0.16885825664029502
eat_all,0,Aves,Tyto alba,5,0.33071785613113985,0.1898097469597376
eat_all,0,Aves,Bubo virginianus,5,0.35215043846517746,0.17988096518885965
eat_all,0,Aves,Strix varia,6,0.34598875179252675,0.1595993810003513
eat_all,0,Mammalia,Delphinus delphis,9,0.33756983612033703,0.20307208775127045
eat_all,0,Mammalia,Globicephala melaena,8,0.32804206096774924,0.20683767223807165
eat_all,0,Mammalia,Stenella attenuata,6,0.3325233652908661,0.19877725876765626
eat_all,0,Mammalia,Sciurus carolinensis,7,0.32913239804822436,0.18700146597416495
eat_all,0,Mammalia,Stenella coeruleoalba,5,0.32519921894336334,0.2221705078556019
eat_all,0,Mammalia,Orcinus orca,28,0.335636229100747,0.21863025494867552
eat_all,0,Mammalia,Pseudorca crassidens,8,0.33985245317796964,0.21090922921854094
eat_all,0,Mammalia,Eubalaena glacialis,7,0.3318523581547958,0.21971345820740032
eat_all,0,Mammalia,Lagenorhynchus acutus,7,0.33290926838189494,0.20366829640822784
eat_all,0,Mammalia,Megaptera novaeangliae,10,0.3314322577838753,0.19178591628134908
eat_all,0,Mammalia,Globicephala macrorhynchus,9,0.32994396675993665,0.2225516805180196
eat_all,0,Mammalia,Canis latrans,6,0.3180571605460125,0.20397880411172864
eat_all,0,Mammalia,Physeter catodon,8,0.3228277754331903,0.2364908985296593
eat_all,0,Mammalia,Balaenoptera physalus,12,0.34499971567843557,0.25601101173941676
eat_all,0,Mammalia,Erignathus barbatus,7,0.3272614756023811,0.18986184517764987
eat_all,1,Aves,Colaptes auratus,6,24.928855751773025,1.6367567206236195
eat_all,1,Aves,Picus viridis,5,24.58899228758995,1.697161656769172
eat_all,1,Aves,Dendrocopos major,11,24.966797809285453,1.6333829885777709
eat_all,1,Aves,Sterna paradisaea,5,25.90087932705342,1.5230785057163827
eat_all,1,Aves,Dryobates pubescens,5,24.84831360810802,1.6339678463470342
eat_all,1,Aves,Athene noctua,7,25.169224943281744,1.6157831279596302
eat_all,1,Aves,Strix uralensis,5,23.382419578586635,1.79584505526869
eat_all,1,Aves,Calidris alpina,5,24.415939405321122,1.6637858192286825
eat_all,1,Aves,Aegolius funereus,5,25.446913807844584,1.5781684948968657
eat_all,1,Aves,Strix aluco,7,25.070279710555162,1.6082273569362826
eat_all,1,Aves,Tyto alba,5,24.19027683865936,1.6884953649089465
eat_all,1,Aves,Bubo virginianus,5,24.441661490747837,1.7127307496853903
eat_all,1,Aves,Strix varia,6,25.090097082033996,1.5905495367838483
eat_all,1,Mammalia,Delphinus delphis,9,24.156374144724232,1.7992843182546252
eat_all,1,Mammalia,Globicephala melaena,8,23.467333822075116,1.848148451525527
eat_all,1,Mammalia,Stenella attenuata,6,24.091229182708567,1.7701166494127778
eat_all,1,Mammalia,Sciurus carolinensis,7,24.27974816744907,1.7111314880276558
eat_all,1,Mammalia,Stenella coeruleoalba,5,22.611024843046827,2.0102117695221144
eat_all,1,Mammalia,Orcinus orca,28,23.33911237092557,2.0540192499763705
eat_all,1,Mammalia,Pseudorca crassidens,8,23.0396350344961,2.0895869191075365
eat_all,1,Mammalia,Eubalaena glacialis,7,23.67930718415806,1.8975642809235849
eat_all,1,Mammalia,Lagenorhynchus acutus,7,23.300447239877837,1.9296936191636056
eat_all,1,Mammalia,Megaptera novaeangliae,10,24.416905082189814,1.7411348910097049
eat_all,1,Mammalia,Globicephala macrorhynchus,9,23.89976004316075,1.8165717086631055
eat_all,1,Mammalia,Canis latrans,6,24.784738557115404,1.6722253571798371
eat_all,1,Mammalia,Physeter catodon,8,22.580112563140396,2.1004769528406917
eat_all,1,Mammalia,Balaenoptera physalus,12,24.267793396455634,2.042505478584068
eat_all,1,Mammalia,Erignathus barbatus,7,24.59972201644794,1.7243994844885362
eat_all,2,Aves,Colaptes auratus,6,25.747741555715667,2.041412443919767
eat_all,2,Aves,Picus viridis,5,26.46586405760878,1.9517110267459128
eat_all,2,Aves,Dendrocopos major,11,26.213493809627828,1.969260305777024
eat_all,2,Aves,Sterna paradisaea,5,27.642902653446153,1.8028120988947502
eat_all,2,Aves,Dryobates pubescens,5,25.54323150789411,1.9634484741726987
eat_all,2,Aves,Athene noctua,7,25.945371754263064,1.9728131001889624
eat_all,2,Aves,Strix uralensis,5,21.980249588139902,2.4712287245604783
eat_all,2,Aves,Calidris alpina,5,25.15457583007899,2.076633606287964
eat_all,2,Aves,Aegolius funereus,5,25.707846222699924,2.0039787110548124
eat_all,2,Aves,Strix aluco,7,25.7206288761175,2.0259113063947702
eat_all,2,Aves,Tyto alba,5,24.402760865646915,2.2196519898308784
eat_all,2,Aves,Bubo virginianus,5,24.98865471824662,2.068674931345279
eat_all,2,Aves,Strix varia,6,26.11611766264613,1.9158036237420024
eat_all,2,Mammalia,Delphinus delphis,9,25.054141204176467,2.106760565562705
eat_all,2,Mammalia,Globicephala melaena,8,23.711747359274458,2.1812128736567047
eat_all,2,Mammalia,Stenella attenuata,6,24.227610196331483,2.1898474263175967
eat_all,2,Mammalia,Sciurus carolinensis,7,25.255255353164618,2.134778142779746
eat_all,2,Mammalia,Stenella coeruleoalba,5,22.970209992492208,2.2801193704716805
eat_all,2,Mammalia,Orcinus orca,28,25.730937838688458,2.0006523681603774
eat_all,2,Mammalia,Pseudorca crassidens,8,24.55014339863604,2.1672122520417085
eat_all,2,Mammalia,Eubalaena glacialis,7,25.56057311320334,2.0710808387130557
eat_all,2,Mammalia,Lagenorhynchus acutus,7,23.163355137141235,2.2298706192208044
eat_all,2,Mammalia,Megaptera novaeangliae,10,25.451944354732476,1.9927523682429178
eat_all,2,Mammalia,Globicephala macrorhynchus,9,24.828538770761984,2.0206541208496245
eat_all,2,Mammalia,Canis latrans,6,25.747582215518868,2.017320701280122
eat_all,2,Mammalia,Physeter catodon,8,22.2262849885896,2.3839244700840885
eat_all,2,Mammalia,Balaenoptera physalus,12,25.815962547357426,2.3945344354100118
eat_all,2,Mammalia,Erignathus barbatus,7,25.85910930510097,2.0447471857408135
eat_all,3,Aves,Colaptes auratus,6,26.727955199491227,2.375680341486889
eat_all,3,Aves,Picus viridis,5,26.99833566165597,2.313432473538402
eat_all,3,Aves,Dendrocopos major,11,27.1445788160537,2.2829699752573753
eat_all,3,Aves,Sterna paradisaea,5,28.570060857866636,2.1150800905217415
eat_all,3,Aves,Dryobates pubescens,5,26.737560061211735,2.265915425652803
eat_all,3,Aves,Athene noctua,7,27.349091474802947,2.268994304416381
eat_all,3,Aves,Strix uralensis,5,22.733114253982748,3.0041163190077276
eat_all,3,Aves,Calidris alpina,5,26.39022560506273,2.369967125104948
eat_all,3,Aves,Aegolius funereus,5,26.60914664075779,2.428891839287693
eat_all,3,Aves,Strix aluco,7,26.772962880849647,2.3912511731328303
eat_all,3,Aves,Tyto alba,5,26.126788573592364,2.48276197477401
eat_all,3,Aves,Bubo virginianus,5,25.967437305144454,2.4964690055992302
eat_all,3,Aves,Strix varia,6,26.479972813286583,2.3328845983931044
eat_all,3,Mammalia,Delphinus delphis,9,25.232311868499185,2.446070008419634
eat_all,3,Mammalia,Globicephala melaena,8,24.36456493179112,2.5272033503124693
eat_all,3,Mammalia,Stenella attenuata,6,24.70937188803297,2.540937309058967
eat_all,3,Mammalia,Sciurus carolinensis,7,26.426627605399414,2.435158389742846
eat_all,3,Mammalia,Stenella coeruleoalba,5,23.636315357198104,2.618783028550091
eat_all,3,Mammalia,Orcinus orca,28,26.447645348974234,2.2348526249531924
eat_all,3,Mammalia,Pseudorca crassidens,8,24.450378392845074,2.507417722082356
eat_all,3,Mammalia,Eubalaena glacialis,7,26.200800668509505,2.2965242806068322
eat_all,3,Mammalia,Lagenorhynchus acutus,7,23.722895402774867,2.6336654785401725
eat_all,3,Mammalia,Megaptera novaeangliae,10,26.197547593726608,2.2763991709537295
eat_all,3,Mammalia,Globicephala macrorhynchus,9,24.74600367231263,2.443576260780453
eat_all,3,Mammalia,Canis latrans,6,26.41775793739743,2.419476265853716
eat_all,3,Mammalia,Physeter catodon,8,21.911428137313628,2.782296102032127
eat_all,3,Mammalia,Balaenoptera physalus,12,25.0855848595405,2.6938447985904443
eat_all,3,Mammalia,Erignathus barbatus,7,26.443119232334617,2.365187903739777
eat_all,4,Aves,Colaptes auratus,6,49.73072260397131,2.9813726679366743
eat_all,4,Aves,Picus viridis,5,50.57340233341021,2.832650096007858
eat_all,4,Aves,Dendrocopos major,11,50.22617275605964,2.8632323067921743
eat_all,4,Aves,Sterna paradisaea,5,52.33604824737034,2.6192794274842015
eat_all,4,Aves,Dryobates pubescens,5,50.01738608532416,2.8066751594053927
eat_all,4,Aves,Athene noctua,7,50.14493253902766,2.88571255919906
eat_all,4,Aves,Strix uralensis,5,41.774727547403955,3.866573649588906
eat_all,4,Aves,Calidris alpina,5,48.69833305147884,2.9806388725666118
eat_all,4,Aves,Aegolius funereus,5,48.36522093720274,3.1037403538690396
eat_all,4,Aves,Strix aluco,7,49.35633365807533,2.9858661222307514
eat_all,4,Aves,Tyto alba,5,47.962458554390146,3.1517710175947626
eat_all,4,Aves,Bubo virginianus,5,47.732633805157455,3.155787911315631
eat_all,4,Aves,Strix varia,6,49.082201485720546,2.9603666837115874
eat_all,4,Mammalia,Delphinus delphis,9,47.109678914250956,3.195245178865366
eat_all,4,Mammalia,Globicephala melaena,8,44.0415788433612,3.453042075279943
eat_all,4,Mammalia,Stenella attenuata,6,46.072647277315596,3.2889513966155484
eat_all,4,Mammalia,Sciurus carolinensis,7,49.40685377328593,2.996078419122388
