model,layer,pre_class_acc,post_class_acc,class_chance,pre_order_acc,post_order_acc,order_majority,order_survival_ratio,n_inlp_iters
eat_all,5,0.6041666666666666,0.3333333333333333,0.2,0.78825,0.67925,0.75,-1.8496732026143783,80
eat_all,7,0.6068333333333333,0.3333333333333333,0.2,0.746,0.6345,0.75,-115500.00000000006,80
eat_all,9,0.5965,0.3333333333333333,0.2,0.75325,0.65475,0.75,-29.307692307692516,80
eat_all,12,0.5176666666666667,0.3333333333333333,0.2,0.741,0.72775,0.75,-22249.999999999993,80
eat_bio,5,0.5718333333333333,0.309,0.2,0.7745,0.6935,0.75,-2.3061224489795946,47
eat_bio,7,0.6243333333333333,0.3333333333333333,0.2,0.76875,0.66825,0.75,-4.359999999999989,80
eat_bio,9,0.562,0.3333333333333333,0.2,0.7515,0.681,0.75,-46.00000000000163,80
eat_bio,12,0.5063333333333333,0.3333333333333333,0.2,0.74025,0.7275,0.75,-22499.999999999967,80
sl_eat_all_ssl_all,5,0.5683333333333334,0.3333333333333333,0.2,0.7765,0.71875,0.75,-1.1792452830188693,80
sl_eat_all_ssl_all,7,0.6115,0.3333333333333333,0.2,0.78225,0.65875,0.75,-2.8294573643410867,80
sl_eat_all_ssl_all,9,0.6043333333333333,0.3333333333333333,0.2,0.74675,0.6815,0.75,-68500.00000000001,80
sl_eat_all_ssl_all,12,0.6211666666666666,0.30933333333333335,0.2,0.74925,0.63425,0.75,-115750.00000000003,51
sl_eat_bio_ssl_all,5,0.6038333333333333,0.3333333333333333,0.2,0.78725,0.68675,0.75,-1.6979865771812086,80
sl_eat_bio_ssl_all,7,0.6465,0.3333333333333333,0.2,0.7815,0.611,0.75,-4.412698412698417,80
sl_eat_bio_ssl_all,9,0.7386666666666667,0.3333333333333333,0.2,0.807,0.58925,0.75,-2.820175438596488,80
sl_eat_bio_ssl_all,12,0.6753333333333333,0.3333333333333333,0.2,0.77375,0.6325,0.75,-4.947368421052624,80
random_init_eat_seed42,5,0.41533333333333333,0.37116666666666664,0.2,0.695,0.74025,0.75,-9750.000000000036,80
random_init_eat_seed42,7,0.4078333333333333,0.39,0.2,0.69325,0.74225,0.75,-7750.000000000035,80
random_init_eat_seed42,9,0.3945,0.37266666666666665,0.2,0.685,0.7335,0.75,-16499.99999999996,80
random_init_eat_seed42,12,0.39816666666666667,0.3935,0.2,0.67625,0.7275,0.75,-22499.999999999967,80
