model,layer,iter,class_acc,class_chance
random_init_eat_seed07,9,0,0.4013333333333333,0.2
random_init_eat_seed07,9,1,0.4013333333333333,0.2
random_init_eat_seed07,9,2,0.4061666666666667,0.2
random_init_eat_seed07,9,3,0.4103333333333333,0.2
random_init_eat_seed07,9,4,0.4018333333333333,0.2
random_init_eat_seed07,9,5,0.4053333333333333,0.2
random_init_eat_seed07,9,6,0.4085,0.2
random_init_eat_seed07,9,7,0.412,0.2
random_init_eat_seed07,9,8,0.41133333333333333,0.2
random_init_eat_seed07,9,9,0.4156666666666667,0.2
random_init_eat_seed07,9,10,0.42,0.2
random_init_eat_seed07,9,11,0.42,0.2
random_init_eat_seed07,9,12,0.424,0.2
random_init_eat_seed07,9,13,0.4245,0.2
random_init_eat_seed07,9,14,0.424,0.2
random_init_eat_seed07,9,15,0.42283333333333334,0.2
random_init_eat_seed07,9,16,0.4256666666666667,0.2
random_init_eat_seed07,9,17,0.4245,0.2
random_init_eat_seed07,9,18,0.4265,0.2
random_init_eat_seed07,9,19,0.43066666666666664,0.2
random_init_eat_seed07,9,20,0.43233333333333335,0.2
random_init_eat_seed07,9,21,0.427,0.2
random_init_eat_seed07,9,22,0.42933333333333334,0.2
random_init_eat_seed07,9,23,0.43016666666666664,0.2
random_init_eat_seed07,9,24,0.4201666666666667,0.2
random_init_eat_seed07,9,25,0.4221666666666667,0.2
random_init_eat_seed07,9,26,0.421,0.2
random_init_eat_seed07,9,27,0.42,0.2
random_init_eat_seed07,9,28,0.4176666666666667,0.2
random_init_eat_seed07,9,29,0.4175,0.2
random_init_eat_seed07,9,30,0.42,0.2
random_init_eat_seed07,9,31,0.4156666666666667,0.2
random_init_eat_seed07,9,32,0.4131666666666667,0.2
random_init_eat_seed07,9,33,0.4126666666666667,0.2
random_init_eat_seed07,9,34,0.4076666666666667,0.2
random_init_eat_seed07,9,35,0.4085,0.2
random_init_eat_seed07,9,36,0.405,0.2
random_init_eat_seed07,9,37,0.4031666666666667,0.2
random_init_eat_seed07,9,38,0.4028333333333333,0.2
random_init_eat_seed07,9,39,0.4018333333333333,0.2
random_init_eat_seed07,9,40,0.4023333333333333,0.2
random_init_eat_seed07,9,41,0.4041666666666667,0.2
random_init_eat_seed07,9,42,0.4053333333333333,0.2
random_init_eat_seed07,9,43,0.4031666666666667,0.2
