model,layer,iter,class_acc,class_majority_baseline
eat_all,5,0,0.922,0.6666666666666666
eat_all,5,1,0.918,0.6666666666666666
eat_all,5,2,0.904,0.6666666666666666
eat_all,5,3,0.8915,0.6666666666666666
eat_all,5,4,0.8918333333333334,0.6666666666666666
eat_all,5,5,0.8863333333333333,0.6666666666666666
eat_all,5,6,0.8803333333333333,0.6666666666666666
eat_all,5,7,0.8685,0.6666666666666666
eat_all,5,8,0.866,0.6666666666666666
eat_all,5,9,0.8678333333333333,0.6666666666666666
eat_all,5,10,0.865,0.6666666666666666
eat_all,5,11,0.8558333333333333,0.6666666666666666
eat_all,5,12,0.8461666666666666,0.6666666666666666
eat_all,5,13,0.8388333333333333,0.6666666666666666
eat_all,5,14,0.8253333333333334,0.6666666666666666
eat_all,7,0,0.9356666666666666,0.6666666666666666
eat_all,7,1,0.9153333333333333,0.6666666666666666
eat_all,7,2,0.9118333333333334,0.6666666666666666
eat_all,7,3,0.9098333333333334,0.6666666666666666
eat_all,7,4,0.8921666666666667,0.6666666666666666
eat_all,7,5,0.8853333333333333,0.6666666666666666
eat_all,7,6,0.8838333333333334,0.6666666666666666
eat_all,7,7,0.8746666666666667,0.6666666666666666
eat_all,7,8,0.8748333333333334,0.6666666666666666
eat_all,7,9,0.872,0.6666666666666666
eat_all,7,10,0.863,0.6666666666666666
eat_all,7,11,0.86,0.6666666666666666
eat_all,7,12,0.8455,0.6666666666666666
eat_all,7,13,0.8385,0.6666666666666666
eat_all,7,14,0.8255,0.6666666666666666
eat_all,9,0,0.9268333333333333,0.6666666666666666
eat_all,9,1,0.9155,0.6666666666666666
eat_all,9,2,0.9153333333333333,0.6666666666666666
eat_all,9,3,0.9043333333333333,0.6666666666666666
eat_all,9,4,0.8988333333333334,0.6666666666666666
eat_all,9,5,0.8916666666666667,0.6666666666666666
eat_all,9,6,0.8825,0.6666666666666666
eat_all,9,7,0.8731666666666666,0.6666666666666666
eat_all,9,8,0.8681666666666666,0.6666666666666666
eat_all,9,9,0.87,0.6666666666666666
eat_all,9,10,0.8633333333333333,0.6666666666666666
eat_all,9,11,0.8525,0.6666666666666666
eat_all,9,12,0.8446666666666667,0.6666666666666666
eat_all,9,13,0.8438333333333333,0.6666666666666666
eat_all,9,14,0.8263333333333334,0.6666666666666666
eat_all,12,0,0.8966666666666666,0.6666666666666666
eat_all,12,1,0.8858333333333334,0.6666666666666666
eat_all,12,2,0.8813333333333333,0.6666666666666666
eat_all,12,3,0.8643333333333333,0.6666666666666666
eat_all,12,4,0.8715,0.6666666666666666
eat_all,12,5,0.8683333333333333,0.6666666666666666
eat_all,12,6,0.869,0.6666666666666666
eat_all,12,7,0.8616666666666667,0.6666666666666666
eat_all,12,8,0.8633333333333333,0.6666666666666666
eat_all,12,9,0.8695,0.6666666666666666
eat_all,12,10,0.8636666666666667,0.6666666666666666
eat_all,12,11,0.86,0.6666666666666666
eat_all,12,12,0.8541666666666666,0.6666666666666666
eat_all,12,13,0.8506666666666667,0.6666666666666666
eat_all,12,14,0.842,0.6666666666666666
eat_bio,5,0,0.9123333333333333,0.6666666666666666
