model,layer,pre_class_acc,post_class_acc,class_majority_baseline,pre_order_acc,post_order_acc,order_majority_baseline,order_survival_ratio,n_inlp_iters,n_class_frames,n_order_frames
eat_all,5,0.922,0.8278333333333333,0.6666666666666666,0.837,0.8305,0.75,0.9252873563218397,15,30000,20000
eat_all,7,0.9356666666666666,0.8308333333333333,0.6666666666666666,0.86,0.857,0.75,0.9727272727272727,15,30000,20000
eat_all,9,0.9268333333333333,0.8341666666666666,0.6666666666666666,0.85675,0.855,0.75,0.9836065573770489,15,30000,20000
eat_all,12,0.8966666666666666,0.8448333333333333,0.6666666666666666,0.7875,0.7835,0.75,0.8933333333333332,15,30000,20000
eat_bio,5,0.9123333333333333,0.8755,0.6666666666666666,0.829,0.8275,0.75,0.9810126582278488,15,30000,20000
eat_bio,7,0.9323333333333333,0.8116666666666666,0.6666666666666666,0.84825,0.8455,0.75,0.9720101781170492,15,30000,20000
eat_bio,9,0.913,0.8333333333333334,0.6666666666666666,0.83325,0.832,0.75,0.984984984984984,15,30000,20000
eat_bio,12,0.8845,0.8118333333333333,0.6666666666666666,0.79225,0.7925,0.75,1.005917159763313,15,30000,20000
sl_eat_all_ssl_all,5,0.89,0.8193333333333334,0.6666666666666666,0.8335,0.8295,0.75,0.9520958083832335,15,30000,20000
sl_eat_all_ssl_all,7,0.9353333333333333,0.8248333333333333,0.6666666666666666,0.84475,0.84225,0.75,0.9736147757255942,15,30000,20000
sl_eat_all_ssl_all,9,0.9408333333333333,0.8213333333333334,0.6666666666666666,0.84775,0.84475,0.75,0.969309462915601,15,30000,20000
sl_eat_all_ssl_all,12,0.9345,0.8553333333333333,0.6666666666666666,0.842,0.83875,0.75,0.9646739130434785,15,30000,20000
sl_eat_bio_ssl_all,5,0.9168333333333333,0.7923333333333333,0.6666666666666666,0.84975,0.84875,0.75,0.9899749373433584,15,30000,20000
sl_eat_bio_ssl_all,7,0.9563333333333334,0.7576666666666667,0.6666666666666666,0.891,0.89225,0.75,1.0088652482269502,15,30000,20000
sl_eat_bio_ssl_all,9,0.9806666666666667,0.8086666666666666,0.6666666666666666,0.9435,0.943,0.75,0.9974160206718343,15,30000,20000
sl_eat_bio_ssl_all,12,0.9718333333333333,0.8108333333333333,0.6666666666666666,0.91475,0.91275,0.75,0.9878603945371776,15,30000,20000
random_init_eat_seed42,5,0.8518333333333333,0.83,0.6666666666666666,0.75275,0.754,0.75,1.45454545454544,15,30000,20000
random_init_eat_seed42,7,0.8511666666666666,0.8318333333333333,0.6666666666666666,0.75,0.7495,0.75,-499.999999999945,15,30000,20000
random_init_eat_seed42,9,0.8573333333333333,0.8353333333333334,0.6666666666666666,0.75075,0.74925,0.75,-1.0,15,30000,20000
random_init_eat_seed42,12,0.864,0.8386666666666667,0.6666666666666666,0.76,0.757,0.75,0.7,15,30000,20000
