model,layer,iter,order4_acc
eat_all,5,0,0.4975
eat_all,5,1,0.48425
eat_all,5,2,0.49475
eat_all,5,3,0.5095
eat_all,5,4,0.50775
eat_all,5,5,0.5155
eat_all,5,6,0.477
eat_all,5,7,0.44575
eat_all,5,8,0.44275
eat_all,5,9,0.414
eat_all,5,10,0.384
eat_all,5,11,0.36725
eat_all,5,12,0.33725
eat_all,5,13,0.327
eat_all,5,14,0.323
eat_all,5,15,0.31625
eat_all,5,16,0.29875
eat_all,7,0,0.55775
eat_all,7,1,0.53325
eat_all,7,2,0.4965
eat_all,7,3,0.5135
eat_all,7,4,0.51475
eat_all,7,5,0.4895
eat_all,7,6,0.4615
eat_all,7,7,0.437
eat_all,7,8,0.401
eat_all,7,9,0.387
eat_all,7,10,0.39525
eat_all,7,11,0.36175
eat_all,7,12,0.351
eat_all,7,13,0.32975
eat_all,7,14,0.31825
eat_all,7,15,0.31925
eat_all,7,16,0.32275
eat_all,7,17,0.30075
eat_all,9,0,0.51325
eat_all,9,1,0.50925
eat_all,9,2,0.49425
eat_all,9,3,0.477
eat_all,9,4,0.46
eat_all,9,5,0.45675
eat_all,9,6,0.42075
eat_all,9,7,0.38925
eat_all,9,8,0.36625
eat_all,9,9,0.35825
eat_all,9,10,0.365
eat_all,9,11,0.37125
eat_all,9,12,0.3235
eat_all,9,13,0.31825
eat_all,9,14,0.3255
eat_all,9,15,0.317
eat_all,9,16,0.2955
eat_all,12,0,0.39025
eat_all,12,1,0.3715
eat_all,12,2,0.3475
eat_all,12,3,0.3415
eat_all,12,4,0.33325
eat_all,12,5,0.31375
eat_all,12,6,0.2995
eat_bio,5,0,0.49525
eat_bio,5,1,0.495
eat_bio,5,2,0.50925
eat_bio,5,3,0.50075
eat_bio,5,4,0.50175
eat_bio,5,5,0.498
eat_bio,5,6,0.5025
eat_bio,5,7,0.50425
eat_bio,5,8,0.4875
eat_bio,5,9,0.4775
eat_bio,5,10,0.465
eat_bio,5,11,0.46675
eat_bio,5,12,0.46425
eat_bio,5,13,0.46325
eat_bio,5,14,0.45325
eat_bio,5,15,0.45225
eat_bio,5,16,0.4485
eat_bio,5,17,0.44675
eat_bio,5,18,0.44075
eat_bio,5,19,0.426
eat_bio,5,20,0.41175
eat_bio,5,21,0.39275
eat_bio,5,22,0.3845
eat_bio,5,23,0.37875
eat_bio,5,24,0.37075
eat_bio,5,25,0.3615
eat_bio,5,26,0.37025
eat_bio,5,27,0.358
eat_bio,5,28,0.33775
eat_bio,5,29,0.339
eat_bio,5,30,0.336
eat_bio,5,31,0.32075
eat_bio,5,32,0.32425
eat_bio,5,33,0.3185
eat_bio,5,34,0.31225
eat_bio,5,35,0.311
eat_bio,5,36,0.3015
eat_bio,7,0,0.58125
eat_bio,7,1,0.5645
eat_bio,7,2,0.52375
eat_bio,7,3,0.5075
eat_bio,7,4,0.477
eat_bio,7,5,0.43775
eat_bio,7,6,0.40325
eat_bio,7,7,0.40725
eat_bio,7,8,0.3715
eat_bio,7,9,0.361
eat_bio,7,10,0.326
eat_bio,7,11,0.31425
eat_bio,7,12,0.28825
eat_bio,9,0,0.495
eat_bio,9,1,0.46525
eat_bio,9,2,0.43275
eat_bio,9,3,0.4095
eat_bio,9,4,0.3855
eat_bio,9,5,0.3785
eat_bio,9,6,0.36125
eat_bio,9,7,0.3445
eat_bio,9,8,0.323
eat_bio,9,9,0.32
eat_bio,9,10,0.321
eat_bio,9,11,0.315
eat_bio,9,12,0.30875
eat_bio,12,0,0.4265
eat_bio,12,1,0.3865
eat_bio,12,2,0.36425
eat_bio,12,3,0.3505
eat_bio,12,4,0.3315
eat_bio,12,5,0.318
eat_bio,12,6,0.295
