model,layer,n_inlp_iters,pre_4order_acc,post_4order_acc,order4_chance,pre_class5_acc,post_class5_acc,pre_binary_class_acc,post_binary_class_acc,pre_binary_order_acc,post_binary_order_acc
eat_all,5,17,0.4975,0.29875,0.25,0.6041666666666666,0.35783333333333334,0.8731666666666666,0.8768333333333334,0.77625,0.74975
eat_all,7,18,0.55775,0.30075,0.25,0.6065,0.3471666666666667,0.8866666666666667,0.8841666666666667,0.80575,0.75
eat_all,9,17,0.51325,0.2955,0.25,0.5961666666666666,0.349,0.8585,0.8635,0.77225,0.74975
eat_all,12,7,0.39025,0.2995,0.25,0.5171666666666667,0.40016666666666667,0.8533333333333334,0.8545,0.75075,0.739
eat_bio,5,37,0.49525,0.3015,0.25,0.571,0.364,0.8706666666666667,0.8723333333333333,0.7855,0.7495
eat_bio,7,13,0.58125,0.28825,0.25,0.6246666666666667,0.3516666666666667,0.8935,0.8875,0.79075,0.7505
eat_bio,9,13,0.495,0.30875,0.25,0.5621666666666667,0.3555,0.8491666666666666,0.8515,0.776,0.75
eat_bio,12,7,0.4265,0.295,0.25,0.5063333333333333,0.3895,0.8343333333333334,0.8305,0.76275,0.75
sl_eat_all_ssl_all,5,13,0.49275,0.3095,0.25,0.5685,0.36983333333333335,0.8533333333333334,0.851,0.7915,0.74975
sl_eat_all_ssl_all,7,15,0.5465,0.28775,0.25,0.6128333333333333,0.3635,0.8896666666666667,0.8918333333333334,0.772,0.75
sl_eat_all_ssl_all,9,14,0.5435,0.303,0.25,0.604,0.374,0.8748333333333334,0.8706666666666667,0.77175,0.7505
sl_eat_all_ssl_all,12,28,0.56125,0.3,0.25,0.6218333333333333,0.3655,0.8693333333333333,0.8678333333333333,0.78075,0.75525
sl_eat_bio_ssl_all,5,15,0.508,0.29875,0.25,0.604,0.3516666666666667,0.8778333333333334,0.8825,0.806,0.75
sl_eat_bio_ssl_all,7,12,0.55625,0.30575,0.25,0.6458333333333334,0.37016666666666664,0.906,0.9076666666666666,0.7805,0.75
sl_eat_bio_ssl_all,9,17,0.65625,0.305,0.25,0.7381666666666666,0.3451666666666667,0.9043333333333333,0.8996666666666666,0.789,0.75
sl_eat_bio_ssl_all,12,18,0.64025,0.30475,0.25,0.6781666666666667,0.33616666666666667,0.8916666666666667,0.8883333333333333,0.76825,0.75
random_init_eat_seed42,5,1,0.28225,0.28225,0.25,0.4156666666666667,0.4156666666666667,0.8145,0.8145,0.725,0.725
random_init_eat_seed42,7,1,0.28375,0.28375,0.25,0.4065,0.4065,0.8223333333333334,0.8223333333333334,0.72075,0.72075
random_init_eat_seed42,9,1,0.28525,0.28525,0.25,0.395,0.395,0.8213333333333334,0.8213333333333334,0.7255,0.7255
random_init_eat_seed42,12,1,0.28075,0.28075,0.25,0.3983333333333333,0.3983333333333333,0.8085,0.8085,0.713,0.713
