model,layer,iter,order_acc,order_baseline
eat_all,5,0,0.78825,0.75
eat_all,5,1,0.77625,0.75
eat_all,5,2,0.7725,0.75
eat_all,5,3,0.78925,0.75
eat_all,5,4,0.79025,0.75
eat_all,5,5,0.7855,0.75
eat_all,5,6,0.77725,0.75
eat_all,5,7,0.76325,0.75
eat_all,5,8,0.76525,0.75
eat_all,5,9,0.75375,0.75
eat_all,7,0,0.746,0.75
eat_all,9,0,0.75325,0.75
eat_all,12,0,0.741,0.75
eat_bio,5,0,0.775,0.75
eat_bio,5,1,0.77375,0.75
eat_bio,5,2,0.77475,0.75
eat_bio,5,3,0.771,0.75
eat_bio,5,4,0.77625,0.75
eat_bio,5,5,0.78025,0.75
eat_bio,5,6,0.77625,0.75
eat_bio,5,7,0.7735,0.75
eat_bio,5,8,0.772,0.75
eat_bio,5,9,0.7715,0.75
eat_bio,5,10,0.77,0.75
eat_bio,5,11,0.7675,0.75
eat_bio,5,12,0.76425,0.75
eat_bio,5,13,0.766,0.75
eat_bio,5,14,0.765,0.75
eat_bio,5,15,0.76825,0.75
eat_bio,5,16,0.766,0.75
eat_bio,5,17,0.77225,0.75
eat_bio,5,18,0.76825,0.75
eat_bio,5,19,0.7595,0.75
eat_bio,7,0,0.76875,0.75
eat_bio,7,1,0.7595,0.75
eat_bio,9,0,0.7515,0.75
eat_bio,12,0,0.7405,0.75
sl_eat_all_ssl_all,5,0,0.77625,0.75
sl_eat_all_ssl_all,5,1,0.773,0.75
sl_eat_all_ssl_all,5,2,0.76675,0.75
sl_eat_all_ssl_all,5,3,0.76725,0.75
sl_eat_all_ssl_all,5,4,0.76825,0.75
sl_eat_all_ssl_all,5,5,0.754,0.75
sl_eat_all_ssl_all,7,0,0.78225,0.75
sl_eat_all_ssl_all,7,1,0.78075,0.75
sl_eat_all_ssl_all,7,2,0.78375,0.75
sl_eat_all_ssl_all,7,3,0.78275,0.75
sl_eat_all_ssl_all,7,4,0.80125,0.75
sl_eat_all_ssl_all,7,5,0.78725,0.75
sl_eat_all_ssl_all,7,6,0.779,0.75
sl_eat_all_ssl_all,7,7,0.77325,0.75
sl_eat_all_ssl_all,7,8,0.76725,0.75
sl_eat_all_ssl_all,7,9,0.75575,0.75
sl_eat_all_ssl_all,9,0,0.74675,0.75
sl_eat_all_ssl_all,12,0,0.749,0.75
sl_eat_bio_ssl_all,5,0,0.78775,0.75
sl_eat_bio_ssl_all,5,1,0.7775,0.75
sl_eat_bio_ssl_all,5,2,0.7765,0.75
sl_eat_bio_ssl_all,5,3,0.77475,0.75
sl_eat_bio_ssl_all,5,4,0.77175,0.75
sl_eat_bio_ssl_all,5,5,0.76525,0.75
sl_eat_bio_ssl_all,5,6,0.755,0.75
sl_eat_bio_ssl_all,7,0,0.7815,0.75
sl_eat_bio_ssl_all,7,1,0.79475,0.75
sl_eat_bio_ssl_all,7,2,0.768,0.75
sl_eat_bio_ssl_all,7,3,0.75275,0.75
sl_eat_bio_ssl_all,9,0,0.80875,0.75
sl_eat_bio_ssl_all,9,1,0.7935,0.75
sl_eat_bio_ssl_all,9,2,0.77775,0.75
sl_eat_bio_ssl_all,9,3,0.77775,0.75
sl_eat_bio_ssl_all,9,4,0.7395,0.75
sl_eat_bio_ssl_all,12,0,0.77325,0.75
sl_eat_bio_ssl_all,12,1,0.77825,0.75
sl_eat_bio_ssl_all,12,2,0.784,0.75
sl_eat_bio_ssl_all,12,3,0.77875,0.75
sl_eat_bio_ssl_all,12,4,0.778,0.75
sl_eat_bio_ssl_all,12,5,0.7615,0.75
sl_eat_bio_ssl_all,12,6,0.73775,0.75
random_init_eat_seed42,5,0,0.695,0.75
random_init_eat_seed42,7,0,0.693,0.75
random_init_eat_seed42,9,0,0.685,0.75
random_init_eat_seed42,12,0,0.67625,0.75
