model,layer,pre_class_acc,post_class_acc,class_baseline,pre_order_acc,post_order_acc,order_baseline,class_survival_ratio,n_inlp_iters
eat_all,5,0.8863333333333333,0.8871666666666667,0.6666666666666666,0.78825,0.75375,0.75,1.0037936267071321,10
eat_all,7,0.8926666666666667,0.8926666666666667,0.6666666666666666,0.746,0.746,0.75,1.0,1
eat_all,9,0.8693333333333333,0.8693333333333333,0.6666666666666666,0.75325,0.75325,0.75,1.0,1
eat_all,12,0.8463333333333334,0.8463333333333334,0.6666666666666666,0.741,0.741,0.75,1.0,1
eat_bio,5,0.8695,0.8683333333333333,0.6666666666666666,0.775,0.7595,0.75,0.9942481511914539,20
eat_bio,7,0.8748333333333334,0.8755,0.6666666666666666,0.76875,0.7595,0.75,1.0032025620496394,2
eat_bio,9,0.8543333333333333,0.8543333333333333,0.6666666666666666,0.7515,0.7515,0.75,1.0,1
eat_bio,12,0.8328333333333333,0.8328333333333333,0.6666666666666666,0.7405,0.7405,0.75,1.0,1
sl_eat_all_ssl_all,5,0.8681666666666666,0.8698333333333333,0.6666666666666666,0.77625,0.754,0.75,1.0082712985938795,6
sl_eat_all_ssl_all,7,0.89,0.8866666666666667,0.6666666666666666,0.78225,0.75575,0.75,0.9850746268656718,10
sl_eat_all_ssl_all,9,0.8933333333333333,0.8933333333333333,0.6666666666666666,0.74675,0.74675,0.75,1.0,1
sl_eat_all_ssl_all,12,0.8941666666666667,0.8941666666666667,0.6666666666666666,0.749,0.749,0.75,1.0,1
sl_eat_bio_ssl_all,5,0.8846666666666667,0.8845,0.6666666666666666,0.78775,0.755,0.75,0.9992354740061158,7
sl_eat_bio_ssl_all,7,0.904,0.9045,0.6666666666666666,0.7815,0.75275,0.75,1.0021067415730334,4
sl_eat_bio_ssl_all,9,0.9091666666666667,0.9113333333333333,0.6666666666666666,0.80875,0.7395,0.75,1.00893470790378,5
sl_eat_bio_ssl_all,12,0.8875,0.8868333333333334,0.6666666666666666,0.77325,0.73775,0.75,0.996981132075472,7
random_init_eat_seed42,5,0.8143333333333334,0.8143333333333334,0.6666666666666666,0.695,0.695,0.75,1.0,1
random_init_eat_seed42,7,0.8195,0.8195,0.6666666666666666,0.693,0.693,0.75,1.0,1
random_init_eat_seed42,9,0.8195,0.8195,0.6666666666666666,0.685,0.685,0.75,1.0,1
random_init_eat_seed42,12,0.8216666666666667,0.8216666666666667,0.6666666666666666,0.67625,0.67625,0.75,1.0,1
