model,source,is_bio,eff_rank_L11,eff_rank_L12,delta,ratio_L12_over_L11
eat_all,Animal Sound Archive,True,95.85294710327864,39.251982368613135,-56.6009647346655,0.4095020920569121
eat_all,NatureLM,False,154.58865396352007,48.61503857304239,-105.97361539047768,0.314479991426244
eat_all,Watkins,True,124.19531879113984,37.72619273107794,-86.46912606006191,0.3037650138369736
eat_all,WavCaps,False,169.40111477190962,54.56491348327489,-114.83620128863473,0.3221048076144239
eat_all,Xeno-canto,True,222.52361224940736,65.99673608666559,-156.52687616274176,0.2965830700819992
eat_all,iNaturalist,True,201.3106901932546,60.76113500249964,-140.54955519075497,0.30182766222782337
eat_bio,Animal Sound Archive,True,85.32069112155149,84.77134779446216,-0.549343327089332,0.99356142900546
eat_bio,NatureLM,False,112.551616108322,110.7911689883822,-1.7604471199397977,0.9843587575122377
eat_bio,Watkins,True,93.43647567949236,93.31754069827512,-0.11893498121723667,0.9987271033035834
eat_bio,WavCaps,False,133.01697300380388,134.1287926308606,1.1118196270567182,1.0083584793876261
eat_bio,Xeno-canto,True,195.30853220545325,206.0049223674237,10.696390161970442,1.0547666302193006
eat_bio,iNaturalist,True,173.82715368391663,181.51575644476503,7.688602760848397,1.0442313102291785
sl_eat_all_ssl_all,Animal Sound Archive,True,38.0764861110378,10.162843254312264,-27.913642856725538,0.2669060171328732
sl_eat_all_ssl_all,NatureLM,False,43.168949062475136,7.043295172691016,-36.12565388978412,0.16315651239268741
sl_eat_all_ssl_all,Watkins,True,72.37011175428155,21.362466379748938,-51.007645374532615,0.29518354831730786
sl_eat_all_ssl_all,WavCaps,False,53.3767546385063,9.027791702368162,-44.348962936138136,0.16913339455552925
sl_eat_all_ssl_all,Xeno-canto,True,49.04694582688197,9.363361405923465,-39.6835844209585,0.1909061053255539
sl_eat_all_ssl_all,iNaturalist,True,47.91407576362876,7.506539346174447,-40.40753641745431,0.15666668356926983
sl_eat_bio_ssl_all,Animal Sound Archive,True,73.12785323761315,65.75246383279656,-7.375389404816588,0.8991439092181217
sl_eat_bio_ssl_all,NatureLM,False,172.2364505590178,138.43521764619575,-33.80123291282206,0.8037509899727069
sl_eat_bio_ssl_all,Watkins,True,151.5888341629904,117.72927291681708,-33.859561246173314,0.7766355191453808
sl_eat_bio_ssl_all,WavCaps,False,160.3371626715699,131.16370586735175,-29.173456804218148,0.8180493135956495
sl_eat_bio_ssl_all,Xeno-canto,True,260.48269628413914,194.3294469439881,-66.15324934015104,0.7460359160748632
sl_eat_bio_ssl_all,iNaturalist,True,207.87819943581127,159.59922376677343,-48.278975669037834,0.76775354125604
random_init_eat_seed42,Animal Sound Archive,True,12.648415925937986,11.847626833101582,-0.8007890928364034,0.9366885863395563
random_init_eat_seed42,NatureLM,False,6.341151357354955,5.854323681732967,-0.4868276756219885,0.9232272424695669
random_init_eat_seed42,Watkins,True,13.785413747297822,14.31058134979659,0.5251676024987688,1.0380958897662182
random_init_eat_seed42,WavCaps,False,10.817742128692316,10.168859408927572,-0.6488827197647442,0.9400168064605934
random_init_eat_seed42,Xeno-canto,True,10.382227868671391,10.065940023227718,-0.3162878454436733,0.9695356478932543
random_init_eat_seed42,iNaturalist,True,8.911793503365585,8.43753490908948,-0.4742585942761046,0.9467830359739599
