model,layer_idx,n_eigvals,total_variance,top1_share,top10_share,top50_share,mean_l2_norm,lambda_max,lambda_min,lambda_00_share,lambda_01_share,lambda_02_share,lambda_03_share,lambda_04_share,lambda_05_share,lambda_06_share,lambda_07_share,lambda_08_share,lambda_09_share,lambda_10_share,lambda_11_share,lambda_12_share,lambda_13_share,lambda_14_share,lambda_15_share,lambda_16_share,lambda_17_share,lambda_18_share,lambda_19_share
eat_all,10,768,26.961138853304185,0.053123145018650175,0.29423201552158956,0.6091730268705333,5.723648234954175,1.4322604891720419,1.7630033059934073e-09,0.053123145018650175,0.043252051437886276,0.035873167738876846,0.02880803432180184,0.026637265932829814,0.02429207546237259,0.022483971180479234,0.0206636322536452,0.019941343138156042,0.019157329036891557,0.01788298779213364,0.01621239450643895,0.014894738308270549,0.014086802236882898,0.013207907300972472,0.012576069103136836,0.011770767127556541,0.010945423579687823,0.010472990866237365,0.010074156846857914
eat_all,11,768,34.56907451703036,0.05704853386654507,0.2749528290698019,0.5476589645757074,6.460503664209121,1.9721150183199265,1.674454833942413e-09,0.05704853386654507,0.042101873257389205,0.039557886022310404,0.02344828715540972,0.022612927627362073,0.020760560289426647,0.019123253835159573,0.0174212537382309,0.017062788370567412,0.015815464907400892,0.013885447018906979,0.013060806506678407,0.012790957033980845,0.011397432926782958,0.011149918525907713,0.010863444722056954,0.010320724198525665,0.009629997015650073,0.008756090382329466,0.008461015406386586
eat_all,12,768,18.13184000321378,0.27536588527485856,0.5616196813368417,0.7461168097592287,6.4121488879503445,4.992890174147057,5.765517213376038e-10,0.27536588527485856,0.11224248615335077,0.043316467664312124,0.03303711406709353,0.025712488872825397,0.017113711098167655,0.015047745510655791,0.014007275553244143,0.013247147998668956,0.012529359143664888,0.010539210640287953,0.009808914522038515,0.009413067622535774,0.008911562897917702,0.008526772705477255,0.008181175106998353,0.007619877643235464,0.007395562101041069,0.00701702714861995,0.0068583034862080795
eat_bio,10,768,18.15518685410489,0.052411579612578564,0.32261748855244216,0.6419504641939175,4.602838230540877,0.9515420211851583,1.1553304185103364e-09,0.052411579612578564,0.05152529206850389,0.04867415579180248,0.03202066059395491,0.029993882349590658,0.02636317311878833,0.023825333603128853,0.02069876230206245,0.019642566690178366,0.017462082421853667,0.01712354574467689,0.01624627683923735,0.014938224182799668,0.013814097366776853,0.013179851689779445,0.012520747265941533,0.011630433075026522,0.010815914081249633,0.01046842852216737,0.01041316696508282
eat_bio,11,768,17.477354651544047,0.0608265767632966,0.3336485785688921,0.6122548999978668,4.638820877702188,1.0630876543315029,1.0120773966072359e-09,0.0608265767632966,0.05729838467829918,0.055161408041454835,0.03209656681572832,0.02914768008884187,0.026780791541819917,0.019906915362178514,0.018911074539535555,0.017265850672248766,0.016253330065488535,0.015226162052482577,0.014290977569541863,0.013084455025390367,0.012256670044610209,0.011334285349698613,0.011111154249140638,0.010192790480446271,0.009726937537488533,0.009672327789612484,0.009040068597089215
eat_bio,12,768,12.988965678078571,0.16169148082755527,0.3184152365242807,0.544237771731904,4.880101615954915,2.1002050949068147,7.042520700065503e-10,0.16169148082755527,0.03253915993097081,0.025977539583429344,0.019560432461543317,0.017897717257281922,0.015650317213410363,0.01325795764495651,0.011680387800767059,0.01033815624655352,0.00982208755781264,0.009424406334049461,0.009020944464858365,0.008462134261628212,0.008149610329848591,0.007694417340833191,0.007543043594483406,0.007469549268105016,0.007371776012235379,0.007115226838627757,0.006778072657663045
sl_eat_all_ssl_all,10,768,24.33833327363323,0.06973086197043152,0.3369533679081637,0.6406891130614498,5.058594614864133,1.6971329580940793,1.2700776694393862e-09,0.06973086197043152,0.04910539454797206,0.04505540563142858,0.03636673825108702,0.030541268616322212,0.0259175636002468,0.02384666664002032,0.020435871609534438,0.018431224256573047,0.017522372784547758,0.016118630292477364,0.015655127675132614,0.01470610814940551,0.013639753340075564,0.012920754720719694,0.012281454979044001,0.011528913742809252,0.010973323912211787,0.010416844254583469,0.01016752193266587
sl_eat_all_ssl_all,11,768,11.224570507865884,0.26897182370548745,0.5552341079092201,0.7628169128468385,3.416693382132783,3.0190931998115165,2.976601829882379e-10,0.26897182370548745,0.08297475252301773,0.05978688295814075,0.029439678043856943,0.025654263783160047,0.02218914604983858,0.02026032944674398,0.018050155990633476,0.014759937335739983,0.013147138072601225,0.012015707236987024,0.011063345302399727,0.010701344315036804,0.009506296372096995,0.009398401646161708,0.00835026620170004,0.008072011354231618,0.007703703239817933,0.006957700175075098,0.006611188503070447
sl_eat_all_ssl_all,12,768,132.69108953884444,0.6249421464616418,0.7596573185554122,0.9009480310594099,11.762806268423182,82.92425431273935,7.097837464560425e-11,0.6249421464616418,0.04149509875713907,0.021409451395079437,0.01629106425508578,0.012676794041196177,0.01015556136774085,0.008890099127105623,0.00823615334774205,0.007954705666710303,0.007606244135971113,0.006822463205656535,0.006719924139908291,0.006456896684414853,0.006155684647193312,0.005570926867342378,0.005358394533568761,0.005168515827042095,0.005098084600135119,0.004691927019194959,0.004565245387843137
sl_eat_bio_ssl_all,10,768,32.35664305576587,0.05632233578499406,0.23488129954236162,0.4739082597146222,5.991222837191821,1.8224017150620417,1.8982263933452204e-09,0.05632233578499406,0.02902550594115458,0.028358420649960896,0.025191236087066967,0.019225629264321777,0.018552103271752992,0.01609177943359328,0.015474330194299446,0.014001841134210484,0.012638117781007166,0.011847352826008802,0.011431377032139365,0.011130000661119736,0.01067640568536307,0.010231050954129335,0.009959966985907922,0.00882887988502376,0.008279919687824037,0.007741031526772112,0.007270976829860636
sl_eat_bio_ssl_all,11,768,30.109189674479772,0.09988514507448587,0.2797356431132253,0.48409181715850624,6.03508822002734,3.007460778710624,2.1634205179670322e-10,0.09988514507448587,0.0397251693365525,0.028028263008299272,0.024718587482127668,0.01854969954571149,0.015563239935589954,0.014745007685129657,0.014065062277638237,0.012918235780794547,0.011537232986896078,0.011199315727767268,0.010549059255601416,0.009095377199531475,0.008801675390410138,0.008161773621999052,0.007647028590074778,0.007319969913482474,0.006619964632601655,0.006361075320047982,0.006018093812985022
