model,layer,seed,metric,value,n_kept,n_species_qualifying
eat_all,7,1,aves_vs_mammalia_topk_cos,0.5745237156676775,600,
eat_all,12,1,veitch_abs_cos_passer,0.023085081118207316,600,
eat_all,10,1,species_separability_ratio,0.47090764582881195,600,14.0
eat_all,7,2,aves_vs_mammalia_topk_cos,0.5704762925627748,600,
eat_all,12,2,veitch_abs_cos_passer,0.4965519943230125,600,
eat_all,10,2,species_separability_ratio,0.45624642501204987,600,17.0
eat_all,7,3,aves_vs_mammalia_topk_cos,0.5857836100580422,600,
eat_all,12,3,veitch_abs_cos_passer,0.42015640173859137,600,
eat_all,10,3,species_separability_ratio,0.4903678917193696,600,14.0
eat_all,7,4,aves_vs_mammalia_topk_cos,0.5709854757336118,600,
eat_all,12,4,veitch_abs_cos_passer,0.4514185311664635,600,
eat_all,10,4,species_separability_ratio,0.4832390838460441,600,19.0
eat_all,7,5,aves_vs_mammalia_topk_cos,0.5814802170214981,600,
eat_all,12,5,veitch_abs_cos_passer,0.24248655471802194,600,
eat_all,10,5,species_separability_ratio,0.48765419621905515,600,18.0
eat_bio,7,1,aves_vs_mammalia_topk_cos,0.6417454656877638,600,
eat_bio,12,1,veitch_abs_cos_passer,0.1485383443842808,600,
eat_bio,10,1,species_separability_ratio,0.5013038000321451,600,14.0
eat_bio,7,2,aves_vs_mammalia_topk_cos,0.6483310703119372,600,
eat_bio,12,2,veitch_abs_cos_passer,0.03599926458318896,600,
eat_bio,10,2,species_separability_ratio,0.4607515355757423,600,17.0
eat_bio,7,3,aves_vs_mammalia_topk_cos,0.6509805084748902,600,
eat_bio,12,3,veitch_abs_cos_passer,0.1475138794542811,600,
eat_bio,10,3,species_separability_ratio,0.4941510605686384,600,14.0
eat_bio,7,4,aves_vs_mammalia_topk_cos,0.6496507188787997,600,
eat_bio,12,4,veitch_abs_cos_passer,0.21072038529540155,600,
eat_bio,10,4,species_separability_ratio,0.5077592941910176,600,19.0
eat_bio,7,5,aves_vs_mammalia_topk_cos,0.6648623152226019,600,
eat_bio,12,5,veitch_abs_cos_passer,0.18576607888769583,600,
eat_bio,10,5,species_separability_ratio,0.5206951076133837,600,18.0
sl_eat_all_ssl_all,7,1,aves_vs_mammalia_topk_cos,0.6026076813038802,600,
sl_eat_all_ssl_all,12,1,veitch_abs_cos_passer,0.28505335468360815,600,
sl_eat_all_ssl_all,10,1,species_separability_ratio,0.4308882881617603,600,14.0
sl_eat_all_ssl_all,7,2,aves_vs_mammalia_topk_cos,0.614142119793392,600,
sl_eat_all_ssl_all,12,2,veitch_abs_cos_passer,0.24848766602262815,600,
sl_eat_all_ssl_all,10,2,species_separability_ratio,0.4288604447490843,600,17.0
sl_eat_all_ssl_all,7,3,aves_vs_mammalia_topk_cos,0.6021532858057312,600,
sl_eat_all_ssl_all,12,3,veitch_abs_cos_passer,0.5037076680695858,600,
sl_eat_all_ssl_all,10,3,species_separability_ratio,0.4424862169372079,600,14.0
sl_eat_all_ssl_all,7,4,aves_vs_mammalia_topk_cos,0.6064547396897144,600,
sl_eat_all_ssl_all,12,4,veitch_abs_cos_passer,0.383644738394751,600,
sl_eat_all_ssl_all,10,4,species_separability_ratio,0.455193170458694,600,19.0
sl_eat_all_ssl_all,7,5,aves_vs_mammalia_topk_cos,0.6113882109974155,600,
sl_eat_all_ssl_all,12,5,veitch_abs_cos_passer,0.19444131458011968,600,
sl_eat_all_ssl_all,10,5,species_separability_ratio,0.4508671927172669,600,18.0
sl_eat_bio_ssl_all,7,1,aves_vs_mammalia_topk_cos,0.40173236061719403,600,
sl_eat_bio_ssl_all,12,1,veitch_abs_cos_passer,0.052116126851906586,600,
sl_eat_bio_ssl_all,10,1,species_separability_ratio,0.5327953280562465,600,14.0
sl_eat_bio_ssl_all,7,2,aves_vs_mammalia_topk_cos,0.41493688745039625,600,
sl_eat_bio_ssl_all,12,2,veitch_abs_cos_passer,0.05827655893351168,600,
sl_eat_bio_ssl_all,10,2,species_separability_ratio,0.5468545334831905,600,17.0
sl_eat_bio_ssl_all,7,3,aves_vs_mammalia_topk_cos,0.41927676580533807,600,
sl_eat_bio_ssl_all,12,3,veitch_abs_cos_passer,0.07012274954956553,600,
sl_eat_bio_ssl_all,10,3,species_separability_ratio,0.5574899444294344,600,14.0
