model,metric,layer,mean,std,min,max,count,spread_p95_p05
eat_all,aves_vs_mammalia_topk_cos,7,0.5766498622087208,0.0067356590772366005,0.5704762925627748,0.5857836100580422,5,0.01530731749526748
eat_all,species_separability_ratio,10,0.47768304852506616,0.014112348059612301,0.45624642501204987,0.4903678917193696,5,0.03412146670731975
eat_all,veitch_abs_cos_passer,12,0.32673971261285933,0.19520017063654807,0.023085081118207316,0.4965519943230125,5,0.47346691320480516
eat_bio,aves_vs_mammalia_topk_cos,7,0.6511140157151984,0.008465951155865062,0.6417454656877638,0.6648623152226019,5,0.023116849534838058
eat_bio,species_separability_ratio,10,0.4969321595961854,0.022459896751842425,0.4607515355757423,0.5206951076133837,5,0.05994357203764139
eat_bio,veitch_abs_cos_passer,12,0.14570759052096965,0.06685532626841544,0.03599926458318896,0.21072038529540155,5,0.17472112071221257
random_init_eat_seed42,aves_vs_mammalia_topk_cos,7,0.9207065257128086,0.004084246388699001,0.9181920681128248,0.9278684325033113,5,0.00967636439048647
random_init_eat_seed42,species_separability_ratio,10,0.6273245054591143,0.040856767174447646,0.5690144904716252,0.6779416700062934,5,0.10892717953466813
random_init_eat_seed42,veitch_abs_cos_passer,12,0.9387667426158567,0.02742664316998399,0.8941813457471846,0.9615658562701918,5,0.0673845105230072
sl_eat_all_ssl_all,aves_vs_mammalia_topk_cos,7,0.6073492075180267,0.005308882939539867,0.6021532858057312,0.614142119793392,5,0.011988833987660708
sl_eat_all_ssl_all,species_separability_ratio,10,0.4416590626048027,0.011709612728203872,0.4288604447490843,0.455193170458694,5,0.026332725709609706
sl_eat_all_ssl_all,veitch_abs_cos_passer,12,0.32306694835013855,0.12232374522769347,0.19444131458011968,0.5037076680695858,5,0.3092663534894661
sl_eat_bio_ssl_all,aves_vs_mammalia_topk_cos,7,0.4092620993034782,0.00786073741813298,0.401669367968874,0.41927676580533807,5,0.01760739783646409
sl_eat_bio_ssl_all,species_separability_ratio,10,0.5448527672531005,0.009058212012133375,0.5327953280562465,0.5574899444294344,5,0.024694616373187928
sl_eat_bio_ssl_all,veitch_abs_cos_passer,12,0.047527424468890765,0.01962401526626583,0.019238914601792743,0.07012274954956553,5,0.05088383494777279
