model,layer_idx,k,n,mle_id
eat_all,0,5,2500,8.85747582104362
eat_all,0,10,2500,11.021091872892882
eat_all,0,20,2500,3.745140513734299
eat_all,0,40,2500,5.32869706293342
eat_all,0,80,2500,6.171071522599449
eat_all,0,5,5000,5.731569451033414
eat_all,0,10,5000,8.573316857151598
eat_all,0,20,5000,10.601754311242361
eat_all,0,40,5000,5.031799007523667
eat_all,0,80,5000,6.39689916007773
eat_all,0,5,10000,3.97615480524247
eat_all,0,10,10000,6.299584311448727
eat_all,0,20,10000,8.931904812677637
eat_all,0,40,10000,10.79223431021515
eat_all,0,80,10000,5.2103379901419675
eat_all,0,5,20000,2.237891485759073
eat_all,0,10,20000,3.5661804744454364
eat_all,0,20,20000,5.923112538593396
eat_all,0,40,20000,8.492643935588926
eat_all,0,80,20000,10.426046416116865
eat_all,4,5,2500,12.768677967462933
eat_all,4,10,2500,14.641079571213607
eat_all,4,20,2500,15.72012949145348
eat_all,4,40,2500,17.078370069601316
eat_all,4,80,2500,17.86384231191521
eat_all,4,5,5000,10.61966055483823
eat_all,4,10,5000,13.352207289488787
eat_all,4,20,5000,14.535391902049735
eat_all,4,40,5000,15.982595369112014
eat_all,4,80,5000,17.158997886257232
eat_all,4,5,10000,6.797044718848879
eat_all,4,10,10000,10.013786978996613
eat_all,4,20,10000,12.783833991811123
eat_all,4,40,10000,14.268493516416735
eat_all,4,80,10000,15.875995958652048
eat_all,4,5,20000,4.0399494555435345
eat_all,4,10,20000,6.8480260095926635
eat_all,4,20,20000,9.846981514276797
eat_all,4,40,20000,12.545485416262373
eat_all,4,80,20000,14.572666471514962
eat_all,8,5,2500,9.780940431633928
eat_all,8,10,2500,12.181320161789024
eat_all,8,20,2500,13.872546867147802
eat_all,8,40,2500,15.30570254873261
eat_all,8,80,2500,15.84918986478049
eat_all,8,5,5000,7.181666202405979
eat_all,8,10,5000,9.923405457410542
eat_all,8,20,5000,12.181044515439115
eat_all,8,40,5000,13.897457267217021
eat_all,8,80,5000,15.256363482287524
eat_all,8,5,10000,5.563412581167554
eat_all,8,10,10000,8.273656878656025
eat_all,8,20,10000,10.784498985434114
eat_all,8,40,10000,12.84520321951495
eat_all,8,80,10000,14.251028279088041
eat_all,8,5,20000,3.5368436365159677
eat_all,8,10,20000,5.838643800953841
eat_all,8,20,20000,8.346487114000352
eat_all,8,40,20000,10.75968413173711
