model,layer_idx,source_a,source_b,is_bio_a,is_bio_b,same_bio_class,mean_cos_principal_angles,k
eat_all,0,Animal Sound Archive,NatureLM,True,False,False,0.8496190203179402,10
eat_all,0,Animal Sound Archive,Watkins,True,True,True,0.8122775601080102,10
eat_all,0,Animal Sound Archive,WavCaps,True,False,False,0.9079814754708236,10
eat_all,0,Animal Sound Archive,Xeno-canto,True,True,True,0.9384882347100042,10
eat_all,0,Animal Sound Archive,iNaturalist,True,True,True,0.8911976552403006,10
eat_all,0,NatureLM,Watkins,False,True,False,0.7991240759657801,10
eat_all,0,NatureLM,WavCaps,False,False,True,0.9201560163780371,10
eat_all,0,NatureLM,Xeno-canto,False,True,False,0.8228225769596748,10
eat_all,0,NatureLM,iNaturalist,False,True,False,0.8287077272363106,10
eat_all,0,Watkins,WavCaps,True,False,False,0.843283587719938,10
eat_all,0,Watkins,Xeno-canto,True,True,True,0.7831365107047275,10
eat_all,0,Watkins,iNaturalist,True,True,True,0.8620676612892979,10
eat_all,0,WavCaps,Xeno-canto,False,True,False,0.8901529088712721,10
eat_all,0,WavCaps,iNaturalist,False,True,False,0.8980681175748864,10
eat_all,0,Xeno-canto,iNaturalist,True,True,True,0.9161813174522706,10
eat_all,1,Animal Sound Archive,NatureLM,True,False,False,0.8247686493362629,10
eat_all,1,Animal Sound Archive,Watkins,True,True,True,0.6718237100570865,10
eat_all,1,Animal Sound Archive,WavCaps,True,False,False,0.903584443389245,10
eat_all,1,Animal Sound Archive,Xeno-canto,True,True,True,0.8869435781780114,10
eat_all,1,Animal Sound Archive,iNaturalist,True,True,True,0.8419043731690362,10
eat_all,1,NatureLM,Watkins,False,True,False,0.6931280186247714,10
eat_all,1,NatureLM,WavCaps,False,False,True,0.9144462130677402,10
eat_all,1,NatureLM,Xeno-canto,False,True,False,0.8805627472917876,10
eat_all,1,NatureLM,iNaturalist,False,True,False,0.8556451568439115,10
eat_all,1,Watkins,WavCaps,True,False,False,0.690077607485892,10
eat_all,1,Watkins,Xeno-canto,True,True,True,0.7021145257381429,10
eat_all,1,Watkins,iNaturalist,True,True,True,0.7153238548222749,10
eat_all,1,WavCaps,Xeno-canto,False,True,False,0.9208340076732693,10
eat_all,1,WavCaps,iNaturalist,False,True,False,0.862176341836494,10
eat_all,1,Xeno-canto,iNaturalist,True,True,True,0.9305002348342656,10
eat_all,2,Animal Sound Archive,NatureLM,True,False,False,0.6487552061642159,10
eat_all,2,Animal Sound Archive,Watkins,True,True,True,0.6297957955861392,10
eat_all,2,Animal Sound Archive,WavCaps,True,False,False,0.7532147902240756,10
eat_all,2,Animal Sound Archive,Xeno-canto,True,True,True,0.760527476038634,10
eat_all,2,Animal Sound Archive,iNaturalist,True,True,True,0.7641653353352578,10
eat_all,2,NatureLM,Watkins,False,True,False,0.7465836045272908,10
eat_all,2,NatureLM,WavCaps,False,False,True,0.78432062465992,10
eat_all,2,NatureLM,Xeno-canto,False,True,False,0.7394711222069941,10
eat_all,2,NatureLM,iNaturalist,False,True,False,0.7682579818684456,10
eat_all,2,Watkins,WavCaps,True,False,False,0.7010160682998443,10
eat_all,2,Watkins,Xeno-canto,True,True,True,0.7068714287849143,10
eat_all,2,Watkins,iNaturalist,True,True,True,0.7032908605835849,10
eat_all,2,WavCaps,Xeno-canto,False,True,False,0.8666573904425727,10
eat_all,2,WavCaps,iNaturalist,False,True,False,0.9052707561778449,10
eat_all,2,Xeno-canto,iNaturalist,True,True,True,0.9494079838124874,10
eat_all,3,Animal Sound Archive,NatureLM,True,False,False,0.689151884086516,10
eat_all,3,Animal Sound Archive,Watkins,True,True,True,0.6428948240678541,10
eat_all,3,Animal Sound Archive,WavCaps,True,False,False,0.7694925568231645,10
eat_all,3,Animal Sound Archive,Xeno-canto,True,True,True,0.7564813485132984,10
eat_all,3,Animal Sound Archive,iNaturalist,True,True,True,0.7723380825622631,10
eat_all,3,NatureLM,Watkins,False,True,False,0.750342125257901,10
eat_all,3,NatureLM,WavCaps,False,False,True,0.7978033808312366,10
eat_all,3,NatureLM,Xeno-canto,False,True,False,0.7085854446467514,10
eat_all,3,NatureLM,iNaturalist,False,True,False,0.7273222089558461,10
eat_all,3,Watkins,WavCaps,True,False,False,0.7315927312603452,10
eat_all,3,Watkins,Xeno-canto,True,True,True,0.7042385635713566,10
eat_all,3,Watkins,iNaturalist,True,True,True,0.6982587704037118,10
eat_all,3,WavCaps,Xeno-canto,False,True,False,0.8229152081060376,10
eat_all,3,WavCaps,iNaturalist,False,True,False,0.8152820018423361,10
eat_all,3,Xeno-canto,iNaturalist,True,True,True,0.8928795058575542,10
eat_all,4,Animal Sound Archive,NatureLM,True,False,False,0.7097115772695457,10
eat_all,4,Animal Sound Archive,Watkins,True,True,True,0.5971182172045706,10
eat_all,4,Animal Sound Archive,WavCaps,True,False,False,0.7831879141067793,10
eat_all,4,Animal Sound Archive,Xeno-canto,True,True,True,0.7322006963342904,10
eat_all,4,Animal Sound Archive,iNaturalist,True,True,True,0.7286365123661078,10
eat_all,4,NatureLM,Watkins,False,True,False,0.647149259065996,10
eat_all,4,NatureLM,WavCaps,False,False,True,0.8130804265973467,10
eat_all,4,NatureLM,Xeno-canto,False,True,False,0.6795190980577246,10
eat_all,4,NatureLM,iNaturalist,False,True,False,0.7073182429187005,10
eat_all,4,Watkins,WavCaps,True,False,False,0.685271670789765,10
eat_all,4,Watkins,Xeno-canto,True,True,True,0.6746886184173977,10
eat_all,4,Watkins,iNaturalist,True,True,True,0.6470842047171952,10
eat_all,4,WavCaps,Xeno-canto,False,True,False,0.7859714815803591,10
eat_all,4,WavCaps,iNaturalist,False,True,False,0.8194329627238426,10
eat_all,4,Xeno-canto,iNaturalist,True,True,True,0.8948010221006847,10
eat_all,5,Animal Sound Archive,NatureLM,True,False,False,0.7090558561664878,10
eat_all,5,Animal Sound Archive,Watkins,True,True,True,0.552989953269665,10
eat_all,5,Animal Sound Archive,WavCaps,True,False,False,0.808707892401187,10
eat_all,5,Animal Sound Archive,Xeno-canto,True,True,True,0.7781254878469951,10
eat_all,5,Animal Sound Archive,iNaturalist,True,True,True,0.7800607743990404,10
eat_all,5,NatureLM,Watkins,False,True,False,0.6002795819951021,10
eat_all,5,NatureLM,WavCaps,False,False,True,0.7903150634731836,10
eat_all,5,NatureLM,Xeno-canto,False,True,False,0.7158284233931826,10
eat_all,5,NatureLM,iNaturalist,False,True,False,0.7172385621902027,10
eat_all,5,Watkins,WavCaps,True,False,False,0.6375206669667128,10
eat_all,5,Watkins,Xeno-canto,True,True,True,0.646888770182034,10
eat_all,5,Watkins,iNaturalist,True,True,True,0.6141989617135474,10
eat_all,5,WavCaps,Xeno-canto,False,True,False,0.8077862214919399,10
eat_all,5,WavCaps,iNaturalist,False,True,False,0.8200803105891783,10
eat_all,5,Xeno-canto,iNaturalist,True,True,True,0.9240839422366938,10
eat_all,6,Animal Sound Archive,NatureLM,True,False,False,0.6404731990025669,10
eat_all,6,Animal Sound Archive,Watkins,True,True,True,0.48167736170724257,10
eat_all,6,Animal Sound Archive,WavCaps,True,False,False,0.6745562087880506,10
eat_all,6,Animal Sound Archive,Xeno-canto,True,True,True,0.6728000433319246,10
eat_all,6,Animal Sound Archive,iNaturalist,True,True,True,0.7052970161016344,10
eat_all,6,NatureLM,Watkins,False,True,False,0.5155908793302559,10
eat_all,6,NatureLM,WavCaps,False,False,True,0.7334394989997544,10
eat_all,6,NatureLM,Xeno-canto,False,True,False,0.6686649065677758,10
eat_all,6,NatureLM,iNaturalist,False,True,False,0.6867760263799075,10
eat_all,6,Watkins,WavCaps,True,False,False,0.5199425753035863,10
eat_all,6,Watkins,Xeno-canto,True,True,True,0.5182449221816086,10
eat_all,6,Watkins,iNaturalist,True,True,True,0.4972451401760865,10
eat_all,6,WavCaps,Xeno-canto,False,True,False,0.7154510289710878,10
eat_all,6,WavCaps,iNaturalist,False,True,False,0.7526999946159878,10
eat_all,6,Xeno-canto,iNaturalist,True,True,True,0.8574643820939022,10
eat_all,7,Animal Sound Archive,NatureLM,True,False,False,0.5742494497413079,10
eat_all,7,Animal Sound Archive,Watkins,True,True,True,0.44108487144119807,10
eat_all,7,Animal Sound Archive,WavCaps,True,False,False,0.6918852134497306,10
eat_all,7,Animal Sound Archive,Xeno-canto,True,True,True,0.6151124459179198,10
eat_all,7,Animal Sound Archive,iNaturalist,True,True,True,0.6325268938926574,10
eat_all,7,NatureLM,Watkins,False,True,False,0.5192025202066098,10
eat_all,7,NatureLM,WavCaps,False,False,True,0.7367132355651528,10
eat_all,7,NatureLM,Xeno-canto,False,True,False,0.6204368216532977,10
eat_all,7,NatureLM,iNaturalist,False,True,False,0.6425765752315611,10
eat_all,7,Watkins,WavCaps,True,False,False,0.5428847677328794,10
eat_all,7,Watkins,Xeno-canto,True,True,True,0.5154745552357098,10
eat_all,7,Watkins,iNaturalist,True,True,True,0.4935713053156843,10
eat_all,7,WavCaps,Xeno-canto,False,True,False,0.7236265903270506,10
eat_all,7,WavCaps,iNaturalist,False,True,False,0.743695666672581,10
eat_all,7,Xeno-canto,iNaturalist,True,True,True,0.8840435873549438,10
eat_all,8,Animal Sound Archive,NatureLM,True,False,False,0.6814022189500996,10
eat_all,8,Animal Sound Archive,Watkins,True,True,True,0.5763022479772337,10
eat_all,8,Animal Sound Archive,WavCaps,True,False,False,0.7489144040878014,10
eat_all,8,Animal Sound Archive,Xeno-canto,True,True,True,0.7061008511224135,10
