model,layer_idx,source,n_clips,n_frames,effective_rank,participation_ratio,mle_id_k20,is_bio
eat_all,0,Animal Sound Archive,10,500,9.859839246526585,4.20946655063876,8.056751666772453,True
eat_all,0,NatureLM,165,8250,12.177121429440673,5.1585826574643,1.939619297814731,False
eat_all,0,Watkins,153,7650,10.001140041030983,4.104058826692604,2.4653155612029876,True
eat_all,0,WavCaps,35,1750,11.118127498233568,4.711789933051421,7.826478557749555,False
eat_all,0,Xeno-canto,322,16100,9.681224230649033,3.958167206121101,14.442633927742591,True
eat_all,0,iNaturalist,115,5750,9.60584620838634,3.976082755899715,7.723325373775844,True
eat_all,1,Animal Sound Archive,10,500,40.80397858745334,20.498428194556883,10.796274653205105,True
eat_all,1,NatureLM,165,8250,48.18850008303957,22.64456375056377,5.46017338023049,False
eat_all,1,Watkins,153,7650,39.05773556630145,14.306526997116098,2.2591441009326663,True
eat_all,1,WavCaps,35,1750,48.99281947864296,23.199692958700012,11.317777941965502,False
eat_all,1,Xeno-canto,322,16100,48.28888728148482,22.608006775517822,8.436820009669896,True
eat_all,1,iNaturalist,115,5750,46.70026840849141,21.758778709896394,9.064647327896783,True
eat_all,2,Animal Sound Archive,10,500,67.53562638036668,37.14671778603507,13.962745913039997,True
eat_all,2,NatureLM,165,8250,80.2266200707373,39.932451976425824,7.000791312547156,False
eat_all,2,Watkins,153,7650,80.8237298693176,39.456450656417864,2.1704520703088797,True
eat_all,2,WavCaps,35,1750,86.63578404994404,47.042332800868515,13.53883053616298,False
eat_all,2,Xeno-canto,322,16100,87.85842122506911,47.17895742376984,14.660822707708583,True
eat_all,2,iNaturalist,115,5750,84.32142863644945,45.53157964423407,13.649137868329014,True
eat_all,3,Animal Sound Archive,10,500,75.70914769451844,40.14514586328579,13.271538764141964,True
eat_all,3,NatureLM,165,8250,95.29644765585233,46.50587126632675,6.5533810343401635,False
eat_all,3,Watkins,153,7650,97.70635959868113,46.302032422524896,2.1983852253063243,True
eat_all,3,WavCaps,35,1750,104.08776964697223,55.674862811480814,12.704137012029491,False
eat_all,3,Xeno-canto,322,16100,106.58563491934332,55.875369417080215,14.476273862429716,True
eat_all,3,iNaturalist,115,5750,102.33995884678995,53.85117233391998,13.889311003613436,True
eat_all,4,Animal Sound Archive,10,500,97.13565786823244,48.351077922894284,13.473122938342055,True
eat_all,4,NatureLM,165,8250,130.23258232345515,56.50686116552724,7.627845501336379,False
eat_all,4,Watkins,153,7650,129.2117293276274,58.58579319758272,2.269708815767352,True
eat_all,4,WavCaps,35,1750,142.27820240150106,71.51500873433844,11.8932024131025,False
eat_all,4,Xeno-canto,322,16100,148.96553921728406,70.48800685597551,16.125568179613772,True
eat_all,4,iNaturalist,115,5750,141.77783672869828,66.73784783537673,15.266365571899115,True
eat_all,5,Animal Sound Archive,10,500,103.00610042972114,51.77508286628063,12.796977813777103,True
eat_all,5,NatureLM,165,8250,142.95263400555092,58.49947554220064,7.4761485490096895,False
eat_all,5,Watkins,153,7650,140.8684638755919,61.04732414179358,2.018640468371364,True
eat_all,5,WavCaps,35,1750,156.16972001262675,76.02596466672995,10.526362128391389,False
eat_all,5,Xeno-canto,322,16100,172.71420416096257,75.32128183296298,14.68326135499501,True
eat_all,5,iNaturalist,115,5750,161.47035638642652,70.45319111544697,12.724085909508952,True
eat_all,6,Animal Sound Archive,10,500,105.53562385654577,49.81622820503273,10.878526425644983,True
eat_all,6,NatureLM,165,8250,162.17498285263582,62.212296618133095,6.876827405081862,False
eat_all,6,Watkins,153,7650,152.90521176822946,65.3415067706024,1.9432065391313762,True
eat_all,6,WavCaps,35,1750,177.27288786233055,85.65178119438207,9.37585996538664,False
eat_all,6,Xeno-canto,322,16100,211.51128094952975,88.49544519238225,13.889321171480624,True
eat_all,6,iNaturalist,115,5750,198.49632597581606,83.89530888677561,10.95745783702006,True
eat_all,7,Animal Sound Archive,10,500,106.85896036610039,49.80313352580816,10.388783472491776,True
eat_all,7,NatureLM,165,8250,177.4169710602912,69.08238141783953,6.627835333259209,False
eat_all,7,Watkins,153,7650,156.17763391866683,65.76021379870717,1.9459226301994517,True
eat_all,7,WavCaps,35,1750,186.2057423463427,89.1383469018681,8.880162958507098,False
eat_all,7,Xeno-canto,322,16100,229.91030345695677,95.18424536977155,13.854553153838351,True
eat_all,7,iNaturalist,115,5750,212.28120241927417,88.59321153509313,10.486945057658431,True
eat_all,8,Animal Sound Archive,10,500,87.47094295117817,40.17892725866647,10.09436045423243,True
eat_all,8,NatureLM,165,8250,138.73918649898417,54.64594549981687,6.700944948058317,False
eat_all,8,Watkins,153,7650,129.823479784881,54.9845995393792,2.035466473673864,True
eat_all,8,WavCaps,35,1750,148.48774324151188,66.8035057771292,9.55799800221042,False
eat_all,8,Xeno-canto,322,16100,168.30445174701026,64.97575467935174,13.727803582673566,True
eat_all,8,iNaturalist,115,5750,157.9426447497112,61.42896885524767,11.059100029236491,True
eat_all,9,Animal Sound Archive,10,500,80.12674237134289,38.535696529607165,8.53601571501035,True
eat_all,9,NatureLM,165,8250,131.05893031852395,53.539297533235946,5.876251818060567,False
eat_all,9,Watkins,153,7650,120.36565926571181,50.76416431854837,1.8752941844008526,True
eat_all,9,WavCaps,35,1750,140.10311583088543,64.23359009293277,7.886978613012024,False
eat_all,9,Xeno-canto,322,16100,175.55372561030936,70.12057495565703,11.063573326282153,True
eat_all,9,iNaturalist,115,5750,159.0817624859566,64.51374728560516,8.628434304053151,True
eat_all,10,Animal Sound Archive,10,500,77.70543743718773,39.06882076166325,7.749918673620604,True
eat_all,10,NatureLM,165,8250,125.57084294689264,51.494369152420994,5.713556168898582,False
eat_all,10,Watkins,153,7650,112.16889430631198,46.51014920994821,1.8171898514750338,True
eat_all,10,WavCaps,35,1750,136.58926105280045,63.81309607788039,7.817992734808086,False
eat_all,10,Xeno-canto,322,16100,171.52004127276086,69.97375906875935,10.86300236665458,True
eat_all,10,iNaturalist,115,5750,156.2148168799435,64.79848626560717,8.508197521069134,True
eat_all,11,Animal Sound Archive,10,500,95.85294710327864,44.56028780288174,9.223106983727048,True
eat_all,11,NatureLM,165,8250,154.58865396352007,57.25651867609531,6.003136958711309,False
eat_all,11,Watkins,153,7650,124.19531879113983,47.887399261916066,1.8784396755221167,True
eat_all,11,WavCaps,35,1750,169.40111477190962,72.13083700996707,8.70408986012152,False
eat_all,11,Xeno-canto,322,16100,222.52361224940736,82.6131380892402,11.86094514045101,True
eat_all,11,iNaturalist,115,5750,201.3106901932546,75.84564311137812,9.239400992958108,True
eat_all,12,Animal Sound Archive,10,500,39.251982368613135,11.201642345162048,10.438263658983898,True
eat_all,12,NatureLM,165,8250,48.61503857304239,10.080765970397186,7.206650568263607,False
eat_all,12,Watkins,153,7650,37.726192731077944,8.470721082729305,2.1239108363825006,True
eat_all,12,WavCaps,35,1750,54.56491348327489,11.42420933376976,11.668634378918824,False
eat_all,12,Xeno-canto,322,16100,65.99673608666559,11.549948577973044,16.52925348038424,True
eat_all,12,iNaturalist,115,5750,60.761135002499636,11.20971434738604,13.408947110857872,True
eat_bio,0,Animal Sound Archive,10,500,23.228819230815617,9.300132553965335,9.141991287001423,True
eat_bio,0,NatureLM,165,8250,24.42423107867836,10.467584319058638,1.8681461789599512,False
eat_bio,0,Watkins,153,7650,25.408465438359315,9.922114001865946,2.413431730358466,True
eat_bio,0,WavCaps,35,1750,23.448536395703716,9.443765389393787,8.095602133636756,False
eat_bio,0,Xeno-canto,322,16100,25.58183651253502,9.278171750881889,14.102331255867059,True
eat_bio,0,iNaturalist,115,5750,24.558375704188908,8.95724787925816,7.702448262103454,True
eat_bio,1,Animal Sound Archive,10,500,48.69768740365912,20.881887783456826,12.57372103598363,True
eat_bio,1,NatureLM,165,8250,52.832995076822996,21.830938572757052,5.775485357763319,False
eat_bio,1,Watkins,153,7650,58.33403287333663,29.299521965648445,2.348330747770384,True
eat_bio,1,WavCaps,35,1750,60.804467905490995,28.02588865299288,12.009834217698623,False
eat_bio,1,Xeno-canto,322,16100,70.30310608387792,37.18360533989908,14.197117313435268,True
eat_bio,1,iNaturalist,115,5750,67.81242020627035,35.824459113394674,13.625415337102769,True
eat_bio,2,Animal Sound Archive,10,500,43.28595269006403,27.25777305254256,9.832256779641568,True
eat_bio,2,NatureLM,165,8250,49.33918197248801,28.062473512322935,5.0619710331718055,False
eat_bio,2,Watkins,153,7650,42.33384200794989,20.427583815900118,2.038950795760844,True
eat_bio,2,WavCaps,35,1750,52.430312763732545,31.762125553201333,9.471551653906472,False
eat_bio,2,Xeno-canto,322,16100,52.563269402559776,31.51627534077921,7.829002477695342,True
eat_bio,2,iNaturalist,115,5750,50.528272306708686,30.482541625934786,7.818240772299361,True
eat_bio,3,Animal Sound Archive,10,500,54.44227240081734,32.41283622897337,10.477332793111618,True
eat_bio,3,NatureLM,165,8250,62.07983868551039,34.61822632287517,5.4263757876945835,False
eat_bio,3,Watkins,153,7650,57.192621765672975,27.222680971562323,2.1351013132564423,True
eat_bio,3,WavCaps,35,1750,66.99396584966031,39.11786865614376,10.952746447118422,False
eat_bio,3,Xeno-canto,322,16100,69.71781456913853,40.63271785360777,10.562678273866858,True
eat_bio,3,iNaturalist,115,5750,66.48722936329251,38.76721428210339,10.100386394998054,True
eat_bio,4,Animal Sound Archive,10,500,73.51288306200622,36.835687497368895,11.565103512828063,True
eat_bio,4,NatureLM,165,8250,89.69474254929281,42.178354812367445,6.381451490202164,False
eat_bio,4,Watkins,153,7650,95.0621825200153,45.238201540396346,2.2236654863705305,True
eat_bio,4,WavCaps,35,1750,99.48428879116636,51.09465519993174,10.946675603692022,False
eat_bio,4,Xeno-canto,322,16100,113.1994346988923,57.26501234299223,14.08330888641264,True
eat_bio,4,iNaturalist,115,5750,106.44211933438255,53.72120655251776,13.21234467828755,True
eat_bio,5,Animal Sound Archive,10,500,83.8599050406734,44.43963137758595,12.374465115412615,True
eat_bio,5,NatureLM,165,8250,98.62693152358302,45.37241347107231,6.591952561087277,False
eat_bio,5,Watkins,153,7650,100.29651235016864,44.51820339354403,2.076759387753598,True
eat_bio,5,WavCaps,35,1750,107.1960070399879,53.79581557796447,11.218946952377168,False
eat_bio,5,Xeno-canto,322,16100,127.37723189123633,59.92166454297397,13.986526224613298,True
eat_bio,5,iNaturalist,115,5750,118.29684404018836,55.862196558689334,12.948531290112761,True
eat_bio,6,Animal Sound Archive,10,500,95.09333106718321,41.667392695936755,11.053971642812236,True
eat_bio,6,NatureLM,165,8250,125.40668260242637,46.71925157381765,6.65847241457536,False
eat_bio,6,Watkins,153,7650,129.72203420895352,54.23151077781372,2.019879183938293,True
eat_bio,6,WavCaps,35,1750,140.57776802895336,61.67107920754858,9.676287125763029,False
eat_bio,6,Xeno-canto,322,16100,181.5707579899194,74.27409552670797,15.667222955466443,True
eat_bio,6,iNaturalist,115,5750,169.1109818290425,69.09904861666843,12.925387185350841,True
eat_bio,7,Animal Sound Archive,10,500,90.95290871331784,39.340627023895486,10.35266143708359,True
eat_bio,7,NatureLM,165,8250,126.86482064627698,46.637280796255006,6.355604115504895,False
eat_bio,7,Watkins,153,7650,132.84196701476722,54.48555533235917,2.0301292574283556,True
eat_bio,7,WavCaps,35,1750,140.03989727988815,60.04408314248492,9.019808884075315,False
eat_bio,7,Xeno-canto,322,16100,189.25747706711473,73.60853490704534,14.543573280619714,True
eat_bio,7,iNaturalist,115,5750,174.50333962650242,68.59192249565034,11.550494356055182,True
eat_bio,8,Animal Sound Archive,10,500,75.17798947117363,34.22591502529422,8.994497726978851,True
eat_bio,8,NatureLM,165,8250,104.34428696932008,40.15471630806652,5.769006876320188,False
eat_bio,8,Watkins,153,7650,105.02596427404187,42.590266943273136,2.0591912889493846,True
eat_bio,8,WavCaps,35,1750,116.4223657784986,50.71519355405353,8.155232516042737,False
eat_bio,8,Xeno-canto,322,16100,158.35650798035965,61.84362227669063,11.754822682776966,True
eat_bio,8,iNaturalist,115,5750,145.4090932761842,57.38542070051059,9.439907816078922,True
eat_bio,9,Animal Sound Archive,10,500,72.86310473025861,34.25239985998506,8.495205667198475,True
eat_bio,9,NatureLM,165,8250,100.97108457945622,40.55246566763049,5.4337659413400345,False
eat_bio,9,Watkins,153,7650,91.30766255460522,39.048216808862,1.9737711010688828,True
eat_bio,9,WavCaps,35,1750,112.89414420140719,50.064950369074154,7.536608660625742,False
eat_bio,9,Xeno-canto,322,16100,161.98477132281414,66.90317788159791,10.569692310006747,True
eat_bio,9,iNaturalist,115,5750,144.49862085857066,59.90753087551633,8.589189094927576,True
eat_bio,10,Animal Sound Archive,10,500,74.54090586013274,35.693844391672506,7.974149097676189,True
eat_bio,10,NatureLM,165,8250,101.99902046912281,39.87487230602519,5.248539533224106,False
eat_bio,10,Watkins,153,7650,86.58470231124713,36.00591740595499,1.9289218364756266,True
eat_bio,10,WavCaps,35,1750,118.31818394701475,51.83287403069741,7.931732784827963,False
eat_bio,10,Xeno-canto,322,16100,178.00511949492585,71.2485215429801,10.766295239711914,True
eat_bio,10,iNaturalist,115,5750,157.14314375769996,64.10452235818472,8.663862864867088,True
eat_bio,11,Animal Sound Archive,10,500,85.32069112155149,36.85979616672957,8.907267649930585,True
eat_bio,11,NatureLM,165,8250,112.55161610832201,39.3916436636178,5.487844717766427,False
eat_bio,11,Watkins,153,7650,93.43647567949236,35.83617927340684,1.9921181942439112,True
eat_bio,11,WavCaps,35,1750,133.01697300380388,51.81917674497142,8.545571809687102,False
eat_bio,11,Xeno-canto,322,16100,195.30853220545325,65.4245059190919,11.599371782889149,True
eat_bio,11,iNaturalist,115,5750,173.82715368391663,60.35228058002386,9.393726695286762,True
eat_bio,12,Animal Sound Archive,10,500,84.77134779446216,25.71230003440141,11.603430733801106,True
eat_bio,12,NatureLM,165,8250,110.79116898838221,22.769519523797154,6.519444912785202,False
eat_bio,12,Watkins,153,7650,93.31754069827511,21.79286185942496,2.1089752311048127,True
eat_bio,12,WavCaps,35,1750,134.1287926308606,33.09144260618075,10.92505301153609,False
eat_bio,12,Xeno-canto,322,16100,206.00492236742366,35.6312287446894,16.71834261312257,True
eat_bio,12,iNaturalist,115,5750,181.51575644476506,34.43101243692156,13.375403572599598,True
sl_eat_all_ssl_all,0,Animal Sound Archive,10,500,40.35249801251899,18.616270595146535,12.645084895277046,True
sl_eat_all_ssl_all,0,NatureLM,165,8250,40.11492880493959,19.515742338978537,1.8432626721483631,False
sl_eat_all_ssl_all,0,Watkins,153,7650,40.87353184421954,19.256010962192846,2.33820445208036,True
sl_eat_all_ssl_all,0,WavCaps,35,1750,39.471811931806506,17.894384790052683,8.807861840513073,False
sl_eat_all_ssl_all,0,Xeno-canto,322,16100,42.85586773949607,18.170941126474307,12.616108826045714,True
sl_eat_all_ssl_all,0,iNaturalist,115,5750,45.484454343520035,20.708153620448876,7.420230640882517,True
sl_eat_all_ssl_all,1,Animal Sound Archive,10,500,55.940659190501066,29.227045526968034,13.826245463705929,True
sl_eat_all_ssl_all,1,NatureLM,165,8250,62.09781777950759,32.41511479176768,5.950596334965501,False
sl_eat_all_ssl_all,1,Watkins,153,7650,59.12910867285077,29.73198072507931,2.283740581931087,True
sl_eat_all_ssl_all,1,WavCaps,35,1750,64.83635345635295,34.38710891754394,13.103515918035203,False
sl_eat_all_ssl_all,1,Xeno-canto,322,16100,68.01828983325136,39.278699881946466,12.849789794245915,True
sl_eat_all_ssl_all,1,iNaturalist,115,5750,66.8993788101081,39.6491104756182,13.121206788028223,True
sl_eat_all_ssl_all,2,Animal Sound Archive,10,500,68.85757425820759,40.28738467913767,15.330304980889556,True
sl_eat_all_ssl_all,2,NatureLM,165,8250,73.40000830656032,38.60330075275878,6.5680214261536225,False
sl_eat_all_ssl_all,2,Watkins,153,7650,69.54201867857604,35.298352884712486,2.1651443935320978,True
sl_eat_all_ssl_all,2,WavCaps,35,1750,79.75952428173002,45.157820382715585,14.416842060673801,False
sl_eat_all_ssl_all,2,Xeno-canto,322,16100,81.0169436924908,46.61624891639133,15.05663309005179,True
sl_eat_all_ssl_all,2,iNaturalist,115,5750,78.95770435120706,45.99546812155704,14.003996381120231,True
sl_eat_all_ssl_all,3,Animal Sound Archive,10,500,83.82345873350766,48.26028618431497,15.43761111668025,True
sl_eat_all_ssl_all,3,NatureLM,165,8250,90.45174166155755,45.954295229336886,6.610084963539473,False
sl_eat_all_ssl_all,3,Watkins,153,7650,87.51008914624201,45.28769385552697,2.2369241368007406,True
sl_eat_all_ssl_all,3,WavCaps,35,1750,101.72750091279872,58.30040273041878,14.340759324319691,False
sl_eat_all_ssl_all,3,Xeno-canto,322,16100,104.73977845054624,60.849437659612576,17.258657713204894,True
sl_eat_all_ssl_all,3,iNaturalist,115,5750,101.74568114018783,59.19948735735655,16.92712929343287,True
sl_eat_all_ssl_all,4,Animal Sound Archive,10,500,99.71703667671953,53.702998058142875,14.776972855522875,True
sl_eat_all_ssl_all,4,NatureLM,165,8250,106.3390509221098,46.64819614387048,7.348025746563543,False
sl_eat_all_ssl_all,4,Watkins,153,7650,102.79959206779326,48.551541250846775,2.355837935862356,True
sl_eat_all_ssl_all,4,WavCaps,35,1750,124.2429662308883,65.69584913970436,12.974058562704085,False
sl_eat_all_ssl_all,4,Xeno-canto,322,16100,134.99538704848962,72.5513336284297,18.260176790814587,True
sl_eat_all_ssl_all,4,iNaturalist,115,5750,129.72202880090737,68.80540598790762,17.491684800733196,True
sl_eat_all_ssl_all,5,Animal Sound Archive,10,500,115.32137004463885,62.6615148046692,12.888205837620314,True
sl_eat_all_ssl_all,5,NatureLM,165,8250,123.84116469863771,48.50778167344856,7.312858603430632,False
sl_eat_all_ssl_all,5,Watkins,153,7650,116.417813906852,48.911390315492774,2.1011862742700007,True
sl_eat_all_ssl_all,5,WavCaps,35,1750,147.22740779391208,73.29905931781953,11.593752364290728,False
sl_eat_all_ssl_all,5,Xeno-canto,322,16100,167.53771528590022,84.1251155690771,17.92513613559741,True
sl_eat_all_ssl_all,5,iNaturalist,115,5750,156.76478547217536,76.78813149802137,15.816658852580053,True
sl_eat_all_ssl_all,6,Animal Sound Archive,10,500,112.1267618234728,56.17968627723992,10.245957696939596,True
sl_eat_all_ssl_all,6,NatureLM,165,8250,133.28579995000922,50.09234240622504,6.878017109676023,False
sl_eat_all_ssl_all,6,Watkins,153,7650,119.8814405699538,47.00648352318118,2.044481460862376,True
sl_eat_all_ssl_all,6,WavCaps,35,1750,155.3736370400802,74.02411602303091,10.015719456040094,False
sl_eat_all_ssl_all,6,Xeno-canto,322,16100,188.7780306013402,90.51768255069854,16.983938605168614,True
sl_eat_all_ssl_all,6,iNaturalist,115,5750,176.59154421211485,81.95635540640535,14.345735429235624,True
sl_eat_all_ssl_all,7,Animal Sound Archive,10,500,108.69274029084322,52.692896326942915,8.515024183481993,True
sl_eat_all_ssl_all,7,NatureLM,165,8250,144.06129525022544,54.59199969876496,6.655140681454274,False
sl_eat_all_ssl_all,7,Watkins,153,7650,124.3702540492853,49.35108687490172,2.030031958305993,True
sl_eat_all_ssl_all,7,WavCaps,35,1750,161.28612706432799,77.01413426817373,9.79912564239152,False
sl_eat_all_ssl_all,7,Xeno-canto,322,16100,208.1149708913397,97.89363087948075,16.788512397396946,True
sl_eat_all_ssl_all,7,iNaturalist,115,5750,188.3406124900533,85.21018754482526,13.657759607910732,True
sl_eat_all_ssl_all,8,Animal Sound Archive,10,500,85.42699226032555,40.84835756777591,6.43728046021228,True
sl_eat_all_ssl_all,8,NatureLM,165,8250,110.84885240142552,43.53816831719923,6.1081479065881235,False
sl_eat_all_ssl_all,8,Watkins,153,7650,104.03578741589273,43.063638580639,2.1179865135226055,True
sl_eat_all_ssl_all,8,WavCaps,35,1750,128.81182863088347,60.84140175762437,8.008456365081594,False
sl_eat_all_ssl_all,8,Xeno-canto,322,16100,151.32687391699974,66.12630398107987,12.899488062285444,True
sl_eat_all_ssl_all,8,iNaturalist,115,5750,139.475224983959,60.12819987079483,10.696467767922726,True
sl_eat_all_ssl_all,9,Animal Sound Archive,10,500,76.4486471642848,35.98191047941616,5.954709654384991,True
sl_eat_all_ssl_all,9,NatureLM,165,8250,121.46035744804283,49.12180877750595,4.792872706630859,False
sl_eat_all_ssl_all,9,Watkins,153,7650,122.89754101001488,51.87861776941484,1.8301103229063937,True
