model,layer,observed_abs_cos,null_median,null_p05,null_p95,p_value_lower,n_perm_valid,theoretical_floor_768d,effective_rank
eat_all,7,0.0032255130058561,0.1109457568923569,0.011551251154552,0.2880543204166141,0.015,200,0.0287911791226112,259.5483798150383
eat_all,9,0.0198130416020974,0.110125274655639,0.0063120108365014,0.3665702332336892,0.09,200,0.0287911791226112,192.39513622220989
eat_all,12,0.4006873140208992,0.2302548406166241,0.0267893383996031,0.6156006892580712,0.755,200,0.0287911791226112,62.61805369972722
eat_bio,7,0.0262222798977387,0.1246698346554136,0.0162430732109375,0.4067179233624626,0.115,200,0.0287911791226112,199.52786417102763
eat_bio,9,0.0139030962821393,0.1505329326960775,0.0101413619569282,0.4266541351895544,0.065,200,0.0287911791226112,158.88546337582076
eat_bio,12,0.1000778771449044,0.1952423463874106,0.0147950735007665,0.5090660630188623,0.29,200,0.0287911791226112,180.3673692499394
sl_eat_all_ssl_all,7,0.017729904353781,0.1420453684731115,0.0176786046533824,0.4590823773108241,0.05,200,0.0287911791226112,210.1404231628724
sl_eat_all_ssl_all,9,0.0096595236341074,0.124690634624025,0.010797889133624,0.3787864966695825,0.045,200,0.0287911791226112,185.06159038342395
sl_eat_all_ssl_all,12,0.306550066952251,0.262100842512371,0.0283426973102129,0.6543101754225831,0.55,200,0.0287911791226112,11.170621191924326
sl_eat_bio_ssl_all,7,0.0288694708597679,0.0767576454348955,0.0055307399669271,0.2154292934844171,0.19,200,0.0287911791226112,347.94337566505624
sl_eat_bio_ssl_all,9,0.0960881006497661,0.0772162725741548,0.0071525914227495,0.2096133183443149,0.57,200,0.0287911791226112,315.09796493616795
sl_eat_bio_ssl_all,12,0.0689149918092997,0.0956636781963773,0.0090316052416632,0.2631876218884031,0.38,200,0.0287911791226112,188.65911920616287
random_init_eat_seed42,7,0.9220177271576376,0.6113112944819226,0.0798956846526774,0.9536966473098968,0.89,200,0.0287911791226112,
random_init_eat_seed42,9,0.9224404850630586,0.6008307710974344,0.0600235261472098,0.96402236251221,0.875,200,0.0287911791226112,
random_init_eat_seed42,12,0.9429059046012266,0.6587050090598594,0.0609307304961039,0.9428161629836238,0.95,200,0.0287911791226112,
