model,layer_idx,species,n_clips,within_var,centroid_norm,cos_to_global_bio_centroid,class
eat_all,0,Delphinus delphis,9,0.33756983612033703,0.20307208775127045,0.7592015281781903,Mammalia
eat_all,0,Eubalaena glacialis,7,0.3318523581547958,0.21971345820740032,0.87953041006393,Mammalia
eat_all,0,Aegolius funereus,5,0.3323411814296828,0.18523163643104223,0.7903661585378291,Aves
eat_all,0,Physeter catodon,8,0.3228277754331903,0.2364908985296593,0.6801923593273493,Mammalia
eat_all,0,Orcinus orca,28,0.335636229100747,0.21863025494867552,0.9321027801370857,Mammalia
eat_all,0,Erignathus barbatus,7,0.3272614756023811,0.18986184517764987,0.8889781227390203,Mammalia
eat_all,0,Lagenorhynchus acutus,7,0.33290926838189494,0.20366829640822784,0.8312253845988806,Mammalia
eat_all,0,Strix uralensis,5,0.3244015428012358,0.18597974209048995,0.8088289708658137,Aves
eat_all,0,Strix varia,6,0.34598875179252675,0.1595993810003513,0.8420947009806545,Aves
eat_all,0,Calidris alpina,5,0.3363502287200224,0.16765453125905805,0.9609263394346279,Aves
eat_all,0,Colaptes auratus,6,0.3355138029576688,0.15717791285702887,0.882360756626819,Aves
eat_all,0,Dryobates pubescens,5,0.33428016020589874,0.1524879045252636,0.914333203160392,Aves
eat_all,0,Canis latrans,6,0.3180571605460125,0.20397880411172864,0.7492136900430826,Mammalia
eat_all,0,Dendrocopos major,11,0.3276065340074915,0.19247533029877212,0.7911192692685852,Aves
eat_all,0,Stenella coeruleoalba,5,0.32519921894336334,0.2221705078556019,0.8297689736346038,Mammalia
eat_all,0,Stenella attenuata,6,0.3325233652908661,0.19877725876765626,0.7893113697471981,Mammalia
eat_all,0,Tyto alba,5,0.33071785613113985,0.1898097469597376,0.888772258967376,Aves
eat_all,0,Megaptera novaeangliae,10,0.3314322577838753,0.19178591628134908,0.7551094343270445,Mammalia
eat_all,0,Picus viridis,5,0.3195158618194357,0.21127699030338343,0.8529418848161584,Aves
eat_all,0,Athene noctua,7,0.33259523965420235,0.15510059836097673,0.8330883147228444,Aves
eat_all,0,Bubo virginianus,5,0.35215043846517746,0.17988096518885965,0.8507754332364529,Aves
eat_all,0,Sciurus carolinensis,7,0.32913239804822436,0.18700146597416495,0.7939225525374398,Mammalia
eat_all,0,Pseudorca crassidens,8,0.33985245317796964,0.21090922921854094,0.9117334914065223,Mammalia
eat_all,0,Globicephala macrorhynchus,9,0.32994396675993665,0.2225516805180196,0.7326032920211443,Mammalia
eat_all,0,Globicephala melaena,8,0.32804206096774924,0.20683767223807165,0.838772837832149,Mammalia
eat_all,0,Sterna paradisaea,5,0.3463266355845341,0.16065304086147827,0.8766214129073091,Aves
eat_all,0,Strix aluco,7,0.33421263165350473,0.16885825664029502,0.8508062012432408,Aves
eat_all,0,Balaenoptera physalus,12,0.34499971567843557,0.25601101173941676,0.7892248453220454,Mammalia
eat_all,1,Delphinus delphis,9,24.156374144724232,1.7992843182546252,0.9268321350997218,Mammalia
eat_all,1,Eubalaena glacialis,7,23.67930718415806,1.8975642809235849,0.9307558834681712,Mammalia
eat_all,1,Aegolius funereus,5,25.446913807844584,1.5781684948968657,0.9067213694573399,Aves
eat_all,1,Physeter catodon,8,22.580112563140396,2.1004769528406917,0.8527474500270265,Mammalia
eat_all,1,Orcinus orca,28,23.33911237092557,2.0540192499763705,0.886976600188061,Mammalia
eat_all,1,Erignathus barbatus,7,24.59972201644794,1.7243994844885362,0.9619910734165487,Mammalia
eat_all,1,Lagenorhynchus acutus,7,23.300447239877837,1.9296936191636056,0.9388298323972564,Mammalia
eat_all,1,Strix uralensis,5,23.382419578586635,1.79584505526869,0.9172945622775777,Aves
eat_all,1,Strix varia,6,25.090097082033996,1.5905495367838483,0.9385078088649773,Aves
eat_all,1,Calidris alpina,5,24.415939405321122,1.6637858192286825,0.9741011045658978,Aves
eat_all,1,Colaptes auratus,6,24.928855751773025,1.6367567206236195,0.9211304336161157,Aves
eat_all,1,Dryobates pubescens,5,24.84831360810802,1.6339678463470342,0.9621164974436099,Aves
eat_all,1,Canis latrans,6,24.784738557115404,1.6722253571798371,0.9159972714183685,Mammalia
eat_all,1,Dendrocopos major,11,24.966797809285453,1.6333829885777709,0.9326430399482927,Aves
eat_all,1,Stenella coeruleoalba,5,22.611024843046827,2.0102117695221144,0.9365384639812635,Mammalia
eat_all,1,Stenella attenuata,6,24.091229182708567,1.7701166494127778,0.9195860993827133,Mammalia
eat_all,1,Tyto alba,5,24.19027683865936,1.6884953649089465,0.9494982175662511,Aves
eat_all,1,Megaptera novaeangliae,10,24.416905082189814,1.7411348910097049,0.9584789587953331,Mammalia
eat_all,1,Picus viridis,5,24.58899228758995,1.697161656769172,0.952835804112938,Aves
eat_all,1,Athene noctua,7,25.169224943281744,1.6157831279596302,0.9208285260157407,Aves
eat_all,1,Bubo virginianus,5,24.441661490747837,1.7127307496853903,0.9372055379816056,Aves
eat_all,1,Sciurus carolinensis,7,24.27974816744907,1.7111314880276558,0.9395765672667923,Mammalia
eat_all,1,Pseudorca crassidens,8,23.0396350344961,2.0895869191075365,0.8756442084351646,Mammalia
eat_all,1,Globicephala macrorhynchus,9,23.89976004316075,1.8165717086631055,0.9213861506367769,Mammalia
eat_all,1,Globicephala melaena,8,23.467333822075116,1.848148451525527,0.9469542600817077,Mammalia
eat_all,1,Sterna paradisaea,5,25.90087932705342,1.5230785057163827,0.9146398506141606,Aves
eat_all,1,Strix aluco,7,25.070279710555162,1.6082273569362826,0.9445921590337503,Aves
eat_all,1,Balaenoptera physalus,12,24.267793396455634,2.042505478584068,0.8011699025038196,Mammalia
eat_all,2,Delphinus delphis,9,25.054141204176467,2.106760565562705,0.8920195803434201,Mammalia
eat_all,2,Eubalaena glacialis,7,25.56057311320334,2.0710808387130557,0.8819316646877696,Mammalia
eat_all,2,Aegolius funereus,5,25.707846222699924,2.0039787110548124,0.9274255092246259,Aves
eat_all,2,Physeter catodon,8,22.2262849885896,2.3839244700840885,0.8407392368460188,Mammalia
eat_all,2,Orcinus orca,28,25.730937838688458,2.0006523681603774,0.8852156188506762,Mammalia
eat_all,2,Erignathus barbatus,7,25.85910930510097,2.0447471857408135,0.9150262636514375,Mammalia
eat_all,2,Lagenorhynchus acutus,7,23.163355137141235,2.2298706192208044,0.9123364271002471,Mammalia
eat_all,2,Strix uralensis,5,21.980249588139902,2.4712287245604783,0.8894992642027961,Aves
eat_all,2,Strix varia,6,26.11611766264613,1.9158036237420024,0.949489741987433,Aves
