model,layer_idx,level,group_a,group_b,k,mean_cos_principal_angles
eat_all,0,class,Aves,Mammalia,10,0.8276541616361195
eat_all,0,order,Passeriformes,other-Aves,10,0.9177228257736998
eat_all,1,class,Aves,Mammalia,10,0.8393534904547204
eat_all,1,order,Passeriformes,other-Aves,10,0.9724923715539979
eat_all,2,class,Aves,Mammalia,10,0.7766660104750214
eat_all,2,order,Passeriformes,other-Aves,10,0.9619196959610518
eat_all,3,class,Aves,Mammalia,10,0.7286671602611284
eat_all,3,order,Passeriformes,other-Aves,10,0.8869341349993082
eat_all,4,class,Aves,Mammalia,10,0.756779618644827
eat_all,4,order,Passeriformes,other-Aves,10,0.8926547941396541
eat_all,5,class,Aves,Mammalia,10,0.7308653705319229
eat_all,5,order,Passeriformes,other-Aves,10,0.9412630489794968
eat_all,6,class,Aves,Mammalia,10,0.6039191581314143
eat_all,6,order,Passeriformes,other-Aves,10,0.863518627591192
eat_all,7,class,Aves,Mammalia,10,0.588821487451809
eat_all,7,order,Passeriformes,other-Aves,10,0.9014574618752358
eat_all,8,class,Aves,Mammalia,10,0.6718160991135347
eat_all,8,order,Passeriformes,other-Aves,10,0.9320845011580635
eat_all,9,class,Aves,Mammalia,10,0.6563536055595207
eat_all,9,order,Passeriformes,other-Aves,10,0.932908901114913
eat_all,10,class,Aves,Mammalia,10,0.637769238970361
eat_all,10,order,Passeriformes,other-Aves,10,0.9359231623707529
eat_all,11,class,Aves,Mammalia,10,0.675726184072843
eat_all,11,order,Passeriformes,other-Aves,10,0.9260626728537448
eat_all,12,class,Aves,Mammalia,10,0.8046662619825957
eat_all,12,order,Passeriformes,other-Aves,10,0.904539196209955
eat_bio,0,class,Aves,Mammalia,10,0.8810276140555485
eat_bio,0,order,Passeriformes,other-Aves,10,0.9928431073056665
eat_bio,1,class,Aves,Mammalia,10,0.8101981393945769
eat_bio,1,order,Passeriformes,other-Aves,10,0.9102667925007883
eat_bio,2,class,Aves,Mammalia,10,0.7400115913963293
eat_bio,2,order,Passeriformes,other-Aves,10,0.9289987405887536
eat_bio,3,class,Aves,Mammalia,10,0.7461762326928942
eat_bio,3,order,Passeriformes,other-Aves,10,0.980627204862432
eat_bio,4,class,Aves,Mammalia,10,0.712138689908868
eat_bio,4,order,Passeriformes,other-Aves,10,0.9222268286272748
eat_bio,5,class,Aves,Mammalia,10,0.749114566117886
eat_bio,5,order,Passeriformes,other-Aves,10,0.9316087815092133
eat_bio,6,class,Aves,Mammalia,10,0.6562297790752198
eat_bio,6,order,Passeriformes,other-Aves,10,0.8689164633959882
eat_bio,7,class,Aves,Mammalia,10,0.6611488286457973
eat_bio,7,order,Passeriformes,other-Aves,10,0.9416850304757091
eat_bio,8,class,Aves,Mammalia,10,0.6700030588033364
eat_bio,8,order,Passeriformes,other-Aves,10,0.95492573847252
eat_bio,9,class,Aves,Mammalia,10,0.6601320975375894
eat_bio,9,order,Passeriformes,other-Aves,10,0.9169974432945953
eat_bio,10,class,Aves,Mammalia,10,0.6861465517863999
