model,layer_idx,level,group,n_clips,effective_rank,participation_ratio,mle_id_k20,n_frames
eat_all,0,class,Aves,400,9.704508572657486,3.981282847048523,14.932413910782248,20000
eat_all,0,class,Mammalia,200,10.21317252833335,4.21158922102727,3.1130586217251377,10000
eat_all,0,order,Passeriformes,100,9.627856310777647,3.957834367555537,8.966517238052717,5000
eat_all,0,order,other-Aves,300,9.702456645882064,3.9804788338423163,15.184337576684724,15000
eat_all,1,class,Aves,400,48.21853136907663,22.509078143975188,8.49009559926198,20000
eat_all,1,class,Mammalia,200,44.052244958723065,17.29005490341656,2.786769900812535,10000
eat_all,1,order,Passeriformes,100,48.28739722256806,22.778692423349653,9.610755195110274,5000
eat_all,1,order,other-Aves,300,47.92584315428277,22.344947464314288,8.190370065346588,15000
eat_all,2,class,Aves,400,88.16800375675838,47.35877436766231,14.871810543666315,20000
eat_all,2,class,Mammalia,200,87.94978233966262,44.78004772595393,2.737206393103046,10000
eat_all,2,order,Passeriformes,100,86.41452537640646,46.426704839416495,14.861591908802758,5000
eat_all,2,order,other-Aves,300,87.80797072261625,47.22639305605045,14.503286716404489,15000
eat_all,3,class,Aves,400,107.23869229443976,56.21476840719485,14.801346955906165,20000
eat_all,3,class,Mammalia,200,107.46436071202291,53.14932145191543,2.759622943385008,10000
eat_all,3,order,Passeriformes,100,104.39069792136034,54.86986726006826,14.011965228144687,5000
eat_all,3,order,other-Aves,300,106.46941118096048,55.87263495414086,14.253103435001858,15000
eat_all,4,class,Aves,400,150.38260129576244,71.1331699195888,16.84566692646025,20000
eat_all,4,class,Mammalia,200,145.10391953330577,67.16035145793907,2.8508827796853784,10000
eat_all,4,order,Passeriformes,100,144.38894876247977,68.76375665395031,15.186403444691946,5000
eat_all,4,order,other-Aves,300,148.76678193872908,70.45090233937674,15.952310900795815,15000
eat_all,5,class,Aves,400,176.03266614507092,76.53258789082203,15.497705010778525,20000
eat_all,5,class,Mammalia,200,162.6164742387031,71.25462424264444,2.526586771473236,10000
