model,layer_idx,n_aves,n_mammalia,n_passer,n_other_aves,parent_axis_norm,passer_subord_axis_norm,abs_cos_parent_vs_passer_subord,other_aves_subord_axis_norm,abs_cos_parent_vs_other_aves_subord,abs_cos_passer_vs_other_aves
eat_all,0,400,200,100,300,0.11627008860092188,0.02327707390606464,0.5406269107769569,0.007758986217661636,0.5406263763956721,0.9999998698682052
eat_all,1,400,200,100,300,0.7531974545181964,0.11059646597360981,0.28082975313437686,0.036865617164957884,0.2808314923245077,0.999995083933682
eat_all,2,400,200,100,300,0.8251560778856922,0.15981732480457145,0.06451931178337952,0.053273312135461715,0.06450503898943212,0.999999995556923
eat_all,3,400,200,100,300,1.015457984691445,0.2133351935325077,0.011134482113964778,0.07111295701793185,0.011142100303528118,0.9999999989409356
eat_all,4,400,200,100,300,1.4592755034266645,0.2865161979866759,0.04576343354579609,0.09550503269286552,0.04576718785783683,0.9999999977720618
eat_all,5,400,200,100,300,1.6645150136634637,0.3547287817197165,0.016305800948253873,0.11824387584627762,0.016316676517336346,0.9999999985400753
eat_all,6,400,200,100,300,1.6268825643161289,0.35682904024352574,0.05794600728335888,0.11894347594615721,0.05793945573872453,0.9999999985892443
eat_all,7,400,200,100,300,1.8738748968048893,0.42136628524650094,0.003225513005856181,0.14045531036913883,0.0032213021869341983,0.9999999979867041
eat_all,8,400,200,100,300,1.7722236454421674,0.3648793344549776,0.029241862840310242,0.12162700574265316,0.029251264209587215,0.9999999985369123
eat_all,9,400,200,100,300,1.4764508426894811,0.3141537746068455,0.019813041602097493,0.1047179432115356,0.01981612802948036,0.9999999971435827
eat_all,10,400,200,100,300,1.2848082889482155,0.2519660574337258,0.03152643123100755,0.08398888005678497,0.03151904546356038,0.9999999989416307
eat_all,11,400,200,100,300,1.5233989839755553,0.19601336715169962,0.034232099280192246,0.06533772070067427,0.0342516738359752,0.99999999601474
eat_all,12,400,200,100,300,1.1944893495778979,0.09873360900866214,0.40068731402089924,0.03291265547683619,0.4006462409147869,0.9999998750984253
eat_bio,0,400,200,100,300,0.11447129887541507,0.028431135304553407,0.5917835275145109,0.0094768885360583,0.5917847796266681,0.9999999959173598
eat_bio,1,400,200,100,300,0.550328170588446,0.06918357732642595,0.14798396697460486,0.023061021040405565,0.14798099986683555,0.9999999923723331
eat_bio,2,400,200,100,300,0.8772894478018036,0.12183259095789672,0.024627552247188343,0.04061091832397303,0.02463228972503794,0.9999999935562897
eat_bio,3,400,200,100,300,0.9230897674030393,0.16460687941562535,0.005303978852939716,0.05486866618097342,0.005303325663129788,0.9999999947098404
eat_bio,4,400,200,100,300,1.2124893371706595,0.20672010192922835,0.047405670799055756,0.06890614429627415,0.047410550441804096,0.9999999984457917
eat_bio,5,400,200,100,300,1.45323462420007,0.269740554849574,0.015929333632688884,0.08991318843448255,0.01592782220929276,0.9999999987632361
eat_bio,6,400,200,100,300,1.3802509151977502,0.27647123206956,0.0287862012111796,0.09215682530252532,0.028791142569771524,0.9999999985439085
eat_bio,7,400,200,100,300,1.4928324404899898,0.3106051424306713,0.026222279897738728,0.10353465525732042,0.02622899623800331,0.9999999984448668
eat_bio,8,400,200,100,300,1.4493988433891987,0.2873910909187978,0.013119863734420392,0.0957970308804745,0.013115364728021483,0.9999999987520151
eat_bio,9,400,200,100,300,1.2171115776516577,0.24726500021457415,0.013903096282139338,0.0824206959451067,0.01389672169219401,0.9999999985616683
eat_bio,10,400,200,100,300,1.2980930294282786,0.2119719518569886,0.02468165719967873,0.07065737548041834,0.02468668735762743,0.9999999985541205
eat_bio,11,400,200,100,300,1.2625180474668585,0.16550625478518038,0.02933869052520996,0.05516895993503541,0.029324463114816984,0.9999999962188278
eat_bio,12,400,200,100,300,0.8890803644523257,0.11590975471994139,0.10007787714490446,0.0386372651827581,0.1000363547099912,0.9999999808973578
sl_eat_all_ssl_all,0,400,200,100,300,0.1969006763315091,0.050461621363930495,0.635213475800886,0.016820726488609467,0.6352129634822482,0.9999999991325855
sl_eat_all_ssl_all,1,400,200,100,300,0.9818807367625725,0.1271546280710242,0.13929979489180802,0.04238367082567947,0.13929871832424576,0.9999999886421815
sl_eat_all_ssl_all,2,400,200,100,300,1.2178278612273148,0.17206241054229784,0.08112755807781426,0.05735404029096479,0.08112143252941054,0.9999999953371995
sl_eat_all_ssl_all,3,400,200,100,300,1.4902331830439166,0.20362491744694253,0.08588099130532724,0.06787561397543555,0.08586187401717309,0.9999999956433425
sl_eat_all_ssl_all,4,400,200,100,300,2.358302133987486,0.3020666200717746,0.07176099020423443,0.10068773402006875,0.07173826904838997,0.9999999980139219
sl_eat_all_ssl_all,5,400,200,100,300,2.581026435524063,0.3465240063279251,0.06796495143111646,0.11550876030155137,0.06796411547996563,0.9999999983944328
sl_eat_all_ssl_all,6,400,200,100,300,2.488156968146495,0.34079657438995076,0.05685052284299709,0.11359875878590839,0.05685878674275416,0.9999999994682183
sl_eat_all_ssl_all,7,400,200,100,300,2.7380910470048625,0.4522124736283613,0.017729904353781096,0.1507370121777455,0.017729054630140993,0.9999999994594141
sl_eat_all_ssl_all,8,400,200,100,300,2.6768336483757733,0.399298312093961,0.01390174694107155,0.13310139220745484,0.01390753602562634,0.9999999981230063
sl_eat_all_ssl_all,9,400,200,100,300,1.9756331744737206,0.31028322285199583,0.009659523634107449,0.10342809350813155,0.00965799174205566,0.9999999995506833
