model,layer,observed_abs_cos,null_median,null_p05,null_p95,p_value_lower,n_perm_valid,theoretical_floor_768d
eat_all,7,0.003225513005856181,0.11094575689235699,0.011551251154552092,0.28805432041661416,0.015,200,0.02879117912261129
eat_all,9,0.019813041602097493,0.11012527465563907,0.006312010836501425,0.3665702332336892,0.09,200,0.02879117912261129
eat_all,12,0.40068731402089924,0.23025484061662418,0.026789338399603124,0.6156006892580712,0.755,200,0.02879117912261129
eat_bio,7,0.026222279897738728,0.12466983465541366,0.016243073210937542,0.4067179233624626,0.115,200,0.02879117912261129
eat_bio,9,0.013903096282139338,0.15053293269607754,0.010141361956928246,0.4266541351895544,0.065,200,0.02879117912261129
eat_bio,12,0.10007787714490446,0.19524234638741061,0.014795073500766538,0.5090660630188623,0.29,200,0.02879117912261129
sl_eat_all_ssl_all,7,0.017729904353781096,0.14204536847311153,0.017678604653382436,0.4590823773108241,0.05,200,0.02879117912261129
sl_eat_all_ssl_all,9,0.009659523634107449,0.124690634624025,0.01079788913362403,0.3787864966695825,0.045,200,0.02879117912261129
sl_eat_all_ssl_all,12,0.30655006695225107,0.262100842512371,0.02834269731021292,0.6543101754225831,0.55,200,0.02879117912261129
sl_eat_bio_ssl_all,7,0.028869470859767946,0.07675764543489558,0.005530739966927142,0.21542929348441717,0.19,200,0.02879117912261129
sl_eat_bio_ssl_all,9,0.09608810064976618,0.07721627257415484,0.00715259142274956,0.2096133183443149,0.57,200,0.02879117912261129
sl_eat_bio_ssl_all,12,0.06891499180929979,0.09566367819637732,0.009031605241663212,0.26318762188840317,0.38,200,0.02879117912261129
random_init_eat_seed42,7,0.9220177271576375,0.6113112944819226,0.07989568465267745,0.9536966473098967,0.89,200,0.02879117912261129
random_init_eat_seed42,9,0.9224404850630586,0.6008307710974344,0.06002352614720987,0.9640223625122099,0.875,200,0.02879117912261129
random_init_eat_seed42,12,0.9429059046012266,0.6587050090598594,0.0609307304961039,0.9428161629836238,0.95,200,0.02879117912261129
