model,layer_idx,split,n,mean_within_clip_var,mean_between_clip_var,within_total_ratio
eat_all,0,all,800,0.3197562781843274,0.032931190947662926,0.9066278395750468
eat_all,0,bio,600,0.31938009828422964,0.027715958769968983,0.9201490244366528
eat_all,0,nonbio,200,0.32088481788462075,0.04857688748074475,0.868519830945114
eat_all,1,all,800,23.76337009502572,1.7615970661505727,0.9309853346714594
eat_all,1,bio,600,23.823606842729834,1.4474003489021314,0.9427248649835606
eat_all,1,nonbio,200,23.582659851913373,2.7041872178958966,0.8971277456473019
eat_all,2,all,800,24.348995848038314,2.6079680353391166,0.9032543855227229
eat_all,2,bio,600,24.513615403866023,2.117581052338222,0.9204849449471546
eat_all,2,nonbio,200,23.855137180555165,4.079128984341798,0.8539740059659147
eat_all,3,all,800,24.769259498303736,2.9958160573501753,0.8921012820100133
eat_all,3,bio,600,24.94800207986234,2.6200598713283854,0.9049603169070353
eat_all,3,nonbio,200,24.233031753627916,4.1230846154155465,0.8545962866792033
eat_all,4,all,800,45.402449375170406,6.007667773560277,0.883142305313564
eat_all,4,bio,600,45.90224046044471,5.326063241408026,0.8960328010779829
eat_all,4,nonbio,200,43.90307611934748,8.052481370017029,0.8450121265340017
eat_all,5,all,800,52.730496201029474,8.066016212508746,0.867327649361798
eat_all,5,bio,600,53.306838107178045,7.447919260405303,0.8774101060869471
eat_all,5,nonbio,200,51.00147048258379,9.92030706881907,0.837163203906045
eat_all,6,all,800,43.13083388337571,8.507483597537583,0.8352486290692538
eat_all,6,bio,600,43.661736912772106,7.885274080529881,0.8470275205374276
eat_all,6,nonbio,200,41.53812479518652,10.37411214856068,0.8001605640727405
eat_all,7,all,800,58.045214720679795,11.392052485398088,0.8359374879833846
eat_all,7,bio,600,58.80861025272541,10.624931870801422,0.846976957449485
eat_all,7,nonbio,200,55.75502812454294,13.693414329188077,0.8028261852191846
eat_all,8,all,800,53.716253234357275,8.62613428482119,0.8616329173763594
eat_all,8,bio,600,54.367753185712004,7.806912769846564,0.8744357906896224
eat_all,8,nonbio,200,51.761753380293065,11.083798829745067,0.8236343155566276
eat_all,9,all,800,36.47718948579889,6.268975923080977,0.8533441336055212
eat_all,9,bio,600,36.919988202156816,5.764551737011389,0.8649498918056343
eat_all,9,nonbio,200,35.1487933367251,7.782248481289741,0.818726773175485
eat_all,10,all,800,23.109734391955325,3.8507304328775276,0.8571712150403772
eat_all,10,bio,600,23.345758673509238,3.524652722200677,0.8688277350765304
eat_all,10,nonbio,200,22.401661547293575,4.8289635649080775,0.822664241272071
eat_all,11,all,800,30.56597118750187,4.002239102665568,0.8842219753620291
eat_all,11,bio,600,30.863666046770092,3.683516842216786,0.8933772153274171
eat_all,11,nonbio,200,29.67288660969718,4.958405884011913,0.8568229619234503
eat_all,12,all,800,16.53271237065636,1.5986743365573388,0.9118283470330875
eat_all,12,bio,600,16.696575195728347,1.553091402174996,0.9148975465473201
eat_all,12,nonbio,200,16.041123895440386,1.7354231397043673,0.9023756899316058
eat_bio,0,all,800,0.23492965678220062,0.04340751845320396,0.8440469965375919
eat_bio,0,bio,600,0.22414607492947472,0.03538486250026294,0.8636584029222234
eat_bio,0,nonbio,200,0.26728040234037825,0.06747548631202703,0.7984337584511011
eat_bio,1,all,800,4.953403937176672,0.7577930985097788,0.8673144887534603
eat_bio,1,bio,600,4.996558305022863,0.5596839505814557,0.8992693398102055
eat_bio,1,nonbio,200,4.823940833638099,1.352120542294748,0.7810707407209793
eat_bio,2,all,800,21.087155044691443,2.14623276580896,0.9076229096111862
eat_bio,2,bio,600,21.53101687783309,1.7118721746702974,0.9263485631754578
eat_bio,2,nonbio,200,19.75556954526651,3.4493145392249493,0.8513539422707035
eat_bio,3,all,800,20.277568732537734,2.1772527097282968,0.9030385204653589
eat_bio,3,bio,600,20.60170732200131,1.8289351233200746,0.9184626509125441
eat_bio,3,nonbio,200,19.305152964146995,3.2222054689529616,0.8569647889022576
eat_bio,4,all,800,24.465253328467007,3.2961828905772177,0.8812675661097084
eat_bio,4,bio,600,24.775580498799226,2.8389823913518017,0.8971925645665625
eat_bio,4,nonbio,200,23.534271817470344,4.667784388253466,0.834487799251102
eat_bio,5,all,800,32.125454726887526,4.62544473995747,0.8741406385405521
eat_bio,5,bio,600,32.487155373070614,4.137380849932865,0.8870325394773403
eat_bio,5,nonbio,200,31.040352788338286,6.089636410031284,0.835991430606215
eat_bio,6,all,800,28.572436882507855,4.821887963676158,0.8556075624859606
eat_bio,6,bio,600,29.04581145651661,4.248499434855512,0.872395633935272
eat_bio,6,nonbio,200,27.152313160481587,6.542053550138093,0.805841326346217
eat_bio,7,all,800,33.43116558523478,6.008213150433919,0.8476595386884193
eat_bio,7,bio,600,33.9253997796672,5.380114549300906,0.8631206170138889
eat_bio,7,nonbio,200,31.94846300193749,7.892508953832958,0.8018996885268048
eat_bio,8,all,800,27.779750092150366,4.728609856458802,0.8545417282220935
eat_bio,8,bio,600,28.143511244563143,4.22186663685806,0.8695560839015709
eat_bio,8,nonbio,200,26.688466634912047,6.248839515261028,0.8102807956798195
eat_bio,9,all,800,20.085419272025536,3.3671343103486686,0.8564278171874963
eat_bio,9,bio,600,20.315093522307723,3.0233402994228245,0.8704565900815601
eat_bio,9,nonbio,200,19.39639652117899,4.3985163431262,0.8151488779047211
eat_bio,10,all,800,15.450230308849811,2.7045026655837274,0.8510304354576653
eat_bio,10,bio,600,15.595826061446072,2.5030575639861885,0.861700996824526
eat_bio,10,nonbio,200,15.013443051061035,3.3088379703763455,0.8194090590300984
eat_bio,11,all,800,15.246384048201035,2.2305336694767273,0.8723725942120469
eat_bio,11,bio,600,15.378919150833978,2.050029407821534,0.8823779070250651
eat_bio,11,nonbio,200,14.848778740302201,2.7720464544423056,0.8426835052385016
eat_bio,12,all,800,11.576796568701106,1.4118443852355154,0.8913016080556442
eat_bio,12,bio,600,11.52001269603511,1.255788758525059,0.901705676705173
eat_bio,12,nonbio,200,11.747148186699096,1.8800112653668857,0.8620393874468195
sl_eat_all_ssl_all,0,all,800,0.9587214747992912,0.1457954508258299,0.8680007092301331
sl_eat_all_ssl_all,0,bio,600,0.9329978500147873,0.12508223824572523,0.8817837707811316
sl_eat_all_ssl_all,0,nonbio,200,1.0358923491528025,0.20793508856614384,0.8328264176681326
sl_eat_all_ssl_all,1,all,800,26.000257066944346,2.7622366859277783,0.9039639361711482
sl_eat_all_ssl_all,1,bio,600,26.681304302121063,2.1751421526202632,0.924621967710689
sl_eat_all_ssl_all,1,nonbio,200,23.95711536141419,4.523520285850323,0.8411720741813993
sl_eat_all_ssl_all,2,all,800,31.208105983175656,3.4893130672859116,0.8994359476071897
sl_eat_all_ssl_all,2,bio,600,32.0291783998881,2.8147588122185776,0.9192181183462649
sl_eat_all_ssl_all,2,nonbio,200,28.744888733038298,5.5129758324879115,0.8390741541422393
sl_eat_all_ssl_all,3,all,800,30.045301365045553,3.741496864682907,0.8892615737293856
sl_eat_all_ssl_all,3,bio,600,30.780274878017565,3.1494592192460695,0.9071770144081363
sl_eat_all_ssl_all,3,nonbio,200,27.840380826129493,5.5176098009934185,0.8345940598560176
sl_eat_all_ssl_all,4,all,800,57.46981456460112,8.821945950828308,0.8669224367819437
sl_eat_all_ssl_all,4,bio,600,59.037498071736266,7.559431486513374,0.8864897895945572
sl_eat_all_ssl_all,4,nonbio,200,52.766764043195664,12.60948934377311,0.8071243197566517
sl_eat_all_ssl_all,5,all,800,58.75519053361886,10.305128742739333,0.8507807544083112
sl_eat_all_ssl_all,5,bio,600,60.34430221566107,9.07910353303987,0.8692212887696056
sl_eat_all_ssl_all,5,nonbio,200,53.987855487492226,13.983204371837722,0.794277087913933
sl_eat_all_ssl_all,6,all,800,50.74450726214774,10.518442338659703,0.8283066289299092
sl_eat_all_ssl_all,6,bio,600,51.95667592719548,9.307372291478082,0.84807774605007
sl_eat_all_ssl_all,6,nonbio,200,47.108001267004546,14.151652480204575,0.7689890227162882
sl_eat_all_ssl_all,7,all,800,55.79733542596884,13.743085972348513,0.802372696397249
sl_eat_all_ssl_all,7,bio,600,57.50132737568511,12.426078983786839,0.8223003021174734
sl_eat_all_ssl_all,7,nonbio,200,50.68535957682005,17.69410693803353,0.7412365460003996
sl_eat_all_ssl_all,8,all,800,55.5807749683968,11.566142434820295,0.8277487205352163
sl_eat_all_ssl_all,8,bio,600,57.130914196440315,10.280898552717332,0.8474911423762922
sl_eat_all_ssl_all,8,nonbio,200,50.930357284266265,15.42187408112918,0.7675756524870674
sl_eat_all_ssl_all,9,all,800,33.76690105143807,7.49528302177986,0.8183498234490009
sl_eat_all_ssl_all,9,bio,600,34.776318229166314,6.624051745896895,0.8400001799528175
sl_eat_all_ssl_all,9,nonbio,200,30.738649518253343,10.108976849428759,0.7525198463569281
