model,,eat_all,eat_all,eat_all,eat_all,eat_all,eat_all,eat_all,eat_all,eat_all,eat_all,eat_all,eat_all,eat_all,eat_bio,eat_bio,eat_bio,eat_bio,eat_bio,eat_bio,eat_bio,eat_bio,eat_bio,eat_bio,eat_bio,eat_bio,eat_bio,sl_eat_all_ssl_all,sl_eat_all_ssl_all,sl_eat_all_ssl_all,sl_eat_all_ssl_all,sl_eat_all_ssl_all,sl_eat_all_ssl_all,sl_eat_all_ssl_all,sl_eat_all_ssl_all,sl_eat_all_ssl_all,sl_eat_all_ssl_all,sl_eat_all_ssl_all,sl_eat_all_ssl_all,sl_eat_all_ssl_all,sl_eat_bio_ssl_all,sl_eat_bio_ssl_all,sl_eat_bio_ssl_all,sl_eat_bio_ssl_all,sl_eat_bio_ssl_all,sl_eat_bio_ssl_all,sl_eat_bio_ssl_all,sl_eat_bio_ssl_all,sl_eat_bio_ssl_all,sl_eat_bio_ssl_all,sl_eat_bio_ssl_all,sl_eat_bio_ssl_all,sl_eat_bio_ssl_all
layer_idx,,0,1,2,3,4,5,6,7,8,9,10,11,12,0,1,2,3,4,5,6,7,8,9,10,11,12,0,1,2,3,4,5,6,7,8,9,10,11,12,0,1,2,3,4,5,6,7,8,9,10,11,12
model,layer_idx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eat_all,0,1.0,0.7205069105945973,0.6110439884391594,0.53696570684579,0.5115441294699019,0.44382482527972555,0.40698778449707684,0.4104974452685027,0.4119100852109267,0.3895649002223048,0.38917668469302774,0.3290457795837537,0.24280129525570635,0.9932968586606192,0.7017176898094356,0.6426119986606657,0.6162188036206148,0.5811714616296279,0.5327151192535938,0.5527208744501255,0.5399766942858791,0.5282803765116056,0.4989514894609334,0.45544042047522093,0.41521762050786776,0.36520183046585003,0.9779120477783686,0.7130323441205368,0.6263311605518094,0.497264474744041,0.4512340126620234,0.4140901897243976,0.4163991359239097,0.38679256448810173,0.375510431856993,0.3447017402656701,0.33653449473050484,0.30132191610938397,0.20003323723631658,0.9962240153040637,0.6880142334922033,0.6340527627655878,0.5762738928066138,0.5405489458620014,0.48998471355141815,0.445257240665627,0.36786960927013834,0.33458323399034445,0.2680482688075911,0.261209648067355,0.25375580614619464,0.20028813745496046
eat_all,1,0.7205069105945973,1.0,0.8724902971165129,0.7975308358972278,0.7568478634752092,0.7112655739624918,0.6728970684792777,0.6803998613602418,0.7037193113203728,0.6943904335237536,0.6819728424684731,0.6303684448577164,0.5120799687676459,0.6899696210078038,0.9327821247895911,0.9074296808002426,0.8786771523633236,0.8386933497381044,0.7949431869579687,0.7884305878178064,0.783198209353602,0.7883256060922375,0.774241393043656,0.7200885578439405,0.6900436041228049,0.6461219051003004,0.6477714612367885,0.9146262826098724,0.8976751083480684,0.7988377286877022,0.7356936199877315,0.6832056508635056,0.678637700359778,0.6589934252756349,0.6642959240966737,0.6434578743829051,0.6279131859327268,0.47600699511291555,0.35086198251852735,0.692868853671363,0.9592063569893375,0.8931099083096684,0.8080683496637863,0.7633679292064101,0.7060771075696376,0.6403654335353652,0.5475427833182284,0.5113543245085292,0.45137146093885905,0.4363107574982367,0.4361020457974762,0.36548137061811853
eat_all,2,0.6110439884391594,0.8724902971165129,1.0,0.9272742947267497,0.8689533448993164,0.8178864879103299,0.7754327573485853,0.7664993596236209,0.7694290711860043,0.7503485874262388,0.7027249098941158,0.5637080609809734,0.42285800855046296,0.5831628192721128,0.8383117337718249,0.9075994139712028,0.9019227310584625,0.8585657976772815,0.8216447994630423,0.8381054288486864,0.8256003763273039,0.799299184434664,0.7877254116026261,0.6674450995355081,0.6082408922572999,0.6008816488742947,0.5338103384643792,0.7704967411253897,0.8334817032139533,0.7416813207518215,0.6766747161511047,0.6242920780419805,0.631857149602439,0.6094962059031811,0.6044416047879686,0.5909609735002638,0.5673140387795946,0.4268025337206858,0.30618800118479306,0.5823775370234734,0.8465337142420924,0.9517658973634548,0.9044354495933438,0.8793586790158876,0.8215220175181889,0.7421706426891167,0.6404988856079809,0.5923926225816349,0.5148693141525755,0.4860824328167651,0.44578872282708054,0.3630759426391941
eat_all,3,0.53696570684579,0.7975308358972278,0.9272742947267497,1.0,0.966234510503581,0.931725610342353,0.8922197265247827,0.8820040523238503,0.8907830917490708,0.8707822062350793,0.8305986636544169,0.702190666212065,0.5544401763248891,0.4908325838555022,0.7490878443593472,0.8564094423843903,0.8968021141036984,0.9147657403692492,0.9084643836100892,0.9131946671599722,0.9040171378142625,0.8866482908240243,0.8819867688244947,0.7893559702594619,0.7323398707323089,0.7124309508010295,0.45427784913102826,0.6986528600280388,0.7929771397699146,0.7939564872827874,0.7502644961509936,0.7221774036551063,0.7268984570498032,0.7127256214437618,0.7072777164411232,0.6855444054871208,0.669469688016978,0.5660371190865088,0.4179577949181948,0.49916925348795443,0.7718563476535969,0.8833563232520445,0.9442263540322166,0.9394065594913201,0.8898069439075162,0.8104292060968283,0.7061449677306108,0.6653714941888209,0.5833419878066191,0.5633661914590482,0.5628701872294328,0.4454805760631383
eat_all,4,0.5115441294699019,0.7568478634752092,0.8689533448993164,0.966234510503581,1.0,0.9696454962528331,0.9329236507162079,0.9220930134148988,0.9291518114549747,0.9118198827716995,0.8789506270569148,0.7569063560315481,0.5985808869787559,0.46067180962922816,0.7087677019075452,0.8205736266749056,0.8732999009654188,0.916605767196468,0.9268139107250049,0.9330740247742405,0.925194019703518,0.9084945545072994,0.9053384538054898,0.8273010372030312,0.7753934030728675,0.7445953673335249,0.42912422939150724,0.6730855890870476,0.769351486863614,0.8085199972050272,0.7818546926834039,0.7612751954608621,0.7654231079250607,0.7564940170501698,0.7506857410866012,0.7280918211424423,0.7147785906048264,0.6174936972237947,0.44998660543546876,0.4717156908004354,0.7396513077188606,0.8383679519592803,0.9267873623952756,0.9495648498749198,0.910637230771034,0.8341353167023893,0.7325844846157676,0.6929253846895099,0.6136536225242327,0.5946875054674543,0.6067337667712432,0.4777125535685901
eat_all,5,0.44382482527972555,0.7112655739624918,0.8178864879103299,0.931725610342353,0.9696454962528331,1.0,0.9669503554094483,0.9501813784480754,0.9470649288553022,0.9354891059924788,0.9038870141588725,0.779042793705177,0.6152006925995321,0.39073333411435074,0.6598604493187433,0.7767379682747696,0.8423224076316862,0.9015213431355813,0.9271097295711839,0.9307656100848233,0.9273827895116233,0.9109373051370643,0.9096566445120616,0.83769346886696,0.7877580178834973,0.7569446569951329,0.36427603054065755,0.6342825378036461,0.7340663546450414,0.7946343472770814,0.7747885527284467,0.7670996426386115,0.7733315135804946,0.7728994236268358,0.7662345447086305,0.7510810575479866,0.7392040978951087,0.6428878782097442,0.4801528428659175,0.4033220345336108,0.6985828217546706,0.7926370051553042,0.8978823684762579,0.9296007726000343,0.9324998684795124,0.8650505530628697,0.7686246763083501,0.7297622516418026,0.6532708352753979,0.6354797077866401,0.6499131127637913,0.5081840638226603
eat_all,6,0.40698778449707684,0.6728970684792777,0.7754327573485853,0.8922197265247827,0.9329236507162079,0.9669503554094483,1.0,0.9758851533920548,0.9576194425036946,0.9455101507013286,0.913811055669297,0.7812639736524842,0.6187966137662952,0.35386874184150463,0.6182912820620515,0.7381806093777462,0.8052035877945024,0.8676996751061994,0.9015584756134905,0.9179320389379556,0.9223016966514138,0.9035830846023433,0.9024791698075442,0.8312887758088896,0.7818912724810981,0.758976434216584,0.3301216289338392,0.6035717447978909,0.698507323679822,0.7691485976751746,0.7544074705714117,0.7514469017469945,0.761260050839643,0.7650743722113879,0.7565938651025874,0.7425894925163846,0.7307823446305054,0.6317746120568276,0.4726798206852819,0.3672349321235493,0.6630796395738374,0.7524570541950939,0.856789108073443,0.8905620261649511,0.8973650094049348,0.8805886742771758,0.7958895668313409,0.7550226599070643,0.6751168569692442,0.6516086807941744,0.6571692010713939,0.5188083101006555
eat_all,7,0.4104974452685027,0.6803998613602418,0.7664993596236209,0.8820040523238503,0.9220930134148988,0.9501813784480754,0.9758851533920548,1.0,0.976358640438482,0.9605007945531224,0.932998403060402,0.8134581987122642,0.6586039871605778,0.3542824870974551,0.6225662540932828,0.7402211438589186,0.8094664680012689,0.8707366572412699,0.9051557757409336,0.9184169779094168,0.9276947529807184,0.9166498534956423,0.9149847375574934,0.8554578740924353,0.8094775656918217,0.7806948758166355,0.3311826632745718,0.6156116592735489,0.7102535867217756,0.7850747237562101,0.7738480477009367,0.7719621170028999,0.7824044050869217,0.7927204123006386,0.7844284850410885,0.7682646456829678,0.754879977371983,0.6579407934078064,0.49752299141327055,0.36917888342269867,0.6737222316141119,0.7476532100291586,0.8466312864972003,0.8749799411034102,0.8774843064747473,0.8590003080271453,0.7998461518834897,0.7609654292205612,0.6874452163994769,0.665478601303316,0.6718934443332523,0.5426700966215764
