model,layer_idx,class,n_species,between_var,mean_within_var,separability_ratio
eat_all,0,Aves,5,0.0011278953784019867,0.3437075358603331,0.0032708221842236585
eat_all,0,Mammalia,7,0.011022569121919082,0.33355721976925495,0.03198843773568001
eat_all,1,Aves,5,0.13933975861176623,25.48349810656815,0.005438107962315978
eat_all,1,Mammalia,7,0.4758289787449122,23.50616181578212,0.019841095879892585
eat_all,2,Aves,5,0.24991799668740997,26.301076505337516,0.009412754639693433
eat_all,2,Mammalia,7,0.8685690870692028,24.571339112522192,0.03414198983167531
eat_all,3,Aves,5,0.2724353360941628,27.163644033726637,0.009929820234950803
eat_all,3,Mammalia,7,1.106963686355967,24.799110377156808,0.04272988966379364
eat_all,4,Aves,5,0.5526607745097141,50.30366521682195,0.010867099888495952
eat_all,4,Mammalia,7,2.421301130814549,45.71148504152507,0.050304611957119445
eat_all,5,Aves,5,0.7670616760728522,59.079701403668594,0.012817095471826915
eat_all,5,Mammalia,7,3.51046755178599,53.978082720955044,0.061063768961495714
eat_all,6,Aves,5,0.8263295120473192,49.5699084146175,0.016396650743052896
eat_all,6,Mammalia,7,4.2839318803438555,44.74872908444747,0.08736894543455433
eat_all,7,Aves,5,1.2053511633947391,65.88731623605482,0.017965467913482126
eat_all,7,Mammalia,7,5.640000416609145,62.43253803126339,0.08285280004546991
eat_all,8,Aves,5,0.8904771462635379,59.0641627554146,0.014852514296205679
eat_all,8,Mammalia,7,3.9687836287097444,57.2115976134038,0.06487020100453102
eat_all,9,Aves,5,0.7679087112576026,40.42168065037392,0.018643271835405005
eat_all,9,Mammalia,7,3.034348073029008,38.86221889762731,0.07242474246527686
eat_all,10,Aves,5,0.3855038287219402,25.58901699490892,0.014841614647659644
eat_all,10,Mammalia,7,1.6108804857159147,24.193650090597647,0.06242626584319928
eat_all,11,Aves,5,0.29473257526395424,33.28409367770424,0.008777334056990792
eat_all,11,Mammalia,7,1.7853086772765818,31.046735033792384,0.05437701938349591
eat_all,12,Aves,5,0.1928782533597136,18.08594794773854,0.010552004337572007
eat_all,12,Mammalia,7,0.42124250682486875,15.434568380512264,0.026567074356397883
eat_bio,0,Aves,5,0.001514287510342167,0.25470640170248815,0.005910090691717407
eat_bio,0,Mammalia,7,0.016476128884425394,0.24696815675086925,0.06254122705563071
eat_bio,1,Aves,5,0.0611763473945137,5.598724018566672,0.010808732210628677
eat_bio,1,Mammalia,7,0.2070802645898569,4.756329608920806,0.04172137096616347
eat_bio,2,Aves,5,0.16062552695715415,23.184450554027293,0.006880488476453946
eat_bio,2,Mammalia,7,0.5684142543140672,21.109827358242114,0.026220496314832007
eat_bio,3,Aves,5,0.26028096131546163,22.131942916591306,0.011623720928061423
eat_bio,3,Mammalia,7,0.68782819971548,20.21679044687884,0.03290316897637058
eat_bio,4,Aves,5,0.3394392567789972,27.16288323964134,0.012342203347487405
eat_bio,4,Mammalia,7,1.2177818024416047,24.253992301269353,0.047809068872991745
eat_bio,5,Aves,5,0.4717654849652897,35.765706788989476,0.01301871944595775
eat_bio,5,Mammalia,7,1.6297402024314616,32.632592805352395,0.047566527418352114
eat_bio,6,Aves,5,0.5128448993768812,31.988211037296782,0.015779330381638316
eat_bio,6,Mammalia,7,1.794171026042408,30.216100159260122,0.05604985398768503
eat_bio,7,Aves,5,0.7791597666803769,37.53516744160558,0.020335989783787034
eat_bio,7,Mammalia,7,2.525220353606176,34.9359891606019,0.06740893810832309
eat_bio,8,Aves,5,0.524517756300497,31.085132652193472,0.016593595611533608
eat_bio,8,Mammalia,7,1.8752701008635992,28.729688389229803,0.06127340775419154
eat_bio,9,Aves,5,0.4273918324036107,22.52007099189021,0.018624796809830462
eat_bio,9,Mammalia,7,1.3207881382373174,20.781850668609632,0.05975703398040256
eat_bio,10,Aves,5,0.26960454622681984,17.4465172389161,0.015218034144070707
eat_bio,10,Mammalia,7,0.9037733834333199,15.495240874443537,0.055111445677243374
eat_bio,11,Aves,5,0.1955496870711931,16.852003695687046,0.01147083588363891
eat_bio,11,Mammalia,7,0.745535866669308,15.045720232047946,0.04721194197653909
eat_bio,12,Aves,5,0.12695876391700125,12.801723476028709,0.00981993072153457
eat_bio,12,Mammalia,7,0.46895801348621,11.939798286914353,0.037792507333798776
sl_eat_all_ssl_all,0,Aves,5,0.005656526806134991,1.054488240648405,0.005335617341881138
sl_eat_all_ssl_all,0,Mammalia,7,0.05528889389466456,1.0469747631929918,0.05015940926578855
sl_eat_all_ssl_all,1,Aves,5,0.20856689477476084,29.636851640451262,0.006988238229214075
sl_eat_all_ssl_all,1,Mammalia,7,0.7526589179512,26.12805395190256,0.02799996122109148
sl_eat_all_ssl_all,2,Aves,5,0.19338895213447566,34.17798931855616,0.00562645322545542
sl_eat_all_ssl_all,2,Mammalia,7,0.9658804642647019,31.411478264907746,0.029831972161287825
sl_eat_all_ssl_all,3,Aves,5,0.23448079147250098,33.12421043560629,0.007029076466949702
sl_eat_all_ssl_all,3,Mammalia,7,1.0699102925243107,29.40902559624385,0.03510326923580639
sl_eat_all_ssl_all,4,Aves,5,0.5504530629575749,65.29926496062662,0.008359231891629805
sl_eat_all_ssl_all,4,Mammalia,7,2.5977901432819643,55.90611481177514,0.044403705107848704
sl_eat_all_ssl_all,5,Aves,5,0.6741899640409035,68.62905899847252,0.009728114830598739
sl_eat_all_ssl_all,5,Mammalia,7,2.6524373674454593,55.92894595922355,0.04527782064576042
sl_eat_all_ssl_all,6,Aves,5,0.800929654135853,59.23808724089925,0.01334015271329477
sl_eat_all_ssl_all,6,Mammalia,7,2.7694450643287043,49.88059123911655,0.05260100958653053
sl_eat_all_ssl_all,7,Aves,5,1.507127209130387,65.88083359769976,0.022364932713287135
sl_eat_all_ssl_all,7,Mammalia,7,4.010626395326923,56.83997882756763,0.06590939203704022
sl_eat_all_ssl_all,8,Aves,5,1.2931586444493053,63.397312273648595,0.019989940188973477
sl_eat_all_ssl_all,8,Mammalia,7,2.9429802247227372,56.929016962614234,0.049154535725846514
sl_eat_all_ssl_all,9,Aves,5,1.1079535378669056,38.36514102820783,0.02806857557145113
sl_eat_all_ssl_all,9,Mammalia,7,2.384181034051572,35.750954766484355,0.0625192747843333
sl_eat_all_ssl_all,10,Aves,5,0.5859257237492104,22.290149351978677,0.025613035532082724
sl_eat_all_ssl_all,10,Mammalia,7,1.3425177533089345,21.998175563211266,0.05751833225788199
sl_eat_all_ssl_all,11,Aves,5,0.3100788110763018,11.042928464089025,0.027312482372366515
sl_eat_all_ssl_all,11,Mammalia,7,0.4166767967734195,8.581146938855378,0.04630861961915292
sl_eat_all_ssl_all,12,Aves,5,2.391028912694847,121.18258012452297,0.019349025502481833
sl_eat_all_ssl_all,12,Mammalia,7,3.3214300624170394,106.28485137984235,0.030303282062960683
sl_eat_bio_ssl_all,0,Aves,5,0.0018622177305046227,0.39325816952589066,0.004713038837189188
sl_eat_bio_ssl_all,0,Mammalia,7,0.020697720369691117,0.3818972095968448,0.05141078247411494
sl_eat_bio_ssl_all,1,Aves,5,0.1785533390509975,26.609610663522737,0.006665381734778187
sl_eat_bio_ssl_all,1,Mammalia,7,0.6025085466748489,23.06525858656945,0.025456923894969008
sl_eat_bio_ssl_all,2,Aves,5,0.22230877171846214,30.80832525584708,0.007164171106558051
sl_eat_bio_ssl_all,2,Mammalia,7,0.9985197819401374,28.70513237415286,0.0336160609709845
sl_eat_bio_ssl_all,3,Aves,5,0.33964096491243784,32.22593557798876,0.010429447317323004
sl_eat_bio_ssl_all,3,Mammalia,7,1.2104683160300465,29.3677133744728,0.03958601359236481
sl_eat_bio_ssl_all,4,Aves,5,0.702391292441896,59.958559355709745,0.011578969418332023
sl_eat_bio_ssl_all,4,Mammalia,7,3.077334329933216,53.956972695379186,0.05395584676022212
sl_eat_bio_ssl_all,5,Aves,5,1.0611767688999336,67.13074237550983,0.01556162052944549
sl_eat_bio_ssl_all,5,Mammalia,7,4.109545908023561,60.263450249384945,0.06383959351487486
sl_eat_bio_ssl_all,6,Aves,5,1.2772436496540502,57.776085946895236,0.021628647501845254
sl_eat_bio_ssl_all,6,Mammalia,7,5.986661884089032,49.98823600909965,0.10695261821670103
sl_eat_bio_ssl_all,7,Aves,5,2.896702275837612,76.61709472503307,0.03643018425853683
sl_eat_bio_ssl_all,7,Mammalia,7,10.85424708213102,68.34968636657916,0.13704176812329485
sl_eat_bio_ssl_all,8,Aves,5,3.207061823066519,67.31292381462967,0.04547734651483247
sl_eat_bio_ssl_all,8,Mammalia,7,10.41152696293709,62.574829941625445,0.1426503171894341
sl_eat_bio_ssl_all,9,Aves,5,3.8674075385634494,46.25253206200001,0.07716305265699026
sl_eat_bio_ssl_all,9,Mammalia,7,10.0880231274689,41.5515072202546,0.19535466452811426
