model,layer_idx,class,species,n_clips,within_var,centroid_norm
eat_all,0,Aves,Parus major,6,0.3442961908610079,0.13680647997932188
eat_all,0,Aves,Fringilla coelebs,14,0.3430394852093787,0.13734657691627294
eat_all,0,Aves,Erithacus rubecula,6,0.33240934158760266,0.15167826789826253
eat_all,0,Aves,Turdus merula,10,0.3409234345369961,0.15008461963890346
eat_all,0,Aves,Anthus trivialis,5,0.3578692271066801,0.15136095395739857
eat_all,0,Mammalia,Globicephala macrorhynchus,7,0.33144462156042975,0.21164401992654266
eat_all,0,Mammalia,Delphinus delphis,8,0.33442455501160656,0.2127908019115269
eat_all,0,Mammalia,Balaenoptera physalus,8,0.34812710498226906,0.2582996827130781
eat_all,0,Mammalia,Megaptera novaeangliae,8,0.3376469410039728,0.186712652569127
eat_all,0,Mammalia,Orcinus orca,18,0.3390232287719785,0.21810247143070172
eat_all,0,Mammalia,Lagenorhynchus acutus,6,0.3239856194320054,0.22648952224358404
eat_all,0,Mammalia,Stenella coeruleoalba,5,0.32024846762252246,0.22760347106254777
eat_all,1,Aves,Parus major,6,25.555498020115525,1.5613573933171117
eat_all,1,Aves,Fringilla coelebs,14,25.42546009530278,1.5390675305781367
eat_all,1,Aves,Erithacus rubecula,6,24.590312192641754,1.6651572040166434
eat_all,1,Aves,Turdus merula,10,25.338334600261586,1.58346345876629
eat_all,1,Aves,Anthus trivialis,5,26.50788562451909,1.5536008140218436
eat_all,1,Mammalia,Globicephala macrorhynchus,7,23.77130169564043,1.8297535662046487
eat_all,1,Mammalia,Delphinus delphis,8,24.373270272837207,1.8105548308821742
eat_all,1,Mammalia,Balaenoptera physalus,8,23.96070106007255,2.1543139787887333
eat_all,1,Mammalia,Megaptera novaeangliae,8,24.312817879203394,1.718246421213081
eat_all,1,Mammalia,Orcinus orca,18,23.289443634541882,2.038491877897398
eat_all,1,Mammalia,Lagenorhynchus acutus,6,22.22412305256216,2.0931668298851416
