model,layer_idx,n_eigvals,total_variance,top1_share,top10_share,top50_share,mean_l2_norm,lambda_max,lambda_min,lambda_00_share,lambda_01_share,lambda_02_share,lambda_03_share,lambda_04_share,lambda_05_share,lambda_06_share,lambda_07_share,lambda_08_share,lambda_09_share,lambda_10_share,lambda_11_share,lambda_12_share,lambda_13_share,lambda_14_share,lambda_15_share,lambda_16_share,lambda_17_share,lambda_18_share,lambda_19_share
eat_all,10,768,26.957712559935388,0.05419458458349997,0.29345277562591193,0.6095655805956436,5.725622542422784,1.4609620335070979,1.7434063240689397e-09,0.05419458458349997,0.042766455575782326,0.033622302319415494,0.02898463983053326,0.026792761390753,0.02428610719494523,0.02285107649230985,0.020663068981747492,0.019884656574149104,0.019407122682776137,0.017772501266747762,0.015483919983397314,0.015237037838411302,0.013440661399823908,0.013148744019749768,0.012838088028065188,0.011846829951249142,0.01146643233596112,0.01066760212945405,0.010554476614901127
eat_all,11,768,34.53197602393206,0.057658813791171444,0.2734947964071271,0.5472182251907036,6.460869762177057,1.9910727754050954,1.6910511483794058e-09,0.057658813791171444,0.04213542475347645,0.03631081318580994,0.023996449583952858,0.022471732042608012,0.020931617486128186,0.019214165038895167,0.01768160841880501,0.017426414957792884,0.015667757148487158,0.014001216980875478,0.013059967376976607,0.012540489196585524,0.011606232741529025,0.011348138276814664,0.010780312576134255,0.010288337554082693,0.009603651069896248,0.009125310006143358,0.00864829536773045
eat_all,12,768,18.112827978147454,0.2699094219246193,0.5602292030574659,0.7465495716693676,6.412785305317084,4.888822929001851,5.829393304060491e-10,0.2699094219246193,0.11509457354318463,0.04470607222817093,0.03394065033335078,0.02568865773053039,0.016722768037382194,0.015710647571022238,0.013666753232190777,0.013059086920616757,0.011730571536397939,0.01071631398959579,0.010298608672485885,0.009027634345519148,0.008870709445090918,0.008520011796193027,0.008069794126479235,0.007842544880223162,0.007417695356623355,0.0071594426570445605,0.0066463119632311435
eat_bio,10,768,18.194253240751433,0.05240655859734641,0.32009591936455556,0.6413096126744012,4.604854090517313,0.9534981985963997,1.1496726807698524e-09,0.05240655859734641,0.0478396180132892,0.04604499429448292,0.03347031554213382,0.03156160986948259,0.026877747702143746,0.024882079098768495,0.02036113972960182,0.019428038827707998,0.01722381768959857,0.016838769971688206,0.015871653244721184,0.0149889121073927,0.014072319718979466,0.0134119247361173,0.012386731322283375,0.0117133167540274,0.011368984934901023,0.011129661181793591,0.010489327861949067
eat_bio,11,768,17.436116484316486,0.060116592646989236,0.3293506231368895,0.6102537142352807,4.63312797780228,1.0481999120331082,1.0024039007704155e-09,0.060116592646989236,0.05650005984139626,0.050616923546174176,0.03201511768719207,0.03014476571185202,0.027066760065944516,0.0215256855256514,0.018223766576143326,0.01695585380567501,0.01618509772987147,0.015384351268128583,0.014695919600696081,0.012921126970908319,0.01218935548047715,0.011675959744846106,0.011050694200447306,0.010344028309505657,0.009907117971860512,0.009229681618032597,0.008995426480905936
eat_bio,12,768,13.281221980082698,0.15959527738890567,0.3157351558777787,0.5436160648299502,4.972631137454636,2.1196203059749292,7.089299213858403e-10,0.15959527738890567,0.03094561753110999,0.026738713004723046,0.0197429326438087,0.019169072895456097,0.01532384054507842,0.013280896982666166,0.011276059973192098,0.010057542425808167,0.009605202487030343,0.009352434343079172,0.00887610668376857,0.008399891604367257,0.008279327373074281,0.007860828469956291,0.00780029417231358,0.007463375085492687,0.00732795591865665,0.0070416509795447405,0.006963479725283727
sl_eat_all_ssl_all,10,768,24.376126868810413,0.06625422475870517,0.32680617267210643,0.6294694930035842,5.061214707067194,1.615021388312877,1.2752725860345384e-09,0.06625422475870517,0.04898199716858474,0.04228605852963476,0.035095019902331104,0.02850682617536284,0.025878700777663955,0.023347161758999643,0.020303786728126313,0.018513075517375854,0.017639321355322077,0.015743625695606615,0.015246485756850763,0.015052460447806799,0.013191771815442508,0.012727987546091862,0.011665420662273955,0.011619326159712194,0.010743191144052661,0.010549278102837673,0.009875940646211109
sl_eat_all_ssl_all,11,768,11.18848854842431,0.262939736872977,0.5447454757973886,0.7538180955031668,3.407395604204983,2.9418982349290044,2.9110872452673797e-10,0.262939736872977,0.07995309123617445,0.05862373180629327,0.0302043742919502,0.02483725340426049,0.02185224072246009,0.01980992622526723,0.017973947803319977,0.015025051633014694,0.013526121801671153,0.012325245536226439,0.011012167948677772,0.009984467538894135,0.009533853419002966,0.009298185193804043,0.00848975303486533,0.007822520883223518,0.007272861138510123,0.006824782017870318,0.006534206462549358
sl_eat_all_ssl_all,12,768,131.6599550362036,0.6139741547859882,0.7522895109337693,0.8960751658390256,11.712704800332792,80.83580961251431,7.010515574076033e-11,0.6139741547859882,0.041652559570893366,0.02232543063735802,0.01638917651651046,0.0131467997623932,0.011063784306393237,0.009148044238080731,0.008691736636938587,0.008347652106549058,0.007550172372664441,0.006881919833364751,0.006779485327536645,0.006318040660150392,0.005880437496111307,0.005666626914471776,0.0054438161637335785,0.005189490923165245,0.004820584279337607,0.004718010475344544,0.004562583150816193
sl_eat_bio_ssl_all,10,768,32.283596003862066,0.056034369566685456,0.2361990618997717,0.4758288230749466,5.991950596900965,1.8089909494219767,1.934784256093537e-09,0.056034369566685456,0.029168902384783625,0.026588173067538943,0.02523720717223471,0.020182595871318692,0.01925579038081768,0.016660674204673116,0.016145076722976593,0.01406831846694478,0.01285795406179809,0.012157732162197333,0.01173142929129503,0.010618149431555,0.010157201232991957,0.00953279143845915,0.009263448663374904,0.0087451329243712,0.00833108412055109,0.007707680207196178,0.007497161785384447
