model,layer_idx,layer_name,source_dataset,n_samples,norm_mean,norm_std,norm_median
eat_all,0,model.pos_drop,Animal Sound Archive,100,0.15601782500743866,0.02655598148703575,0.1545029878616333
eat_all,0,model.pos_drop,NatureLM,100,0.26367196440696716,0.09331220388412476,0.22613251209259033
eat_all,0,model.pos_drop,Watkins,100,0.23887044191360474,0.048385731875896454,0.23476719856262207
eat_all,0,model.pos_drop,WavCaps,100,0.19651398062705994,0.0646466389298439,0.17364031076431274
eat_all,0,model.pos_drop,Xeno-canto,100,0.18066497147083282,0.04397714510560036,0.16902795433998108
eat_all,0,model.pos_drop,iNaturalist,100,0.21833358705043793,0.05833825841546059,0.20061901211738586
eat_all,0,model.pos_drop,All,600,0.20901212096214294,0.06952740997076035,0.19009721279144287
eat_all,1,model.blocks.0,Animal Sound Archive,100,1.612715482711792,0.0906243845820427,1.6026227474212646
eat_all,1,model.blocks.0,NatureLM,100,2.1733238697052,0.4430113732814789,2.0093607902526855
eat_all,1,model.blocks.0,Watkins,100,2.1967666149139404,0.4738483130931854,2.1083569526672363
eat_all,1,model.blocks.0,WavCaps,100,1.8104983568191528,0.289863646030426,1.7291784286499023
eat_all,1,model.blocks.0,Xeno-canto,100,1.664164423942566,0.12406295537948608,1.630903720855713
eat_all,1,model.blocks.0,iNaturalist,100,1.7576954364776611,0.15398813784122467,1.7337524890899658
eat_all,1,model.blocks.0,All,600,1.8691939115524292,0.38201725482940674,1.738081693649292
eat_all,2,model.blocks.1,Animal Sound Archive,100,2.079981565475464,0.1043582335114479,2.0583415031433105
eat_all,2,model.blocks.1,NatureLM,100,2.665566921234131,0.47136953473091125,2.474794864654541
eat_all,2,model.blocks.1,Watkins,100,2.44443416595459,0.3096964657306671,2.391958713531494
eat_all,2,model.blocks.1,WavCaps,100,2.2958436012268066,0.292059063911438,2.2549519538879395
eat_all,2,model.blocks.1,Xeno-canto,100,2.1183550357818604,0.1499948650598526,2.0828733444213867
eat_all,2,model.blocks.1,iNaturalist,100,2.174492120742798,0.14778420329093933,2.129275321960449
eat_all,2,model.blocks.1,All,600,2.296445608139038,0.3440508544445038,2.187051773071289
eat_all,3,model.blocks.2,Animal Sound Archive,100,2.3980872631073,0.12874048948287964,2.3768458366394043
eat_all,3,model.blocks.2,NatureLM,100,2.910310983657837,0.4029374122619629,2.8819026947021484
eat_all,3,model.blocks.2,Watkins,100,2.8189499378204346,0.3004262149333954,2.7868003845214844
eat_all,3,model.blocks.2,WavCaps,100,2.592397689819336,0.2897599935531616,2.5632214546203613
eat_all,3,model.blocks.2,Xeno-canto,100,2.4438223838806152,0.1772904247045517,2.390192747116089
eat_all,3,model.blocks.2,iNaturalist,100,2.509936809539795,0.16357651352882385,2.492457389831543
eat_all,3,model.blocks.2,All,600,2.612250804901123,0.32352215051651,2.5270941257476807
eat_all,4,model.blocks.3,Animal Sound Archive,100,3.048295021057129,0.19194486737251282,3.0142464637756348
eat_all,4,model.blocks.3,NatureLM,100,3.8195998668670654,0.5475289821624756,3.803530216217041
eat_all,4,model.blocks.3,Watkins,100,3.797795057296753,0.43363240361213684,3.752622604370117
eat_all,4,model.blocks.3,WavCaps,100,3.380464792251587,0.4188274145126343,3.3601250648498535
eat_all,4,model.blocks.3,Xeno-canto,100,3.116478204727173,0.27271124720573425,3.087869644165039
eat_all,4,model.blocks.3,iNaturalist,100,3.2526113986968994,0.23468324542045593,3.2075023651123047
eat_all,4,model.blocks.3,All,600,3.402540683746338,0.4813149571418762,3.2749369144439697
eat_all,5,model.blocks.4,Animal Sound Archive,100,3.315664052963257,0.21367520093917847,3.286663055419922
eat_all,5,model.blocks.4,NatureLM,100,4.137391090393066,0.5386762022972107,4.154788017272949
eat_all,5,model.blocks.4,Watkins,100,4.261452674865723,0.5258001685142517,4.208749771118164
eat_all,5,model.blocks.4,WavCaps,100,3.690011501312256,0.44887813925743103,3.6774072647094727
eat_all,5,model.blocks.4,Xeno-canto,100,3.4017889499664307,0.301141619682312,3.319672107696533
eat_all,5,model.blocks.4,iNaturalist,100,3.5827879905700684,0.2581440210342407,3.556915760040283
eat_all,5,model.blocks.4,All,600,3.731516122817993,0.5357508063316345,3.6003153324127197
eat_all,6,model.blocks.5,Animal Sound Archive,100,3.625803232192993,0.2019268423318863,3.606961250305176
eat_all,6,model.blocks.5,NatureLM,100,4.391313552856445,0.4487375020980835,4.4073076248168945
eat_all,6,model.blocks.5,Watkins,100,4.545475006103516,0.4611654579639435,4.517388820648193
eat_all,6,model.blocks.5,WavCaps,100,4.047281742095947,0.39751389622688293,4.0321502685546875
eat_all,6,model.blocks.5,Xeno-canto,100,3.7024152278900146,0.2586609125137329,3.6533384323120117
eat_all,6,model.blocks.5,iNaturalist,100,3.8626630306243896,0.233794167637825,3.816915988922119
eat_all,6,model.blocks.5,All,600,4.029158592224121,0.4881325662136078,3.930807590484619
eat_all,7,model.blocks.6,Animal Sound Archive,100,4.513605117797852,0.21350227296352386,4.502909183502197
eat_all,7,model.blocks.6,NatureLM,100,5.241758823394775,0.4410768151283264,5.239730358123779
eat_all,7,model.blocks.6,Watkins,100,5.409968852996826,0.48779064416885376,5.415916442871094
eat_all,7,model.blocks.6,WavCaps,100,4.946899890899658,0.42870888113975525,4.915407180786133
eat_all,7,model.blocks.6,Xeno-canto,100,4.604769706726074,0.24932900071144104,4.57313346862793
eat_all,7,model.blocks.6,iNaturalist,100,4.757812023162842,0.27037593722343445,4.681557655334473
eat_all,7,model.blocks.6,All,600,4.912468910217285,0.48852577805519104,4.797541618347168
eat_all,8,model.blocks.7,Animal Sound Archive,100,4.3106369972229,0.1415654420852661,4.303820610046387
eat_all,8,model.blocks.7,NatureLM,100,4.970062732696533,0.4279773533344269,4.932864665985107
eat_all,8,model.blocks.7,Watkins,100,5.052964687347412,0.4192740023136139,5.0008697509765625
eat_all,8,model.blocks.7,WavCaps,100,4.6880717277526855,0.37356242537498474,4.622625350952148
eat_all,8,model.blocks.7,Xeno-canto,100,4.3653244972229,0.1809149980545044,4.345952987670898
eat_all,8,model.blocks.7,iNaturalist,100,4.485999584197998,0.19595867395401,4.438831329345703
eat_all,8,model.blocks.7,All,600,4.645510196685791,0.4240533411502838,4.515970230102539
eat_all,9,model.blocks.8,Animal Sound Archive,100,3.754025459289551,0.10770723968744278,3.738093137741089
eat_all,9,model.blocks.8,NatureLM,100,4.251494407653809,0.367158442735672,4.153922080993652
eat_all,9,model.blocks.8,Watkins,100,4.386124134063721,0.36447927355766296,4.354847431182861
eat_all,9,model.blocks.8,WavCaps,100,4.053495407104492,0.30941715836524963,3.9935784339904785
eat_all,9,model.blocks.8,Xeno-canto,100,3.7797811031341553,0.1377687305212021,3.758605480194092
eat_all,9,model.blocks.8,iNaturalist,100,3.866420269012451,0.142812579870224,3.8352982997894287
eat_all,9,model.blocks.8,All,600,4.015223979949951,0.3547351658344269,3.8933496475219727
eat_all,10,model.blocks.9,Animal Sound Archive,100,2.836259126663208,0.09703521430492401,2.820469379425049
eat_all,10,model.blocks.9,NatureLM,100,3.2048046588897705,0.31056877970695496,3.1462411880493164
eat_all,10,model.blocks.9,Watkins,100,3.3772640228271484,0.29052674770355225,3.3682682514190674
eat_all,10,model.blocks.9,WavCaps,100,3.0608022212982178,0.2662709951400757,3.001511812210083
eat_all,10,model.blocks.9,Xeno-canto,100,2.8377938270568848,0.11059397459030151,2.830059766769409
eat_all,10,model.blocks.9,iNaturalist,100,2.9124526977539062,0.12164381891489029,2.881422519683838
eat_all,10,model.blocks.9,All,600,3.038229465484619,0.2967013120651245,2.9400086402893066
eat_all,11,model.blocks.10,Animal Sound Archive,100,3.015441656112671,0.12429153919219971,3.000465154647827
eat_all,11,model.blocks.10,NatureLM,100,3.43544340133667,0.43838852643966675,3.310189723968506
eat_all,11,model.blocks.10,Watkins,100,3.7235140800476074,0.37035703659057617,3.708768844604492
eat_all,11,model.blocks.10,WavCaps,100,3.2185709476470947,0.3585308790206909,3.109766721725464
eat_all,11,model.blocks.10,Xeno-canto,100,3.0203075408935547,0.14509479701519012,3.0096240043640137
eat_all,11,model.blocks.10,iNaturalist,100,3.092733144760132,0.18331104516983032,3.0450828075408936
eat_all,11,model.blocks.10,All,600,3.251002073287964,0.3915977478027344,3.087934970855713
eat_all,12,model.blocks.11,Animal Sound Archive,100,5.45271110534668,0.22556808590888977,5.447638511657715
eat_all,12,model.blocks.11,NatureLM,100,5.301104545593262,0.4693586826324463,5.430482864379883
eat_all,12,model.blocks.11,Watkins,100,4.6626739501953125,0.4319729506969452,4.5610737800598145
eat_all,12,model.blocks.11,WavCaps,100,5.353972911834717,0.39887896180152893,5.401482105255127
eat_all,12,model.blocks.11,Xeno-canto,100,5.512850284576416,0.28095221519470215,5.536832809448242
eat_all,12,model.blocks.11,iNaturalist,100,5.4342546463012695,0.34571611881256104,5.454486846923828
eat_all,12,model.blocks.11,All,600,5.286261558532715,0.4672533869743347,5.405736923217773
eat_bio,0,model.pos_drop,Animal Sound Archive,100,0.21724086999893188,0.026702897623181343,0.21434856951236725
eat_bio,0,model.pos_drop,NatureLM,100,0.3355833888053894,0.11286300420761108,0.2934402823448181
eat_bio,0,model.pos_drop,Watkins,100,0.2843935489654541,0.0534154511988163,0.27169227600097656
eat_bio,0,model.pos_drop,WavCaps,100,0.2625144124031067,0.07365487515926361,0.2353590428829193
eat_bio,0,model.pos_drop,Xeno-canto,100,0.24544382095336914,0.04958859458565712,0.2311084270477295
eat_bio,0,model.pos_drop,iNaturalist,100,0.2852732241153717,0.06955946236848831,0.26281699538230896
eat_bio,0,model.pos_drop,All,600,0.2717415392398834,0.07873256504535675,0.24675950407981873
eat_bio,1,model.blocks.0,Animal Sound Archive,100,0.8791658878326416,0.07592485845088959,0.860636830329895
eat_bio,1,model.blocks.0,NatureLM,100,1.4356884956359863,0.4545552730560303,1.320697546005249
eat_bio,1,model.blocks.0,Watkins,100,1.3441345691680908,0.2814309000968933,1.3178774118423462
eat_bio,1,model.blocks.0,WavCaps,100,1.0842934846878052,0.27192777395248413,0.9910044074058533
eat_bio,1,model.blocks.0,Xeno-canto,100,0.9325879812240601,0.13386103510856628,0.9044268727302551
eat_bio,1,model.blocks.0,iNaturalist,100,1.0087062120437622,0.18491163849830627,0.9622673988342285
eat_bio,1,model.blocks.0,All,600,1.1140960454940796,0.3351905345916748,0.9742254614830017
eat_bio,2,model.blocks.1,Animal Sound Archive,100,1.8549797534942627,0.08890005201101303,1.8368910551071167
eat_bio,2,model.blocks.1,NatureLM,100,2.4782817363739014,0.49773597717285156,2.311861515045166
eat_bio,2,model.blocks.1,Watkins,100,2.421299695968628,0.40619221329689026,2.3168554306030273
eat_bio,2,model.blocks.1,WavCaps,100,2.1135663986206055,0.2720578610897064,2.026541233062744
eat_bio,2,model.blocks.1,Xeno-canto,100,1.9115277528762817,0.11451604217290878,1.8927596807479858
eat_bio,2,model.blocks.1,iNaturalist,100,1.9946203231811523,0.15309157967567444,1.9642417430877686
eat_bio,2,model.blocks.1,All,600,2.1290459632873535,0.38282227516174316,1.9894678592681885
eat_bio,3,model.blocks.2,Animal Sound Archive,100,2.1760404109954834,0.0850985199213028,2.160632848739624
eat_bio,3,model.blocks.2,NatureLM,100,2.6463863849639893,0.34164121747016907,2.5882530212402344
eat_bio,3,model.blocks.2,Watkins,100,2.610766887664795,0.2919268310070038,2.549034595489502
eat_bio,3,model.blocks.2,WavCaps,100,2.3766579627990723,0.2275402545928955,2.324611186981201
eat_bio,3,model.blocks.2,Xeno-canto,100,2.208468198776245,0.11472662538290024,2.183976173400879
eat_bio,3,model.blocks.2,iNaturalist,100,2.289222002029419,0.13967689871788025,2.259030818939209
eat_bio,3,model.blocks.2,All,600,2.3845903873443604,0.28780534863471985,2.288691520690918
eat_bio,4,model.blocks.3,Animal Sound Archive,100,2.06532621383667,0.16057170927524567,2.036583662033081
eat_bio,4,model.blocks.3,NatureLM,100,2.721371650695801,0.45259860157966614,2.735276222229004
eat_bio,4,model.blocks.3,Watkins,100,2.81491756439209,0.4225102365016937,2.7601265907287598
eat_bio,4,model.blocks.3,WavCaps,100,2.347118377685547,0.35512015223503113,2.29023814201355
eat_bio,4,model.blocks.3,Xeno-canto,100,2.112365961074829,0.21765278279781342,2.06490159034729
eat_bio,4,model.blocks.3,iNaturalist,100,2.2332653999328613,0.21229298412799835,2.2035770416259766
eat_bio,4,model.blocks.3,All,600,2.382394313812256,0.43332213163375854,2.248068332672119
eat_bio,5,model.blocks.4,Animal Sound Archive,100,2.613537073135376,0.16542653739452362,2.5815300941467285
eat_bio,5,model.blocks.4,NatureLM,100,3.2609851360321045,0.4050247371196747,3.3111319541931152
eat_bio,5,model.blocks.4,Watkins,100,3.349660634994507,0.43640726804733276,3.307698965072632
eat_bio,5,model.blocks.4,WavCaps,100,2.9198715686798096,0.32527056336402893,2.8648438453674316
eat_bio,5,model.blocks.4,Xeno-canto,100,2.6983838081359863,0.20891109108924866,2.64998197555542
eat_bio,5,model.blocks.4,iNaturalist,100,2.800291061401367,0.19820266962051392,2.7559561729431152
eat_bio,5,model.blocks.4,All,600,2.9404549598693848,0.4135866165161133,2.828640937805176
eat_bio,6,model.blocks.5,Animal Sound Archive,100,2.7705886363983154,0.18255926668643951,2.7297897338867188
eat_bio,6,model.blocks.5,NatureLM,100,3.4615557193756104,0.3885132670402527,3.4390323162078857
eat_bio,6,model.blocks.5,Watkins,100,3.3636972904205322,0.411642462015152,3.301816940307617
eat_bio,6,model.blocks.5,WavCaps,100,3.110541343688965,0.3196031451225281,3.0710415840148926
eat_bio,6,model.blocks.5,Xeno-canto,100,2.877978563308716,0.21956731379032135,2.8364529609680176
eat_bio,6,model.blocks.5,iNaturalist,100,2.9989333152770996,0.213921457529068,2.963764190673828
eat_bio,6,model.blocks.5,All,600,3.0972158908843994,0.391190767288208,3.008584976196289
eat_bio,7,model.blocks.6,Animal Sound Archive,100,3.269895315170288,0.1645234376192093,3.2398085594177246
eat_bio,7,model.blocks.6,NatureLM,100,3.9422357082366943,0.38443079590797424,3.918668031692505
eat_bio,7,model.blocks.6,Watkins,100,3.9082577228546143,0.44806039333343506,3.7840018272399902
eat_bio,7,model.blocks.6,WavCaps,100,3.632746696472168,0.3159509003162384,3.5766096115112305
eat_bio,7,model.blocks.6,Xeno-canto,100,3.3437225818634033,0.19178533554077148,3.303799629211426
eat_bio,7,model.blocks.6,iNaturalist,100,3.4630682468414307,0.1855572760105133,3.418379783630371
eat_bio,7,model.blocks.6,All,600,3.593320608139038,0.39853939414024353,3.4977104663848877
eat_bio,8,model.blocks.7,Animal Sound Archive,100,2.9830844402313232,0.1328093409538269,2.9527127742767334
eat_bio,8,model.blocks.7,NatureLM,100,3.5382778644561768,0.37915274500846863,3.4699668884277344
eat_bio,8,model.blocks.7,Watkins,100,3.609372138977051,0.43955039978027344,3.5040524005889893
eat_bio,8,model.blocks.7,WavCaps,100,3.330430269241333,0.2998732626438141,3.286571979522705
eat_bio,8,model.blocks.7,Xeno-canto,100,3.0201735496520996,0.14469115436077118,3.0072309970855713
eat_bio,8,model.blocks.7,iNaturalist,100,3.120131254196167,0.14655548334121704,3.0859174728393555
eat_bio,8,model.blocks.7,All,600,3.266911506652832,0.3752495348453522,3.152372360229492
eat_bio,9,model.blocks.8,Animal Sound Archive,100,2.5414879322052,0.1186637356877327,2.51047682762146
eat_bio,9,model.blocks.8,NatureLM,100,3.0154104232788086,0.3633468449115753,2.9733428955078125
eat_bio,9,model.blocks.8,Watkins,100,3.1085007190704346,0.3663107752799988,3.0356054306030273
eat_bio,9,model.blocks.8,WavCaps,100,2.8494372367858887,0.2719932496547699,2.7892003059387207
eat_bio,9,model.blocks.8,Xeno-canto,100,2.571291208267212,0.12407484650611877,2.5564608573913574
eat_bio,9,model.blocks.8,iNaturalist,100,2.6447741985321045,0.12778328359127045,2.617408275604248
eat_bio,9,model.blocks.8,All,600,2.7884838581085205,0.3347742557525635,2.6841156482696533
eat_bio,10,model.blocks.9,Animal Sound Archive,100,2.054741621017456,0.1230505034327507,2.0339670181274414
eat_bio,10,model.blocks.9,NatureLM,100,2.504520893096924,0.38651520013809204,2.4737601280212402
eat_bio,10,model.blocks.9,Watkins,100,2.737240791320801,0.35663461685180664,2.702491044998169
eat_bio,10,model.blocks.9,WavCaps,100,2.3257291316986084,0.29049569368362427,2.221364974975586
eat_bio,10,model.blocks.9,Xeno-canto,100,2.070997476577759,0.13430140912532806,2.051332950592041
eat_bio,10,model.blocks.9,iNaturalist,100,2.1375627517700195,0.15213093161582947,2.103196620941162
