model,layer_idx,source_a,source_b,is_bio_a,is_bio_b,same_bio_class,mean_cos_principal_angles,k
eat_all,0,Animal Sound Archive,NatureLM,True,False,False,0.8810674149077942,10
eat_all,0,Animal Sound Archive,Watkins,True,True,True,0.8032941342137304,10
eat_all,0,Animal Sound Archive,WavCaps,True,False,False,0.9104827506548647,10
eat_all,0,Animal Sound Archive,Xeno-canto,True,True,True,0.9664914594544414,10
eat_all,0,Animal Sound Archive,iNaturalist,True,True,True,0.8883327515329296,10
eat_all,0,NatureLM,Watkins,False,True,False,0.8066482046335294,10
eat_all,0,NatureLM,WavCaps,False,False,True,0.9563008333470722,10
eat_all,0,NatureLM,Xeno-canto,False,True,False,0.8695463840714753,10
eat_all,0,NatureLM,iNaturalist,False,True,False,0.8941282697406375,10
eat_all,0,Watkins,WavCaps,True,False,False,0.8416710735608701,10
eat_all,0,Watkins,Xeno-canto,True,True,True,0.7940668921471065,10
eat_all,0,Watkins,iNaturalist,True,True,True,0.836624744266701,10
eat_all,0,WavCaps,Xeno-canto,False,True,False,0.8840129434023458,10
eat_all,0,WavCaps,iNaturalist,False,True,False,0.9270842570615307,10
eat_all,0,Xeno-canto,iNaturalist,True,True,True,0.8859079253150591,10
eat_all,1,Animal Sound Archive,NatureLM,True,False,False,0.9146745232312847,10
eat_all,1,Animal Sound Archive,Watkins,True,True,True,0.6840256018522186,10
eat_all,1,Animal Sound Archive,WavCaps,True,False,False,0.962418266093394,10
eat_all,1,Animal Sound Archive,Xeno-canto,True,True,True,0.927026957256294,10
eat_all,1,Animal Sound Archive,iNaturalist,True,True,True,0.8983226009040763,10
eat_all,1,NatureLM,Watkins,False,True,False,0.6850293720544723,10
eat_all,1,NatureLM,WavCaps,False,False,True,0.9148432821434985,10
eat_all,1,NatureLM,Xeno-canto,False,True,False,0.8500940646795725,10
eat_all,1,NatureLM,iNaturalist,False,True,False,0.8514008891125405,10
eat_all,1,Watkins,WavCaps,True,False,False,0.7295080823758593,10
eat_all,1,Watkins,Xeno-canto,True,True,True,0.7008568611036862,10
eat_all,1,Watkins,iNaturalist,True,True,True,0.7185835768470414,10
eat_all,1,WavCaps,Xeno-canto,False,True,False,0.9327026083264013,10
eat_all,1,WavCaps,iNaturalist,False,True,False,0.898185312680245,10
eat_all,1,Xeno-canto,iNaturalist,True,True,True,0.9338819744263264,10
eat_all,2,Animal Sound Archive,NatureLM,True,False,False,0.747735520178338,10
eat_all,2,Animal Sound Archive,Watkins,True,True,True,0.6813285219648518,10
eat_all,2,Animal Sound Archive,WavCaps,True,False,False,0.8196992139573505,10
eat_all,2,Animal Sound Archive,Xeno-canto,True,True,True,0.8308956581482615,10
eat_all,2,Animal Sound Archive,iNaturalist,True,True,True,0.8264294809023773,10
eat_all,2,NatureLM,Watkins,False,True,False,0.7454224928042361,10
eat_all,2,NatureLM,WavCaps,False,False,True,0.7808755150300218,10
eat_all,2,NatureLM,Xeno-canto,False,True,False,0.7068833145070417,10
eat_all,2,NatureLM,iNaturalist,False,True,False,0.7427912310296874,10
eat_all,2,Watkins,WavCaps,True,False,False,0.7143737745091912,10
eat_all,2,Watkins,Xeno-canto,True,True,True,0.7005391713102809,10
eat_all,2,Watkins,iNaturalist,True,True,True,0.7243694154379652,10
eat_all,2,WavCaps,Xeno-canto,False,True,False,0.8598234027635041,10
eat_all,2,WavCaps,iNaturalist,False,True,False,0.858779831840981,10
eat_all,2,Xeno-canto,iNaturalist,True,True,True,0.9258295434836084,10
eat_all,3,Animal Sound Archive,NatureLM,True,False,False,0.751449063120442,10
eat_all,3,Animal Sound Archive,Watkins,True,True,True,0.7026763010227851,10
eat_all,3,Animal Sound Archive,WavCaps,True,False,False,0.8349341348729908,10
eat_all,3,Animal Sound Archive,Xeno-canto,True,True,True,0.88236507138294,10
eat_all,3,Animal Sound Archive,iNaturalist,True,True,True,0.8689248062370085,10
eat_all,3,NatureLM,Watkins,False,True,False,0.7548065884425217,10
eat_all,3,NatureLM,WavCaps,False,False,True,0.8258318630608518,10
eat_all,3,NatureLM,Xeno-canto,False,True,False,0.7144589952963825,10
eat_all,3,NatureLM,iNaturalist,False,True,False,0.717035049813085,10
eat_all,3,Watkins,WavCaps,True,False,False,0.7593438289657539,10
eat_all,3,Watkins,Xeno-canto,True,True,True,0.6881604472340123,10
eat_all,3,Watkins,iNaturalist,True,True,True,0.6792812479149224,10
eat_all,3,WavCaps,Xeno-canto,False,True,False,0.8198107852548635,10
eat_all,3,WavCaps,iNaturalist,False,True,False,0.8189107440200418,10
eat_all,3,Xeno-canto,iNaturalist,True,True,True,0.8968992274578879,10
