model,layer_idx,layer_name,mean_cos_principal_angles,min_cos_principal_angles,max_cos_principal_angles,k,n_bio,n_nonbio
eat_all,0,model.pos_drop,0.7943593553248852,0.0455550775673253,0.9995690615855748,10,400,200
eat_all,1,model.blocks.0,0.7013013956510573,0.0846915287536784,0.9891058142127982,10,400,200
eat_all,2,model.blocks.1,0.6869252995961667,0.0719694215400601,0.9695992660282609,10,400,200
eat_all,3,model.blocks.2,0.6240441559420736,0.0152041318135569,0.9524638854813636,10,400,200
eat_all,4,model.blocks.3,0.6309611539063514,0.1546445240172393,0.9436614722450616,10,400,200
eat_all,5,model.blocks.4,0.5524294453107632,0.0307252592453076,0.917470533782368,10,400,200
eat_all,6,model.blocks.5,0.496908053497755,0.0258063768287281,0.9050700912689824,10,400,200
eat_all,7,model.blocks.6,0.4990981797116793,0.0217101338323171,0.9046616616438092,10,400,200
eat_all,8,model.blocks.7,0.5775090210973638,0.0258894083188048,0.9333959662504364,10,400,200
eat_all,9,model.blocks.8,0.5449067764535866,0.0425774455448532,0.9115925648006812,10,400,200
eat_all,10,model.blocks.9,0.5790980520808023,0.0404763917069071,0.9300116453170324,10,400,200
eat_all,11,model.blocks.10,0.5438802417864453,0.0641484667116576,0.9463336298445536,10,400,200
eat_all,12,model.blocks.11,0.5873967946787906,0.0241049536611358,0.9866170305389502,10,400,200
eat_bio,0,model.pos_drop,0.7978969393442412,0.1039353683040113,0.9997603233187256,10,400,200
eat_bio,1,model.blocks.0,0.7567191199513675,0.1178605092160343,0.9958115191268192,10,400,200
eat_bio,2,model.blocks.1,0.754369598346243,0.1514795083578706,0.9849390062916448,10,400,200
eat_bio,3,model.blocks.2,0.7424450594221681,0.0138827399757165,0.9860913380304188,10,400,200
eat_bio,4,model.blocks.3,0.7127545287358659,0.1234142006206101,0.973715139950738,10,400,200
eat_bio,5,model.blocks.4,0.682349488936213,0.0427670168980553,0.9669095980108244,10,400,200
eat_bio,6,model.blocks.5,0.6664391071442682,0.0569488604534378,0.9541867828897492,10,400,200
eat_bio,7,model.blocks.6,0.6004671055658085,0.0100560004409827,0.9275498823832832,10,400,200
eat_bio,8,model.blocks.7,0.6812490682692511,0.0794090833243352,0.9468050574831556,10,400,200
eat_bio,9,model.blocks.8,0.6951295610972511,0.0539433456448762,0.9487527668309086,10,400,200
eat_bio,10,model.blocks.9,0.6941695021002282,0.1607169659281375,0.9622945046383856,10,400,200
eat_bio,11,model.blocks.10,0.6791813510639486,0.0002663358821236,0.9747592651213306,10,400,200
eat_bio,12,model.blocks.11,0.68622063120787,0.2786814484084974,0.9866456353366831,10,400,200
sl_eat_all_ssl_all,0,model.pos_drop,0.8218365454502518,0.0384291357572585,0.9996057807712346,10,400,200
sl_eat_all_ssl_all,1,model.blocks.0,0.7355911520240979,0.0729762679762809,0.995750299571708,10,400,200
sl_eat_all_ssl_all,2,model.blocks.1,0.7614293256255567,0.0857128107791784,0.9935766654995164,10,400,200
sl_eat_all_ssl_all,3,model.blocks.2,0.7111522194884812,0.0504674733467834,0.9896598689480764,10,400,200
sl_eat_all_ssl_all,4,model.blocks.3,0.6913303808369677,0.1422906671015961,0.9889713869827158,10,400,200
sl_eat_all_ssl_all,5,model.blocks.4,0.6566374596469895,0.111675643253095,0.9765657127200228,10,400,200
sl_eat_all_ssl_all,6,model.blocks.5,0.6539855340606064,0.156162593805809,0.9708726025717644,10,400,200
sl_eat_all_ssl_all,7,model.blocks.6,0.5918224517973236,0.1315726347590687,0.9633916846469832,10,400,200
sl_eat_all_ssl_all,8,model.blocks.7,0.6010149468950343,0.0942868876985484,0.9663869374439062,10,400,200
sl_eat_all_ssl_all,9,model.blocks.8,0.5518007123181554,0.0637700771209689,0.932071107928243,10,400,200
sl_eat_all_ssl_all,10,model.blocks.9,0.5237435552804016,0.0042584173054316,0.91539654422911,10,400,200
sl_eat_all_ssl_all,11,model.blocks.10,0.536994757806752,0.0780632257804222,0.9638267011256544,10,400,200
sl_eat_all_ssl_all,12,model.blocks.11,0.565370079720898,0.1099505594078907,0.986534417660655,10,400,200
sl_eat_bio_ssl_all,0,model.pos_drop,0.813055604092149,0.0607360277827364,0.9996698787227826,10,400,200
sl_eat_bio_ssl_all,1,model.blocks.0,0.7248230992302988,0.0401593191943477,0.993886539441306,10,400,200
sl_eat_bio_ssl_all,2,model.blocks.1,0.731036910620439,0.1959092100825336,0.9834325955080528,10,400,200
sl_eat_bio_ssl_all,3,model.blocks.2,0.6464278213868986,0.0359469627144276,0.9626636975757422,10,400,200
sl_eat_bio_ssl_all,4,model.blocks.3,0.580476690733523,0.080274136916766,0.9357527366618984,10,400,200
sl_eat_bio_ssl_all,5,model.blocks.4,0.5254585699165722,0.0264247225510144,0.8885927734497429,10,400,200
sl_eat_bio_ssl_all,6,model.blocks.5,0.4320222785844599,0.0264825577627012,0.8191566511557948,10,400,200
sl_eat_bio_ssl_all,7,model.blocks.6,0.3796544491083177,0.0609357639750483,0.7055968850194057,10,400,200
sl_eat_bio_ssl_all,8,model.blocks.7,0.3906097965501308,0.0089873485579354,0.7792622176872489,10,400,200
sl_eat_bio_ssl_all,9,model.blocks.8,0.3321350847057592,0.0004870553935963,0.7014635087892321,10,400,200
sl_eat_bio_ssl_all,10,model.blocks.9,0.3708948348293268,0.0383420727002252,0.7794266280130763,10,400,200
sl_eat_bio_ssl_all,11,model.blocks.10,0.3444158659164253,0.0254546193356692,0.8883094778909528,10,400,200
sl_eat_bio_ssl_all,12,model.blocks.11,0.4807244739670683,0.0585180630649624,0.827917931012338,10,400,200
random_init_eat_seed42,0,layer_00,0.8834452040964699,0.38940896899108957,0.9999812292097043,10,400,200
random_init_eat_seed42,1,layer_01,0.870822539358767,0.10187596737790698,0.9999635377545866,10,400,200
random_init_eat_seed42,2,layer_02,0.8523590694197047,0.15740482355845653,0.9999417275033191,10,400,200
random_init_eat_seed42,3,layer_03,0.84231689525839,0.20889853800846173,0.999926264643487,10,400,200
random_init_eat_seed42,4,layer_04,0.832092269805879,0.2735475609818841,0.9998997286080301,10,400,200
random_init_eat_seed42,5,layer_05,0.8343353384222623,0.29893665521660784,0.9998802760951754,10,400,200
random_init_eat_seed42,6,layer_06,0.8434178504840384,0.3819508711036318,0.9998702495150631,10,400,200
random_init_eat_seed42,7,layer_07,0.8658286658963922,0.468495420289802,0.9998341044112404,10,400,200
random_init_eat_seed42,8,layer_08,0.8930486799922287,0.5932384791546113,0.9998055989949203,10,400,200
random_init_eat_seed42,9,layer_09,0.9068659288193965,0.623533455418337,0.9997916561779147,10,400,200
random_init_eat_seed42,10,layer_10,0.901974828669486,0.5507598322905972,0.9998022941591673,10,400,200
random_init_eat_seed42,11,layer_11,0.889405202886925,0.44546493734392867,0.9998009812580496,10,400,200
random_init_eat_seed42,12,layer_12,0.8772341352498998,0.26169718563172895,0.999807324735616,10,400,200
