model,layer_idx,layer_name,mean_cos_principal_angles,min_cos_principal_angles,max_cos_principal_angles,k,n_bio,n_nonbio
random_init_eat_seed42,0,layer_00,0.8834452040964699,0.38940896899108957,0.9999812292097043,10,400,200
random_init_eat_seed42,1,layer_01,0.870822539358767,0.10187596737790698,0.9999635377545866,10,400,200
random_init_eat_seed42,2,layer_02,0.8523590694197047,0.15740482355845653,0.9999417275033191,10,400,200
random_init_eat_seed42,3,layer_03,0.84231689525839,0.20889853800846173,0.999926264643487,10,400,200
random_init_eat_seed42,4,layer_04,0.832092269805879,0.2735475609818841,0.9998997286080301,10,400,200
random_init_eat_seed42,5,layer_05,0.8343353384222623,0.29893665521660784,0.9998802760951754,10,400,200
random_init_eat_seed42,6,layer_06,0.8434178504840384,0.3819508711036318,0.9998702495150631,10,400,200
random_init_eat_seed42,7,layer_07,0.8658286658963922,0.468495420289802,0.9998341044112404,10,400,200
random_init_eat_seed42,8,layer_08,0.8930486799922287,0.5932384791546113,0.9998055989949203,10,400,200
random_init_eat_seed42,9,layer_09,0.9068659288193965,0.623533455418337,0.9997916561779147,10,400,200
random_init_eat_seed42,10,layer_10,0.901974828669486,0.5507598322905972,0.9998022941591673,10,400,200
random_init_eat_seed42,11,layer_11,0.889405202886925,0.44546493734392867,0.9998009812580496,10,400,200
random_init_eat_seed42,12,layer_12,0.8772341352498998,0.26169718563172895,0.999807324735616,10,400,200
