model,layer_idx,species,n_clips,within_var,centroid_norm,cos_to_global_bio_centroid,class
eat_all,0,Lagenorhynchus acutus,6,0.3239854501209244,0.22648948652676912,0.9192400678123261,Mammalia
eat_all,0,Delphinus delphis,8,0.3344244567865786,0.21279076562828622,0.8597850655927662,Mammalia
eat_all,0,Balaenoptera physalus,8,0.3481271446325694,0.2582996849171118,0.6523196750653366,Mammalia
eat_all,0,Erithacus rubecula,6,0.33240929770319194,0.15167828473644565,0.7992881888768073,Aves
eat_all,0,Parus major,6,0.34429623217015876,0.13680646156011061,0.8512421552975933,Aves
eat_all,0,Stenella coeruleoalba,5,0.3202484881596,0.22760346100748127,0.8978144041706425,Mammalia
eat_all,0,Megaptera novaeangliae,8,0.3376470041217619,0.18671261100720957,0.8993963802891627,Mammalia
eat_all,0,Anthus trivialis,5,0.35786919043772014,0.15136095456518553,0.7555332725290573,Aves
eat_all,0,Globicephala macrorhynchus,7,0.3314447097683593,0.21164401437978678,0.8388744083296799,Mammalia
eat_all,0,Orcinus orca,18,0.3390231574083983,0.21810243854035757,0.891703539699318,Mammalia
eat_all,0,Fringilla coelebs,14,0.3430394879091446,0.13734656901069547,0.8546443356925219,Aves
eat_all,0,Turdus merula,10,0.34092343798364355,0.15008462144233634,0.7916560794001485,Aves
eat_all,1,Lagenorhynchus acutus,6,22.22410187756889,2.0931666279901773,0.9345624746558102,Mammalia
eat_all,1,Delphinus delphis,8,24.37326036149808,1.810555842190549,0.9383771196784099,Mammalia
eat_all,1,Balaenoptera physalus,8,23.960699447045105,2.1543140360907147,0.7915539544963804,Mammalia
eat_all,1,Erithacus rubecula,6,24.59029481393243,1.6651564942494599,0.8827980644819345,Aves
eat_all,1,Parus major,6,25.55549190094422,1.5613567548343292,0.9011457982120644,Aves
eat_all,1,Stenella coeruleoalba,5,22.61146250489869,2.027282756155084,0.9415136506336622,Mammalia
eat_all,1,Megaptera novaeangliae,8,24.312804052550426,1.718246534939928,0.9705470120140611,Mammalia
eat_all,1,Anthus trivialis,5,26.50786404937574,1.553601102420046,0.879390139177422,Aves
eat_all,1,Globicephala macrorhynchus,7,23.77130006184419,1.8297540171447308,0.9438960643558515,Mammalia
eat_all,1,Orcinus orca,18,23.289434185925185,2.038491737111404,0.9020492443911982,Mammalia
eat_all,1,Fringilla coelebs,14,25.425445850704445,1.5390671035681176,0.9132418773705049,Aves
eat_all,1,Turdus merula,10,25.33832945718489,1.5834633243668803,0.9243976054083393,Aves
eat_all,2,Lagenorhynchus acutus,6,22.6818808974893,2.3044187729560814,0.9030693930198315,Mammalia
eat_all,2,Delphinus delphis,8,24.87263884621385,2.122383388139149,0.9130427918710265,Mammalia
eat_all,2,Balaenoptera physalus,8,25.94687476724166,2.3865787940790737,0.6514789112399394,Mammalia
eat_all,2,Erithacus rubecula,6,25.081891518885048,2.094563433070261,0.9121237606216438,Aves
eat_all,2,Parus major,6,26.853835605658315,1.9335332753349332,0.9110212823462502,Aves
eat_all,2,Stenella coeruleoalba,5,22.989958664820158,2.278646887451835,0.9079578856414515,Mammalia
eat_all,2,Megaptera novaeangliae,8,25.59746120769369,1.9632279966971802,0.9555703326849005,Mammalia
eat_all,2,Anthus trivialis,5,26.486629396850315,2.0892869131299117,0.8282226877912143,Aves
eat_all,2,Globicephala macrorhynchus,7,24.229345157050098,2.094632375809242,0.9207830961235836,Mammalia
eat_all,2,Orcinus orca,18,25.68125314384824,1.9999174752899105,0.8974379973468497,Mammalia
eat_all,2,Fringilla coelebs,14,26.479936354544197,1.9620463348292523,0.936956209889814,Aves
eat_all,2,Turdus merula,10,26.603122032049658,1.952092351765348,0.9242471785080515,Aves
eat_all,3,Lagenorhynchus acutus,6,22.64725471979711,2.7794598266298487,0.904581758130745,Mammalia
eat_all,3,Delphinus delphis,8,25.224910076399627,2.4628697961279515,0.9100413695670018,Mammalia
eat_all,3,Balaenoptera physalus,8,24.97736494748314,2.691886554350465,0.6542776110133067,Mammalia
eat_all,3,Erithacus rubecula,6,26.17690627167108,2.457490448644932,0.9071001653417531,Aves
eat_all,3,Parus major,6,27.658834958849795,2.266119730597703,0.8986642256406141,Aves
eat_all,3,Stenella coeruleoalba,5,23.381560198730245,2.6752294507795513,0.9142105411450836,Mammalia
eat_all,3,Megaptera novaeangliae,8,26.64382683767505,2.2359521082410656,0.9531088634565075,Mammalia
