model,layer_a,layer_b,mean_cos_principal_angles,k
eat_all,0,1,0.2766799980857518,10
eat_all,0,2,0.15444747618255933,10
eat_all,0,3,0.12759865244016635,10
eat_all,0,4,0.10466552385080892,10
eat_all,0,5,0.09955910661441716,10
eat_all,0,6,0.10138655485551182,10
eat_all,0,7,0.0953411730781259,10
eat_all,0,8,0.09347619924110895,10
eat_all,0,9,0.09645103477572205,10
eat_all,0,10,0.1030617515519138,10
eat_all,0,11,0.10569839853727765,10
eat_all,0,12,0.0734503667142101,10
eat_all,1,2,0.490335058063428,10
eat_all,1,3,0.35783107451680307,10
eat_all,1,4,0.2741298760238468,10
eat_all,1,5,0.23465024186654201,10
eat_all,1,6,0.21079271317460174,10
eat_all,1,7,0.21710391491686468,10
eat_all,1,8,0.23310385212487011,10
eat_all,1,9,0.2149820595386704,10
eat_all,1,10,0.19568346463567438,10
eat_all,1,11,0.2025986097341046,10
eat_all,1,12,0.07395522366119794,10
eat_all,2,3,0.6700000149118301,10
eat_all,2,4,0.49427687529744874,10
eat_all,2,5,0.42215601168315936,10
eat_all,2,6,0.3722008976000816,10
eat_all,2,7,0.35966027644815773,10
eat_all,2,8,0.38759155220472485,10
eat_all,2,9,0.3557080131598405,10
eat_all,2,10,0.3404429979085245,10
eat_all,2,11,0.31799100727256596,10
eat_all,2,12,0.08757563681240371,10
eat_all,3,4,0.6704395377090311,10
eat_all,3,5,0.5554008645918748,10
eat_all,3,6,0.459338914379547,10
eat_all,3,7,0.4443969779001572,10
eat_all,3,8,0.4614265829140267,10
eat_all,3,9,0.40162091045198245,10
eat_all,3,10,0.385706960727442,10
eat_all,3,11,0.36000712287172726,10
eat_all,3,12,0.08925173175097119,10
eat_all,4,5,0.6845065562182928,10
eat_all,4,6,0.5394255606113664,10
eat_all,4,7,0.5044159263339776,10
eat_all,4,8,0.5158024664552586,10
eat_all,4,9,0.45409683987819466,10
eat_all,4,10,0.43722760358191615,10
eat_all,4,11,0.3892892406309555,10
eat_all,4,12,0.09881411748711191,10
eat_all,5,6,0.695292245461445,10
eat_all,5,7,0.5950514342283422,10
eat_all,5,8,0.5562786819719349,10
eat_all,5,9,0.49069662496997246,10
eat_all,5,10,0.45604598224507303,10
eat_all,5,11,0.42538929441980217,10
eat_all,5,12,0.09707478320795582,10
eat_all,6,7,0.7314106422755646,10
eat_all,6,8,0.6355895421756815,10
eat_all,6,9,0.5292671694065012,10
eat_all,6,10,0.47126715123721724,10
eat_all,6,11,0.4156751425236487,10
eat_all,6,12,0.0841088784270086,10
eat_all,7,8,0.7647466392828651,10
eat_all,7,9,0.5992961792792537,10
eat_all,7,10,0.5286282248370718,10
eat_all,7,11,0.4539576269286405,10
eat_all,7,12,0.09275232270392415,10
eat_all,8,9,0.7308872518852371,10
eat_all,8,10,0.6076130873209944,10
eat_all,8,11,0.543355085347107,10
eat_all,8,12,0.10073153657708087,10
eat_all,9,10,0.7837476470344338,10
eat_all,9,11,0.6362337328384883,10
eat_all,9,12,0.1170257619483861,10
eat_all,10,11,0.758107258489827,10
eat_all,10,12,0.14052480252155872,10
eat_all,11,12,0.19879614464904738,10
eat_bio,0,1,0.3704078206570487,10
eat_bio,0,2,0.1860461820025836,10
eat_bio,0,3,0.1571521277282268,10
eat_bio,0,4,0.12499913398185154,10
eat_bio,0,5,0.1191661487748813,10
eat_bio,0,6,0.11547388009402426,10
eat_bio,0,7,0.10440492057235609,10
eat_bio,0,8,0.11186511120147018,10
eat_bio,0,9,0.10339290702858364,10
eat_bio,0,10,0.09676038761359139,10
eat_bio,0,11,0.1029515315525789,10
eat_bio,0,12,0.08779638047479883,10
eat_bio,1,2,0.5825994134255447,10
eat_bio,1,3,0.4794514473662642,10
eat_bio,1,4,0.376921740058785,10
eat_bio,1,5,0.35132085116195605,10
eat_bio,1,6,0.31239485917750837,10
eat_bio,1,7,0.29354529351631176,10
eat_bio,1,8,0.2912471568495523,10
eat_bio,1,9,0.27358865280567346,10
eat_bio,1,10,0.23746578186586112,10
eat_bio,1,11,0.23991296558014588,10
eat_bio,1,12,0.08275951662449212,10
eat_bio,2,3,0.7553815222240872,10
eat_bio,2,4,0.5908082843526705,10
eat_bio,2,5,0.5138072684248465,10
eat_bio,2,6,0.4604397521255482,10
eat_bio,2,7,0.4079968409001825,10
eat_bio,2,8,0.39579809805238975,10
eat_bio,2,9,0.3859384120214394,10
eat_bio,2,10,0.34104376932560476,10
eat_bio,2,11,0.3262834535134323,10
eat_bio,2,12,0.09834437132978956,10
eat_bio,3,4,0.783378984470493,10
eat_bio,3,5,0.66536927157912,10
eat_bio,3,6,0.5786206831783858,10
eat_bio,3,7,0.5087516825413115,10
eat_bio,3,8,0.48044131291712766,10
eat_bio,3,9,0.4592518688917391,10
eat_bio,3,10,0.40981182478630435,10
eat_bio,3,11,0.3796013923059901,10
eat_bio,3,12,0.10417932955850265,10
eat_bio,4,5,0.8000359556462288,10
eat_bio,4,6,0.676055507405392,10
eat_bio,4,7,0.5748981780269176,10
eat_bio,4,8,0.548201593040123,10
eat_bio,4,9,0.4936705469682062,10
eat_bio,4,10,0.44304585922384304,10
eat_bio,4,11,0.38696486795403945,10
eat_bio,4,12,0.10536254840409176,10
eat_bio,5,6,0.8053889735397043,10
eat_bio,5,7,0.6614320633675914,10
eat_bio,5,8,0.6110720479386478,10
eat_bio,5,9,0.5441114548309787,10
eat_bio,5,10,0.48234317471080657,10
eat_bio,5,11,0.4147140786802076,10
eat_bio,5,12,0.10207796397054121,10
eat_bio,6,7,0.7656091629651717,10
eat_bio,6,8,0.6589822975487472,10
eat_bio,6,9,0.56062402667413,10
eat_bio,6,10,0.4965869514169655,10
eat_bio,6,11,0.42671880466011647,10
eat_bio,6,12,0.11889840737740598,10
eat_bio,7,8,0.7621551656208457,10
eat_bio,7,9,0.6103041799912235,10
