layer_idx,layer_name,model_a,model_b,mean_cos_principal_angles,k
0,model.pos_drop,eat_all,eat_bio,0.31797042967330497,10
0,model.pos_drop,eat_all,sl_eat_all_ssl_all,0.9060347960138715,10
0,model.pos_drop,eat_all,sl_eat_bio_ssl_all,0.9774524112558151,10
0,model.pos_drop,eat_bio,sl_eat_all_ssl_all,0.2802209492681749,10
0,model.pos_drop,eat_bio,sl_eat_bio_ssl_all,0.3146900424352643,10
0,model.pos_drop,sl_eat_all_ssl_all,sl_eat_bio_ssl_all,0.929971382655415,10
1,model.blocks.0,eat_all,eat_bio,0.16057355986646843,10
1,model.blocks.0,eat_all,sl_eat_all_ssl_all,0.7300720163894318,10
1,model.blocks.0,eat_all,sl_eat_bio_ssl_all,0.8531694190610872,10
1,model.blocks.0,eat_bio,sl_eat_all_ssl_all,0.15819293442169,10
1,model.blocks.0,eat_bio,sl_eat_bio_ssl_all,0.1513730187932297,10
1,model.blocks.0,sl_eat_all_ssl_all,sl_eat_bio_ssl_all,0.8066245446044533,10
2,model.blocks.1,eat_all,eat_bio,0.16229704947996376,10
2,model.blocks.1,eat_all,sl_eat_all_ssl_all,0.6350587077587688,10
2,model.blocks.1,eat_all,sl_eat_bio_ssl_all,0.7718223670289512,10
2,model.blocks.1,eat_bio,sl_eat_all_ssl_all,0.17522289864067547,10
2,model.blocks.1,eat_bio,sl_eat_bio_ssl_all,0.16881349929345663,10
2,model.blocks.1,sl_eat_all_ssl_all,sl_eat_bio_ssl_all,0.777341749130535,10
3,model.blocks.2,eat_all,eat_bio,0.1746133010675125,10
3,model.blocks.2,eat_all,sl_eat_all_ssl_all,0.658481380838214,10
3,model.blocks.2,eat_all,sl_eat_bio_ssl_all,0.7841506135085308,10
3,model.blocks.2,eat_bio,sl_eat_all_ssl_all,0.16978518022578906,10
3,model.blocks.2,eat_bio,sl_eat_bio_ssl_all,0.17645001750412082,10
3,model.blocks.2,sl_eat_all_ssl_all,sl_eat_bio_ssl_all,0.7195867544934804,10
4,model.blocks.3,eat_all,eat_bio,0.176338123791683,10
4,model.blocks.3,eat_all,sl_eat_all_ssl_all,0.5954838533603212,10
4,model.blocks.3,eat_all,sl_eat_bio_ssl_all,0.6975229528410563,10
4,model.blocks.3,eat_bio,sl_eat_all_ssl_all,0.18180599764728506,10
4,model.blocks.3,eat_bio,sl_eat_bio_ssl_all,0.1653446034824623,10
4,model.blocks.3,sl_eat_all_ssl_all,sl_eat_bio_ssl_all,0.6557254108384727,10
5,model.blocks.4,eat_all,eat_bio,0.17376588428187828,10
5,model.blocks.4,eat_all,sl_eat_all_ssl_all,0.5942989633422411,10
5,model.blocks.4,eat_all,sl_eat_bio_ssl_all,0.7520745382198294,10
5,model.blocks.4,eat_bio,sl_eat_all_ssl_all,0.1872475467271558,10
5,model.blocks.4,eat_bio,sl_eat_bio_ssl_all,0.15427783419729113,10
5,model.blocks.4,sl_eat_all_ssl_all,sl_eat_bio_ssl_all,0.5774442219796557,10
6,model.blocks.5,eat_all,eat_bio,0.16700482719747534,10
6,model.blocks.5,eat_all,sl_eat_all_ssl_all,0.5493994210095938,10
6,model.blocks.5,eat_all,sl_eat_bio_ssl_all,0.6530744385807719,10
6,model.blocks.5,eat_bio,sl_eat_all_ssl_all,0.17777872632157907,10
6,model.blocks.5,eat_bio,sl_eat_bio_ssl_all,0.13439334313693094,10
6,model.blocks.5,sl_eat_all_ssl_all,sl_eat_bio_ssl_all,0.4846634454748567,10
7,model.blocks.6,eat_all,eat_bio,0.14946883892091395,10
