model,layer_idx,layer_name,mean_cos_principal_angles,min_cos_principal_angles,max_cos_principal_angles,k,n_bio,n_nonbio
eat_all,0,model.pos_drop,0.7943593553248852,0.0455550775673253,0.9995690615855749,10,400,200
eat_all,1,model.blocks.0,0.7013013956510573,0.08469152875367848,0.9891058142127982,10,400,200
eat_all,2,model.blocks.1,0.6869252995961667,0.07196942154006016,0.9695992660282609,10,400,200
eat_all,3,model.blocks.2,0.6240441559420736,0.015204131813556926,0.9524638854813635,10,400,200
eat_all,4,model.blocks.3,0.6309611539063514,0.15464452401723935,0.9436614722450615,10,400,200
eat_all,5,model.blocks.4,0.5524294453107632,0.03072525924530764,0.917470533782368,10,400,200
eat_all,6,model.blocks.5,0.496908053497755,0.025806376828728165,0.9050700912689823,10,400,200
eat_all,7,model.blocks.6,0.49909817971167936,0.021710133832317142,0.9046616616438091,10,400,200
eat_all,8,model.blocks.7,0.5775090210973638,0.025889408318804822,0.9333959662504363,10,400,200
eat_all,9,model.blocks.8,0.5449067764535866,0.04257744554485324,0.9115925648006813,10,400,200
eat_all,10,model.blocks.9,0.5790980520808023,0.04047639170690717,0.9300116453170324,10,400,200
eat_all,11,model.blocks.10,0.5438802417864453,0.0641484667116576,0.9463336298445535,10,400,200
eat_all,12,model.blocks.11,0.5873967946787906,0.02410495366113585,0.9866170305389502,10,400,200
eat_bio,0,model.pos_drop,0.7978969393442412,0.10393536830401139,0.9997603233187256,10,400,200
eat_bio,1,model.blocks.0,0.7567191199513675,0.1178605092160343,0.9958115191268192,10,400,200
eat_bio,2,model.blocks.1,0.754369598346243,0.1514795083578706,0.9849390062916448,10,400,200
eat_bio,3,model.blocks.2,0.7424450594221681,0.013882739975716533,0.9860913380304189,10,400,200
eat_bio,4,model.blocks.3,0.7127545287358659,0.12341420062061019,0.973715139950738,10,400,200
eat_bio,5,model.blocks.4,0.682349488936213,0.04276701689805534,0.9669095980108243,10,400,200
eat_bio,6,model.blocks.5,0.6664391071442682,0.056948860453437895,0.9541867828897491,10,400,200
eat_bio,7,model.blocks.6,0.6004671055658085,0.010056000440982702,0.9275498823832832,10,400,200
eat_bio,8,model.blocks.7,0.6812490682692511,0.0794090833243352,0.9468050574831556,10,400,200
eat_bio,9,model.blocks.8,0.6951295610972511,0.05394334564487627,0.9487527668309086,10,400,200
eat_bio,10,model.blocks.9,0.6941695021002282,0.16071696592813756,0.9622945046383857,10,400,200
eat_bio,11,model.blocks.10,0.6791813510639486,0.0002663358821236758,0.9747592651213306,10,400,200
eat_bio,12,model.blocks.11,0.68622063120787,0.2786814484084974,0.9866456353366833,10,400,200
sl_eat_all_ssl_all,0,model.pos_drop,0.8218365454502518,0.03842913575725856,0.9996057807712346,10,400,200
sl_eat_all_ssl_all,1,model.blocks.0,0.7355911520240979,0.07297626797628097,0.995750299571708,10,400,200
sl_eat_all_ssl_all,2,model.blocks.1,0.7614293256255567,0.08571281077917842,0.9935766654995164,10,400,200
sl_eat_all_ssl_all,3,model.blocks.2,0.7111522194884812,0.0504674733467834,0.9896598689480763,10,400,200
sl_eat_all_ssl_all,4,model.blocks.3,0.6913303808369677,0.14229066710159619,0.9889713869827158,10,400,200
sl_eat_all_ssl_all,5,model.blocks.4,0.6566374596469895,0.11167564325309502,0.9765657127200229,10,400,200
sl_eat_all_ssl_all,6,model.blocks.5,0.6539855340606064,0.15616259380580907,0.9708726025717643,10,400,200
sl_eat_all_ssl_all,7,model.blocks.6,0.5918224517973236,0.13157263475906877,0.9633916846469832,10,400,200
sl_eat_all_ssl_all,8,model.blocks.7,0.6010149468950343,0.09428688769854845,0.9663869374439062,10,400,200
sl_eat_all_ssl_all,9,model.blocks.8,0.5518007123181554,0.06377007712096897,0.932071107928243,10,400,200
