model,layer_idx,layer_name,mean_cos_principal_angles_frame,min_cos_principal_angles_frame,max_cos_principal_angles_frame,k,n_bio_frames,n_nonbio_frames
eat_all,0,layer_00,0.8987691355533146,0.15911252750080304,0.9999521578225823,10,20000,10000
eat_all,1,layer_01,0.947146347314346,0.6532767533285668,0.9995284917854773,10,20000,10000
eat_all,2,layer_02,0.8400483898411991,0.12606620401188476,0.9972322137309524,10,20000,10000
eat_all,3,layer_03,0.8344884374151826,0.18311535634200635,0.9954566766424704,10,20000,10000
eat_all,4,layer_04,0.8002578819620725,0.21316974311057443,0.9923530329614488,10,20000,10000
eat_all,5,layer_05,0.8073074191997733,0.17371974103011842,0.994020664332846,10,20000,10000
eat_all,6,layer_06,0.784596077602103,0.2965315413704954,0.9813528800822308,10,20000,10000
eat_all,7,layer_07,0.7522526113143815,0.1604786244357274,0.9738736934563019,10,20000,10000
eat_all,8,layer_08,0.8044561442604243,0.2026455365407784,0.9738952060786469,10,20000,10000
eat_all,9,layer_09,0.8104629576201161,0.2786166982886524,0.965845784850807,10,20000,10000
eat_all,10,layer_10,0.8106032760193985,0.16858655940358216,0.9665249572613772,10,20000,10000
eat_all,11,layer_11,0.8157485964603722,0.027968179704430003,0.9616475574370758,10,20000,10000
eat_all,12,layer_12,0.8353165741759152,0.010153150934183688,0.9989719195592562,10,20000,10000
eat_bio,0,layer_00,0.8187144684760905,0.02489958218684201,0.999750275933056,10,20000,10000
eat_bio,1,layer_01,0.8467961165839046,0.10373260629898205,0.9954294933211015,10,20000,10000
eat_bio,2,layer_02,0.9224485924967473,0.6225790088155895,0.9990015462969661,10,20000,10000
eat_bio,3,layer_03,0.921494436146784,0.7114077314099806,0.9972378584281876,10,20000,10000
eat_bio,4,layer_04,0.7635050778465093,0.026396915297947063,0.9860176205345965,10,20000,10000
eat_bio,5,layer_05,0.869406301312033,0.37768028286038735,0.9961596458928885,10,20000,10000
eat_bio,6,layer_06,0.743732494714304,0.0793264196244497,0.9684956879231252,10,20000,10000
eat_bio,7,layer_07,0.7549494944404053,0.14663340620485363,0.9712184346256977,10,20000,10000
eat_bio,8,layer_08,0.7304454847055052,0.12231327145858166,0.9701628613870252,10,20000,10000
eat_bio,9,layer_09,0.8003524640941816,0.3214715138869684,0.9611016508219704,10,20000,10000
eat_bio,10,layer_10,0.8093773436242635,0.2380242646381768,0.9612003279513728,10,20000,10000
eat_bio,11,layer_11,0.8017312206668399,0.18513873432333522,0.9717603318275893,10,20000,10000
eat_bio,12,layer_12,0.7074242966667017,0.012306454030427924,0.9967952778536904,10,20000,10000
sl_eat_all_ssl_all,0,layer_00,0.7688002967549489,0.056052112051030695,0.9995547765192996,10,20000,10000
sl_eat_all_ssl_all,1,layer_01,0.9122221924443343,0.37367555719012757,0.9986478060775792,10,20000,10000
sl_eat_all_ssl_all,2,layer_02,0.7977905433774071,0.17758291924969727,0.9982625343432303,10,20000,10000
sl_eat_all_ssl_all,3,layer_03,0.8062865895635852,0.13205393724465375,0.9952128221618664,10,20000,10000
sl_eat_all_ssl_all,4,layer_04,0.8348100599842517,0.48123558554453083,0.9685603814435654,10,20000,10000
sl_eat_all_ssl_all,5,layer_05,0.7993213102940449,0.32240209075580445,0.9751705816316021,10,20000,10000
sl_eat_all_ssl_all,6,layer_06,0.7330768155365862,0.22555572024190126,0.9637448954307023,10,20000,10000
sl_eat_all_ssl_all,7,layer_07,0.7266901732043903,0.18348868477746794,0.9643855915067907,10,20000,10000
sl_eat_all_ssl_all,8,layer_08,0.7435976897996042,0.010441310319968585,0.9798383545531894,10,20000,10000
sl_eat_all_ssl_all,9,layer_09,0.684178907858667,0.0009564054227522156,0.9964972097634117,10,20000,10000
sl_eat_all_ssl_all,10,layer_10,0.7726364711589633,0.1343326541665298,0.9980728217077731,10,20000,10000
sl_eat_all_ssl_all,11,layer_11,0.8097624417702562,0.2110250364226685,0.9975917923519071,10,20000,10000
sl_eat_all_ssl_all,12,layer_12,0.8027884618289478,0.3439746690393748,0.9987907690702652,10,20000,10000
sl_eat_bio_ssl_all,0,layer_00,0.8993564526313647,0.14257622548750015,0.9999149951151257,10,20000,10000
sl_eat_bio_ssl_all,1,layer_01,0.8845547158248752,0.1449459801687741,0.9994480876193212,10,20000,10000
sl_eat_bio_ssl_all,2,layer_02,0.8141742184510565,0.08659690380493494,0.9960483333524273,10,20000,10000
sl_eat_bio_ssl_all,3,layer_03,0.8171028911791961,0.4463458746617791,0.989276496918445,10,20000,10000
sl_eat_bio_ssl_all,4,layer_04,0.7608695036942099,0.048722621625172144,0.9698478389099486,10,20000,10000
sl_eat_bio_ssl_all,5,layer_05,0.7423911319512653,0.23367094066738706,0.9462626529683693,10,20000,10000
sl_eat_bio_ssl_all,6,layer_06,0.648053919955569,0.10384428641930639,0.9279225359798499,10,20000,10000
sl_eat_bio_ssl_all,7,layer_07,0.6014066815011139,0.046254455095357555,0.8973373095292643,10,20000,10000
sl_eat_bio_ssl_all,8,layer_08,0.685046911015465,0.19392937950940384,0.956881482528868,10,20000,10000
sl_eat_bio_ssl_all,9,layer_09,0.5698640681245404,0.026647690927932982,0.9465525318226101,10,20000,10000
sl_eat_bio_ssl_all,10,layer_10,0.6687409098764003,0.027859924171532137,0.9616262935971049,10,20000,10000
sl_eat_bio_ssl_all,11,layer_11,0.715391719487562,0.05395944153778059,0.9768406498809565,10,20000,10000
sl_eat_bio_ssl_all,12,layer_12,0.7393142014128066,0.15454632125325904,0.965550590183054,10,20000,10000
