model,layer_idx,layer_name,mean_cos_principal_angles_frame,min_cos_principal_angles_frame,max_cos_principal_angles_frame,k,n_bio_frames,n_nonbio_frames
sl_eat_all_ssl_all,0,layer_00,0.7688002967549489,0.056052112051030695,0.9995547765192996,10,20000,10000
sl_eat_all_ssl_all,1,layer_01,0.9122221924443343,0.37367555719012757,0.9986478060775792,10,20000,10000
sl_eat_all_ssl_all,2,layer_02,0.7977905433774071,0.17758291924969727,0.9982625343432303,10,20000,10000
sl_eat_all_ssl_all,3,layer_03,0.8062865895635852,0.13205393724465375,0.9952128221618664,10,20000,10000
sl_eat_all_ssl_all,4,layer_04,0.8348100599842517,0.48123558554453083,0.9685603814435654,10,20000,10000
sl_eat_all_ssl_all,5,layer_05,0.7993213102940449,0.32240209075580445,0.9751705816316021,10,20000,10000
sl_eat_all_ssl_all,6,layer_06,0.7330768155365862,0.22555572024190126,0.9637448954307023,10,20000,10000
sl_eat_all_ssl_all,7,layer_07,0.7266901732043903,0.18348868477746794,0.9643855915067907,10,20000,10000
sl_eat_all_ssl_all,8,layer_08,0.7435976897996042,0.010441310319968585,0.9798383545531894,10,20000,10000
sl_eat_all_ssl_all,9,layer_09,0.684178907858667,0.0009564054227522156,0.9964972097634117,10,20000,10000
sl_eat_all_ssl_all,10,layer_10,0.7726364711589633,0.1343326541665298,0.9980728217077731,10,20000,10000
sl_eat_all_ssl_all,11,layer_11,0.8097624417702562,0.2110250364226685,0.9975917923519071,10,20000,10000
sl_eat_all_ssl_all,12,layer_12,0.8027884618289478,0.3439746690393748,0.9987907690702652,10,20000,10000
