model,layer_idx,level,group_a,group_b,k,mean_cos_principal_angles
eat_all,0,class,Aves,Mammalia,10,0.8143322070128487
eat_all,0,order,Passeriformes,other-Aves,10,0.963254195343942
eat_all,1,class,Aves,Mammalia,10,0.7828015581638255
eat_all,1,order,Passeriformes,other-Aves,10,0.9630548276399731
eat_all,2,class,Aves,Mammalia,10,0.7342328682244708
eat_all,2,order,Passeriformes,other-Aves,10,0.8912919895649596
eat_all,3,class,Aves,Mammalia,10,0.7460661172541043
eat_all,3,order,Passeriformes,other-Aves,10,0.9311592987708798
eat_all,4,class,Aves,Mammalia,10,0.6903680757004833
eat_all,4,order,Passeriformes,other-Aves,10,0.8677936077749819
eat_all,5,class,Aves,Mammalia,10,0.6521586777555063
eat_all,5,order,Passeriformes,other-Aves,10,0.9454999781780173
eat_all,6,class,Aves,Mammalia,10,0.5435788940433706
eat_all,6,order,Passeriformes,other-Aves,10,0.9043867446811167
eat_all,7,class,Aves,Mammalia,10,0.525364291509472
eat_all,7,order,Passeriformes,other-Aves,10,0.8714851486446162
eat_all,8,class,Aves,Mammalia,10,0.6099528668193068
eat_all,8,order,Passeriformes,other-Aves,10,0.9287094796402803
eat_all,9,class,Aves,Mammalia,10,0.5821267830911391
eat_all,9,order,Passeriformes,other-Aves,10,0.8626352060299348
eat_all,10,class,Aves,Mammalia,10,0.6255999401384896
eat_all,10,order,Passeriformes,other-Aves,10,0.9069472790552318
eat_all,11,class,Aves,Mammalia,10,0.6417449837052398
eat_all,11,order,Passeriformes,other-Aves,10,0.8949914576137242
eat_all,12,class,Aves,Mammalia,10,0.7711345563357596
eat_all,12,order,Passeriformes,other-Aves,10,0.8682106782739453
eat_bio,0,class,Aves,Mammalia,10,0.8862281712111109
eat_bio,0,order,Passeriformes,other-Aves,10,0.9749517606831196
eat_bio,1,class,Aves,Mammalia,10,0.8767781189076299
eat_bio,1,order,Passeriformes,other-Aves,10,0.96155310504935
eat_bio,2,class,Aves,Mammalia,10,0.7448882833254891
eat_bio,2,order,Passeriformes,other-Aves,10,0.9406228771682402
eat_bio,3,class,Aves,Mammalia,10,0.7053756553400421
eat_bio,3,order,Passeriformes,other-Aves,10,0.9453986498049567
eat_bio,4,class,Aves,Mammalia,10,0.664025686550063
eat_bio,4,order,Passeriformes,other-Aves,10,0.8855046492849897
eat_bio,5,class,Aves,Mammalia,10,0.7231319549472135
eat_bio,5,order,Passeriformes,other-Aves,10,0.9454014148482118
eat_bio,6,class,Aves,Mammalia,10,0.6050093812338261
eat_bio,6,order,Passeriformes,other-Aves,10,0.8530198054997303
eat_bio,7,class,Aves,Mammalia,10,0.6040566591890846
eat_bio,7,order,Passeriformes,other-Aves,10,0.8441370410688984
eat_bio,8,class,Aves,Mammalia,10,0.6427803339808825
eat_bio,8,order,Passeriformes,other-Aves,10,0.9015463915714335
eat_bio,9,class,Aves,Mammalia,10,0.6219364093235029
eat_bio,9,order,Passeriformes,other-Aves,10,0.8962581452061299
