model,layer_idx,top_k,mean_cos_principal_angles,n_bio_frames,n_nonbio_frames
eat_all,0,5,0.8395243682892083,20000,10000
eat_all,0,10,0.8987691355533155,20000,10000
eat_all,0,20,0.8558519439289274,20000,10000
eat_all,0,50,0.9277846230114108,20000,10000
eat_all,1,5,0.9356281301814405,20000,10000
eat_all,1,10,0.9576649802159649,20000,10000
eat_all,1,20,0.9485574207280347,20000,10000
eat_all,1,50,0.8997677621108597,20000,10000
eat_all,2,5,0.9090832056379025,20000,10000
eat_all,2,10,0.8327829825387664,20000,10000
eat_all,2,20,0.9189487996093062,20000,10000
eat_all,2,50,0.9044955379270111,20000,10000
eat_all,3,5,0.864603095976926,20000,10000
eat_all,3,10,0.8308126244622356,20000,10000
eat_all,3,20,0.887844991107859,20000,10000
eat_all,3,50,0.8877789201194752,20000,10000
eat_all,4,5,0.8486847127262391,20000,10000
eat_all,4,10,0.8094076422578956,20000,10000
eat_all,4,20,0.8580841469676586,20000,10000
eat_all,4,50,0.8690602192763842,20000,10000
eat_all,5,5,0.7113757341004108,20000,10000
eat_all,5,10,0.8082411886046715,20000,10000
eat_all,5,20,0.8373455786533356,20000,10000
eat_all,5,50,0.8449927774723496,20000,10000
eat_all,6,5,0.698763097814729,20000,10000
eat_all,6,10,0.7863928766771089,20000,10000
eat_all,6,20,0.825296488358156,20000,10000
eat_all,6,50,0.8037893378944428,20000,10000
eat_all,7,5,0.7564621528274964,20000,10000
eat_all,7,10,0.7589214889564448,20000,10000
eat_all,7,20,0.7980603519123438,20000,10000
eat_all,7,50,0.7928971835429003,20000,10000
eat_all,8,5,0.6592261543939771,20000,10000
eat_all,8,10,0.8099711451189853,20000,10000
eat_all,8,20,0.8677237968823199,20000,10000
eat_all,8,50,0.8216265475494317,20000,10000
eat_all,9,5,0.6908847211535635,20000,10000
eat_all,9,10,0.8129248976266306,20000,10000
eat_all,9,20,0.83078373522095,20000,10000
eat_all,9,50,0.8079467178408984,20000,10000
eat_all,10,5,0.7021011943904496,20000,10000
eat_all,10,10,0.8149661689928538,20000,10000
eat_all,10,20,0.8505218737880224,20000,10000
eat_all,10,50,0.8194056702874917,20000,10000
eat_all,11,5,0.8017481067520797,20000,10000
eat_all,11,10,0.8141565153251185,20000,10000
eat_all,11,20,0.8109376111445897,20000,10000
eat_all,11,50,0.7939904046596175,20000,10000
eat_all,12,5,0.9618221064798458,20000,10000
eat_all,12,10,0.8591441925659531,20000,10000
eat_all,12,20,0.856169677208211,20000,10000
eat_all,12,50,0.8225230771322817,20000,10000
eat_bio,0,5,0.8115513652137913,20000,10000
eat_bio,0,10,0.8187144684760975,20000,10000
eat_bio,0,20,0.9174831734053621,20000,10000
eat_bio,0,50,0.9527407352329773,20000,10000
