source_dataset,layer_idx,layer_name,cosine_similarity_mean,cosine_similarity_std,cosine_similarity_median,cosine_distance_mean,cosine_distance_std,cosine_distance_median,l2_distance_mean,l2_distance_std,l2_distance_median,norm_model_a_mean,norm_model_a_std,norm_model_a_median,norm_model_b_mean,norm_model_b_std,norm_model_b_median,norm_delta_b_minus_a_mean,norm_delta_b_minus_a_std,norm_delta_b_minus_a_median
Xeno-canto,0,model.pos_drop,0.7925761306285858,0.06692959476392135,0.8170566558837891,0.2074238693714142,0.06692959476392135,0.18294334411621094,0.26965403378009795,0.08236787187171431,0.2524656355381012,0.395206119120121,0.13651594919452403,0.363831102848053,0.1950172084569931,0.06161051279180603,0.17239923030138016,-0.20018891170620917,0.09450471505090176,-0.20446059852838516
Xeno-canto,1,model.blocks.0,0.7738240653276444,0.033537413571658764,0.7783642709255219,0.22617593467235564,0.033537413571658764,0.22163572907447815,1.2240648436546326,0.17646743427272066,1.1883876323699951,1.9223813009262085,0.39844333978684054,1.8233587145805359,1.6537993478775024,0.25794808681082043,1.6015541553497314,-0.2685819530487061,0.1804564740090971,-0.2577679753303528
Xeno-canto,2,model.blocks.1,0.7606154257059097,0.04019963128541584,0.7680494785308838,0.23938457429409027,0.04019963128541584,0.2319505214691162,1.4223767030239105,0.21399124815518952,1.3736218214035034,2.109785031080246,0.3621748278381047,2.057196855545044,1.9904798126220704,0.2247479191825618,1.9448102712631226,-0.11930521845817565,0.19283734679676334,-0.1066085696220398
Xeno-canto,3,model.blocks.2,0.7938345348834992,0.04354966918503571,0.8023139536380768,0.20616546511650086,0.043549669185035694,0.19768604636192322,1.406967785358429,0.2292728891890175,1.3446251153945923,1.9857010698318482,0.33106440237095075,1.9190702438354492,2.2920633792877196,0.25679671846987623,2.244246244430542,0.30636230945587156,0.1631874180884378,0.33963191509246826
Xeno-canto,4,model.blocks.3,0.7535464161634445,0.059304702417203495,0.769038200378418,0.24645358383655547,0.05930470241720351,0.23096179962158203,1.9881334972381592,0.4474022273730791,1.83651202917099,2.7401188731193544,0.5556331389300484,2.5702157020568848,2.8808629441261293,0.37041925626746475,2.820401191711426,0.1407440710067749,0.3185205805517191,0.2122189998626709
Xeno-canto,5,model.blocks.4,0.7032077652215958,0.07581081245137626,0.7191610336303711,0.2967922347784042,0.07581081256303152,0.2808389663696289,2.344881104230881,0.523745251951414,2.1670658588409424,2.863437345027924,0.5471084969248851,2.7349945306777954,3.1524826788902285,0.40061089527130905,3.0932397842407227,0.2890453338623047,0.32316704994607015,0.36515724658966064
Xeno-canto,6,model.blocks.5,0.627716280221939,0.05954020153793292,0.6341928541660309,0.37228372037410734,0.0595402033796337,0.3658071458339691,2.737477009296417,0.482836666845287,2.6608777046203613,2.9774184894561766,0.5172028377992807,2.830828309059143,3.295487642288208,0.3570757791827132,3.2581541538238525,0.31806915283203124,0.33105684370104654,0.3849560022354126
Xeno-canto,7,model.blocks.6,0.5624661383032799,0.06394071256457333,0.570168673992157,0.437533860206604,0.06394070957398168,0.429831326007843,3.9168146538734434,0.5546718554753926,3.7965422868728638,3.7483490228652956,0.4642542452271415,3.6414700746536255,4.4821494197845455,0.4058802312735175,4.430689811706543,0.7338003969192505,0.34011675146057435,0.7642800807952881
Xeno-canto,8,model.blocks.7,0.5296603134274482,0.07030431008992875,0.5410038530826569,0.47033968567848206,0.07030430909727085,0.45899614691734314,3.9949835538864136,0.4957671600474795,3.9340720176696777,3.3053894090652465,0.45143822362659974,3.1898505687713623,4.58489620923996,0.40388416953055695,4.558314561843872,1.2795068001747132,0.33876808824599014,1.316859483718872
Xeno-canto,9,model.blocks.8,0.4246062552928925,0.0696116211361568,0.4362664967775345,0.5753937476873398,0.06961162318002836,0.5637334883213043,3.9326342010498045,0.4498963024797929,3.838532567024231,2.2762247312068937,0.3391062189296841,2.197308659553528,4.29706670999527,0.36473007788931766,4.209421634674072,2.0208419799804687,0.3523630426833658,2.0103925466537476
Xeno-canto,10,model.blocks.9,0.37885688230395315,0.07549153815241914,0.38211478292942047,0.6211431175470352,0.07549153727750375,0.6178852021694183,3.1816093850135805,0.33911703469539345,3.1048582792282104,1.7131805634498596,0.25888647210961196,1.6606882810592651,3.392936155796051,0.31022691639926514,3.36738121509552,1.6797555875778198,0.3310971231434258,1.709917664527893
Xeno-canto,11,model.blocks.10,0.3728141736984253,0.05481575003470952,0.37630434334278107,0.6271858257055283,0.05481574862612181,0.6236956417560577,3.3892065477371216,0.20791373041076608,3.3649147748947144,1.756699151992798,0.21489176607640353,1.754086434841156,3.627491536140442,0.25710709363898915,3.6076310873031616,1.870792385339737,0.24836723057101312,1.873382806777954
