layer,layer_label,target,mean_R2,std_R2,shuffle_R2,n_samples,alpha,fold_mean_R2
0,emb,rms_energy,0.22523,17.48148,-0.01868,2365,1000.0,-4.98495
0,emb,spectral_centroid,0.53088,3.56092,-0.02156,2365,1000.0,-1.64374
0,emb,spectral_bandwidth,0.18023,2.58455,-0.04047,2365,1000.0,-0.75201
0,emb,spectral_rolloff,0.38553,3.23007,-0.02557,2365,1000.0,-0.82426
0,emb,zero_crossing_rate,0.44990,1.99261,-0.04767,2365,1000.0,-1.03344
0,emb,spectral_flatness,0.19256,33.22616,-0.01985,2365,1000.0,-9.85692
0,emb,f0,0.09566,14.12633,-0.04228,1446,1000.0,-3.41578
1,T0,rms_energy,0.61519,8.81011,-0.06959,2365,1000.0,-2.35816
1,T0,spectral_centroid,0.75095,1.45085,-0.06850,2365,1000.0,-0.37565
1,T0,spectral_bandwidth,0.64718,1.04907,-0.05897,2365,1000.0,0.16856
1,T0,spectral_rolloff,0.64245,1.30651,-0.07911,2365,1000.0,-0.00262
1,T0,zero_crossing_rate,0.65867,1.18650,-0.06886,2365,1000.0,-0.23838
1,T0,spectral_flatness,0.60462,25.28903,-0.06184,2365,1000.0,-6.96589
1,T0,f0,0.21594,19.49784,-0.09314,1446,1000.0,-4.35707
2,T1,rms_energy,0.67701,10.03519,-0.05256,2365,1000.0,-2.68077
2,T1,spectral_centroid,0.80658,2.30960,-0.04887,2365,1000.0,-0.39074
2,T1,spectral_bandwidth,0.72440,1.18356,-0.05671,2365,1000.0,0.27511
2,T1,spectral_rolloff,0.71865,1.39166,-0.05872,2365,1000.0,0.10185
2,T1,zero_crossing_rate,0.72266,1.06193,-0.04289,2365,1000.0,-0.08137
2,T1,spectral_flatness,0.69002,23.50623,-0.06801,2365,1000.0,-6.79393
2,T1,f0,0.36006,15.73171,-0.05830,1446,1000.0,-3.15099
3,T2,rms_energy,0.67708,10.07212,-0.04084,2365,1000.0,-2.97942
3,T2,spectral_centroid,0.79040,2.95471,-0.07128,2365,1000.0,-0.59950
3,T2,spectral_bandwidth,0.75425,1.52998,-0.07459,2365,1000.0,0.31601
3,T2,spectral_rolloff,0.70794,1.65674,-0.02949,2365,1000.0,0.04341
3,T2,zero_crossing_rate,0.71704,1.30635,-0.05616,2365,1000.0,-0.14213
3,T2,spectral_flatness,0.68355,47.51575,-0.07073,2365,1000.0,-11.11903
3,T2,f0,0.40264,6.66992,-0.06357,1446,1000.0,-1.74482
4,T3,rms_energy,0.69208,10.81954,-0.06989,2365,1000.0,-3.06252
4,T3,spectral_centroid,0.79681,3.21452,-0.05252,2365,1000.0,-0.57253
4,T3,spectral_bandwidth,0.75419,2.13316,-0.06225,2365,1000.0,0.19841
4,T3,spectral_rolloff,0.69905,2.37134,-0.04731,2365,1000.0,-0.13814
4,T3,zero_crossing_rate,0.73031,1.37863,-0.04628,2365,1000.0,-0.05191
4,T3,spectral_flatness,0.68930,61.03466,-0.05503,2365,1000.0,-13.01790
4,T3,f0,0.44951,6.36372,-0.03966,1446,1000.0,-1.59994
5,T4,rms_energy,0.69349,11.05254,-0.07112,2365,1000.0,-3.09247
5,T4,spectral_centroid,0.81003,2.09221,-0.03781,2365,1000.0,-0.31101
5,T4,spectral_bandwidth,0.79252,1.75790,-0.04694,2365,1000.0,0.32063
5,T4,spectral_rolloff,0.74226,1.75199,-0.06573,2365,1000.0,0.07467
5,T4,zero_crossing_rate,0.73890,0.82948,-0.07549,2365,1000.0,0.07042
5,T4,spectral_flatness,0.70629,40.10674,-0.05146,2365,1000.0,-9.01310
5,T4,f0,0.49953,5.78580,-0.06007,1446,1000.0,-1.38623
6,T5,rms_energy,0.67321,13.32627,-0.04129,2365,1000.0,-3.67274
