layer_idx,label,n_frames,best_k_kmeans,silhouette,silhouette_k2,pca50_cum_var,top_pc_var,hdbscan_clusters,hdbscan_noise_pct,hdbscan_largest_pct
0,emb,18944,2,0.2879,0.2879,0.9529,0.4544,7,72.74,15.86
1,T0,18944,10,0.1139,0.1063,0.9213,0.1221,64,4.54,1.56
2,T1,18944,9,0.1007,0.0929,0.8228,0.0917,2,30.63,68.23
3,T2,18944,2,0.0993,0.0993,0.7937,0.0947,2,20.48,78.54
4,T3,18944,2,0.0952,0.0952,0.7857,0.0888,2,23.55,75.97
5,T4,18944,2,0.1108,0.1108,0.7062,0.1018,3,21.52,76.63
6,T5,18944,10,0.1125,0.0992,0.7269,0.0916,2,0.69,98.33
7,T6,18944,8,0.1371,0.1083,0.7182,0.0957,20,74.21,4.41
8,T7,18944,10,0.1425,0.1109,0.7118,0.0972,18,80.09,5.9
9,T8,18944,10,0.1409,0.1194,0.7647,0.1093,2,5.14,93.89
10,T9,18944,9,0.1515,0.1287,0.7849,0.1191,2,22.81,76.33
11,T10,18944,10,0.18,0.1478,0.7507,0.1315,2,8.23,90.8
12,T11,18944,2,0.2863,0.2863,0.8231,0.4287,7,87.82,9.47
